time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000578	__proteinX_rbs	1.000000	0.000000	0.000000
1.000578	__proteinY_rbs	0.000000	0.000000	0.000000
1.000578	__proteinZ_rbs	1.000000	0.000000	0.000000
1.000578	__ribosome	98.000000	0.000000	0.000000
1.000578	__rnase_site	2.000000	0.000000	0.000000
1.000578	__rnase_site_ext	3.000000	0.000000	0.000000
1.000578	p1	1.000000	0.000000	0.000000
1.000578	p2	1.000000	0.000000	0.000000
1.000578	proteinX	0.000000	2.000000	0.500000
1.000578	proteinZ	0.000000	2.000000	0.500000
1.000578	rnapol	0.000000	0.000000	0.000000
1.999804	__proteinX_rbs	1.000000	0.000000	0.000000
1.999804	__proteinY_rbs	0.000000	0.000000	0.000000
1.999804	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999804	__ribosome	95.000000	0.000000	0.000000
1.999804	__rnase_site	1.000000	0.000000	0.000000
1.999804	__rnase_site_ext	3.000000	0.000000	0.000000
1.999804	p1	1.000000	0.000000	0.000000
1.999804	p2	1.000000	0.000000	0.000000
1.999804	proteinX	0.000000	2.000000	1.500000
1.999804	proteinZ	0.000000	2.000000	1.000000
1.999804	rnapol	0.000000	0.000000	0.000000
2.999143	__proteinX_rbs	0.000000	0.000000	0.000000
2.999143	__proteinY_rbs	0.000000	0.000000	0.000000
2.999143	__proteinZ_rbs	1.000000	0.000000	0.000000
2.999143	__ribosome	89.000000	0.000000	0.000000
2.999143	__rnase_site	1.000000	0.000000	0.000000
2.999143	__rnase_site_ext	1.000000	0.000000	0.000000
2.999143	p1	0.000000	0.000000	0.000000
2.999143	p2	1.000000	0.000000	0.000000
2.999143	proteinX	0.000000	2.000000	3.500000
2.999143	proteinZ	0.000000	2.000000	2.000000
2.999143	rnapol	0.000000	0.000000	0.000000
3.999544	__proteinX_rbs	2.000000	0.000000	0.000000
3.999544	__proteinY_rbs	0.000000	0.000000	0.000000
3.999544	__proteinZ_rbs	2.000000	0.000000	0.000000
3.999544	__ribosome	85.000000	0.000000	0.000000
3.999544	__rnase_site	2.000000	0.000000	0.000000
3.999544	__rnase_site_ext	5.000000	0.000000	0.000000
3.999544	p1	1.000000	0.000000	0.000000
3.999544	p2	1.000000	0.000000	0.000000
3.999544	proteinX	0.000000	3.000000	3.000000
3.999544	proteinZ	0.000000	2.000000	3.000000
3.999544	rnapol	0.000000	0.000000	0.000000
5.000369	__proteinX_rbs	4.000000	0.000000	0.000000
5.000369	__proteinY_rbs	2.000000	0.000000	0.000000
5.000369	__proteinZ_rbs	2.000000	0.000000	0.000000
5.000369	__ribosome	80.000000	0.000000	0.000000
5.000369	__rnase_site	2.000000	0.000000	0.000000
5.000369	__rnase_site_ext	6.000000	0.000000	0.000000
5.000369	p1	1.000000	0.000000	0.000000
5.000369	p2	1.000000	0.000000	0.000000
5.000369	proteinX	0.000000	4.000000	3.250000
5.000369	proteinY	0.000000	2.000000	0.000000
5.000369	proteinZ	1.000000	2.000000	3.500000
5.000369	rnapol	0.000000	0.000000	0.000000
5.999138	__proteinX_rbs	1.000000	0.000000	0.000000
5.999138	__proteinY_rbs	0.000000	0.000000	0.000000
5.999138	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999138	__ribosome	75.000000	0.000000	0.000000
5.999138	__rnase_site	2.000000	0.000000	0.000000
5.999138	__rnase_site_ext	4.000000	0.000000	0.000000
5.999138	p1	1.000000	0.000000	0.000000
5.999138	p2	1.000000	0.000000	0.000000
5.999138	proteinX	3.000000	4.000000	3.500000
5.999138	proteinY	0.000000	2.000000	1.000000
5.999138	proteinZ	1.000000	2.000000	4.500000
5.999138	rnapol	0.000000	0.000000	0.000000
6.999191	__proteinX_rbs	1.000000	0.000000	0.000000
6.999191	__proteinY_rbs	2.000000	0.000000	0.000000
6.999191	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999191	__ribosome	73.000000	0.000000	0.000000
6.999191	__rnase_site	1.000000	0.000000	0.000000
6.999191	__rnase_site_ext	3.000000	0.000000	0.000000
6.999191	p1	1.000000	0.000000	0.000000
6.999191	p2	0.000000	0.000000	0.000000
6.999191	proteinX	6.000000	4.000000	3.750000
6.999191	proteinY	0.000000	3.000000	0.666667
6.999191	proteinZ	2.000000	2.000000	5.000000
6.999191	rnapol	0.000000	0.000000	0.000000
7.999988	__proteinX_rbs	0.000000	0.000000	0.000000
7.999988	__proteinY_rbs	0.000000	0.000000	0.000000
7.999988	__proteinZ_rbs	3.000000	0.000000	0.000000
7.999988	__ribosome	71.000000	0.000000	0.000000
7.999988	__rnase_site	3.000000	0.000000	0.000000
7.999988	__rnase_site_ext	2.000000	0.000000	0.000000
7.999988	p1	1.000000	0.000000	0.000000
7.999988	p2	0.000000	0.000000	0.000000
7.999988	proteinX	9.000000	4.000000	4.250000
7.999988	proteinY	0.000000	3.000000	1.666667
7.999988	proteinZ	5.000000	3.000000	2.333333
