time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000410	__proteinX_rbs	1.000000	0.000000	0.000000
1.000410	__proteinY_rbs	0.000000	0.000000	0.000000
1.000410	__proteinZ_rbs	2.000000	0.000000	0.000000
1.000410	__ribosome	96.000000	0.000000	0.000000
1.000410	__rnase_site	2.000000	0.000000	0.000000
1.000410	__rnase_site_ext	3.000000	0.000000	0.000000
1.000410	p1	1.000000	0.000000	0.000000
1.000410	p2	1.000000	0.000000	0.000000
1.000410	proteinX	0.000000	2.000000	1.000000
1.000410	proteinZ	0.000000	2.000000	1.000000
1.000410	rnapol	0.000000	0.000000	0.000000
2.001545	__proteinX_rbs	0.000000	0.000000	0.000000
2.001545	__proteinY_rbs	0.000000	0.000000	0.000000
2.001545	__proteinZ_rbs	2.000000	0.000000	0.000000
2.001545	__ribosome	93.000000	0.000000	0.000000
2.001545	__rnase_site	2.000000	0.000000	0.000000
2.001545	__rnase_site_ext	2.000000	0.000000	0.000000
2.001545	p1	1.000000	0.000000	0.000000
2.001545	p2	0.000000	0.000000	0.000000
2.001545	proteinX	0.000000	2.000000	2.500000
2.001545	proteinZ	0.000000	2.000000	1.000000
2.001545	rnapol	0.000000	0.000000	0.000000
3.000693	__proteinX_rbs	1.000000	0.000000	0.000000
3.000693	__proteinY_rbs	1.000000	0.000000	0.000000
3.000693	__proteinZ_rbs	3.000000	0.000000	0.000000
3.000693	__ribosome	89.000000	0.000000	0.000000
3.000693	__rnase_site	4.000000	0.000000	0.000000
3.000693	__rnase_site_ext	6.000000	0.000000	0.000000
3.000693	p1	1.000000	0.000000	0.000000
3.000693	p2	1.000000	0.000000	0.000000
3.000693	proteinX	0.000000	2.000000	3.000000
3.000693	proteinY	0.000000	2.000000	0.500000
3.000693	proteinZ	0.000000	4.000000	1.000000
3.000693	rnapol	0.000000	0.000000	0.000000
3.999015	__proteinX_rbs	0.000000	0.000000	0.000000
3.999015	__proteinY_rbs	1.000000	0.000000	0.000000
3.999015	__proteinZ_rbs	1.000000	0.000000	0.000000
3.999015	__ribosome	82.000000	0.000000	0.000000
3.999015	__rnase_site	1.000000	0.000000	0.000000
3.999015	__rnase_site_ext	3.000000	0.000000	0.000000
3.999015	p1	1.000000	0.000000	0.000000
3.999015	p2	0.000000	0.000000	0.000000
3.999015	proteinX	0.000000	2.000000	4.000000
3.999015	proteinY	0.000000	2.000000	1.500000
3.999015	proteinZ	0.000000	4.000000	1.750000
3.999015	rnapol	0.000000	0.000000	0.000000
4.999459	__proteinX_rbs	1.000000	0.000000	0.000000
4.999459	__proteinY_rbs	1.000000	0.000000	0.000000
4.999459	__proteinZ_rbs	7.000000	0.000000	0.000000
4.999459	__ribosome	79.000000	0.000000	0.000000
4.999459	__rnase_site	7.000000	0.000000	0.000000
4.999459	__rnase_site_ext	6.000000	0.000000	0.000000
4.999459	p1	1.000000	0.000000	0.000000
4.999459	p2	1.000000	0.000000	0.000000
4.999459	proteinX	2.000000	2.000000	4.000000
4.999459	proteinY	0.000000	2.000000	3.000000
4.999459	proteinZ	2.000000	8.000000	0.875000
4.999459	rnapol	0.000000	0.000000	0.000000
5.999064	__proteinX_rbs	2.000000	0.000000	0.000000
5.999064	__proteinY_rbs	2.000000	0.000000	0.000000
5.999064	__proteinZ_rbs	2.000000	0.000000	0.000000
5.999064	__ribosome	68.000000	0.000000	0.000000
5.999064	__rnase_site	3.000000	0.000000	0.000000
5.999064	__rnase_site_ext	3.000000	0.000000	0.000000
5.999064	p1	1.000000	0.000000	0.000000
5.999064	p2	1.000000	0.000000	0.000000
5.999064	proteinX	3.000000	2.000000	4.000000
5.999064	proteinY	0.000000	2.000000	3.500000
5.999064	proteinZ	2.000000	8.000000	2.125000
5.999064	rnapol	1.000000	0.000000	0.000000
6.999039	__proteinX_rbs	3.000000	0.000000	0.000000
6.999039	__proteinY_rbs	1.000000	0.000000	0.000000
6.999039	__proteinZ_rbs	6.000000	0.000000	0.000000
6.999039	__ribosome	63.000000	0.000000	0.000000
6.999039	__rnase_site	8.000000	0.000000	0.000000
6.999039	__rnase_site_ext	9.000000	0.000000	0.000000
6.999039	p1	1.000000	0.000000	0.000000
6.999039	p2	0.000000	0.000000	0.000000
6.999039	proteinX	5.000000	3.000000	2.333333
6.999039	proteinY	0.000000	2.000000	4.500000
6.999039	proteinZ	3.000000	9.000000	2.333333
6.999039	rnapol	0.000000	0.000000	0.000000
7.999171	__proteinX_rbs	2.000000	0.000000	0.000000
7.999171	__proteinY_rbs	2.000000	0.000000	0.000000
7.999171	__proteinZ_rbs	5.000000	0.000000	0.000000
7.999171	__ribosome	53.000000	0.000000	0.000000
7.999171	__rnase_site	7.000000	0.000000	0.000000
7.999171	__rnase_site_ext	7.000000	0.000000	0.000000
7.999171	p1	1.000000	0.000000	0.000000
7.999171	p2	1.000000	0.000000	0.000000
7.999171	proteinX	7.000000	4.000000	2.250000
