time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999657	__proteinX_rbs	1.000000	0.000000	0.000000
0.999657	__proteinY_rbs	0.000000	0.000000	0.000000
0.999657	__proteinZ_rbs	1.000000	0.000000	0.000000
0.999657	__ribosome	96.000000	0.000000	0.000000
0.999657	__rnase_site	2.000000	0.000000	0.000000
0.999657	__rnase_site_ext	3.000000	0.000000	0.000000
0.999657	p1	1.000000	0.000000	0.000000
0.999657	p2	1.000000	0.000000	0.000000
0.999657	proteinX	0.000000	2.000000	1.000000
0.999657	proteinZ	0.000000	2.000000	1.000000
0.999657	rnapol	0.000000	0.000000	0.000000
1.999140	__proteinX_rbs	0.000000	0.000000	0.000000
1.999140	__proteinY_rbs	0.000000	0.000000	0.000000
1.999140	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999140	__ribosome	88.000000	0.000000	0.000000
1.999140	__rnase_site	1.000000	0.000000	0.000000
1.999140	__rnase_site_ext	2.000000	0.000000	0.000000
1.999140	p1	1.000000	0.000000	0.000000
1.999140	p2	1.000000	0.000000	0.000000
1.999140	proteinX	0.000000	2.000000	3.000000
1.999140	proteinZ	0.000000	2.000000	3.000000
1.999140	rnapol	0.000000	0.000000	0.000000
2.999208	__proteinX_rbs	1.000000	0.000000	0.000000
2.999208	__proteinY_rbs	0.000000	0.000000	0.000000
2.999208	__proteinZ_rbs	1.000000	0.000000	0.000000
2.999208	__ribosome	82.000000	0.000000	0.000000
2.999208	__rnase_site	2.000000	0.000000	0.000000
2.999208	__rnase_site_ext	4.000000	0.000000	0.000000
2.999208	p1	1.000000	0.000000	0.000000
2.999208	p2	1.000000	0.000000	0.000000
2.999208	proteinX	0.000000	2.000000	4.000000
2.999208	proteinZ	0.000000	2.000000	5.000000
2.999208	rnapol	0.000000	0.000000	0.000000
3.999758	__proteinX_rbs	2.000000	0.000000	0.000000
3.999758	__proteinY_rbs	1.000000	0.000000	0.000000
3.999758	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999758	__ribosome	82.000000	0.000000	0.000000
3.999758	__rnase_site	0.000000	0.000000	0.000000
3.999758	__rnase_site_ext	3.000000	0.000000	0.000000
3.999758	p1	1.000000	0.000000	0.000000
3.999758	p2	0.000000	0.000000	0.000000
3.999758	proteinX	3.000000	2.000000	3.000000
3.999758	proteinY	0.000000	1.000000	0.000000
3.999758	proteinZ	3.000000	2.000000	6.000000
3.999758	rnapol	0.000000	0.000000	0.000000
4.999495	__proteinX_rbs	0.000000	0.000000	0.000000
4.999495	__proteinY_rbs	1.000000	0.000000	0.000000
4.999495	__proteinZ_rbs	1.000000	0.000000	0.000000
4.999495	__ribosome	81.000000	0.000000	0.000000
4.999495	__rnase_site	1.000000	0.000000	0.000000
4.999495	__rnase_site_ext	2.000000	0.000000	0.000000
4.999495	p1	1.000000	0.000000	0.000000
4.999495	p2	1.000000	0.000000	0.000000
4.999495	proteinX	8.000000	2.000000	3.000000
4.999495	proteinY	0.000000	2.000000	1.000000
4.999495	proteinZ	9.000000	3.000000	3.666667
4.999495	rnapol	0.000000	0.000000	0.000000
5.999730	__proteinX_rbs	2.000000	0.000000	0.000000
5.999730	__proteinY_rbs	2.000000	0.000000	0.000000
5.999730	__proteinZ_rbs	3.000000	0.000000	0.000000
5.999730	__ribosome	78.000000	0.000000	0.000000
5.999730	__rnase_site	3.000000	0.000000	0.000000
5.999730	__rnase_site_ext	5.000000	0.000000	0.000000
5.999730	p1	1.000000	0.000000	0.000000
5.999730	p2	1.000000	0.000000	0.000000
5.999730	proteinX	9.000000	2.000000	3.500000
5.999730	proteinY	0.000000	2.000000	3.000000
5.999730	proteinZ	13.000000	3.000000	3.000000
5.999730	rnapol	0.000000	0.000000	0.000000
6.999307	__proteinX_rbs	1.000000	0.000000	0.000000
6.999307	__proteinY_rbs	0.000000	0.000000	0.000000
6.999307	__proteinZ_rbs	3.000000	0.000000	0.000000
6.999307	__ribosome	78.000000	0.000000	0.000000
6.999307	__rnase_site	3.000000	0.000000	0.000000
6.999307	__rnase_site_ext	4.000000	0.000000	0.000000
6.999307	p1	1.000000	0.000000	0.000000
6.999307	p2	1.000000	0.000000	0.000000
6.999307	proteinX	13.000000	2.000000	2.500000
6.999307	proteinY	0.000000	2.000000	5.500000
6.999307	proteinZ	17.000000	3.000000	2.000000
6.999307	rnapol	0.000000	0.000000	0.000000
7.999635	__proteinX_rbs	2.000000	0.000000	0.000000
7.999635	__proteinY_rbs	1.000000	0.000000	0.000000
7.999635	__proteinZ_rbs	3.000000	0.000000	0.000000
7.999635	__ribosome	79.000000	0.000000	0.000000
7.999635	__rnase_site	3.000000	0.000000	0.000000
7.999635	__rnase_site_ext	4.000000	0.000000	0.000000
7.999635	p1	1.000000	0.000000	0.000000
7.999635	p2	0.000000	0.000000	0.000000
7.999635	proteinX	16.000000	2.000000	2.000000
7.999635	proteinY	4.000000	2.000000	5.000000
