time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
10.000077	__proteinX_rbs	3.000000	0.000000	0.000000
10.000077	__proteinY_rbs	3.000000	0.000000	0.000000
10.000077	__proteinZ_rbs	3.000000	0.000000	0.000000
10.000077	__ribosome	72.000000	0.000000	0.000000
10.000077	__rnase_site	0.000000	0.000000	0.000000
10.000077	__rnase_site_ext	3.000000	0.000000	0.000000
10.000077	p1	1.000000	0.000000	0.000000
10.000077	proteinX	19.000000	4.000000	2.500000
10.000077	proteinY	4.000000	4.000000	3.500000
10.000077	proteinZ	0.000000	3.000000	1.333333
10.000077	rnapol	0.000000	0.000000	0.000000
19.999678	__proteinX_rbs	2.000000	0.000000	0.000000
19.999678	__proteinY_rbs	6.000000	0.000000	0.000000
19.999678	__proteinZ_rbs	5.000000	0.000000	0.000000
19.999678	__ribosome	43.000000	0.000000	0.000000
19.999678	__rnase_site	0.000000	0.000000	0.000000
19.999678	__rnase_site_ext	3.000000	0.000000	0.000000
19.999678	p1	1.000000	0.000000	0.000000
19.999678	proteinX	48.000000	8.000000	3.750000
19.999678	proteinY	38.000000	8.000000	2.000000
19.999678	proteinZ	23.000000	6.000000	1.833333
19.999678	rnapol	0.000000	0.000000	0.000000
29.999266	__proteinX_rbs	12.000000	0.000000	0.000000
29.999266	__proteinY_rbs	11.000000	0.000000	0.000000
29.999266	__proteinZ_rbs	4.000000	0.000000	0.000000
29.999266	__ribosome	33.000000	0.000000	0.000000
29.999266	__rnase_site	0.000000	0.000000	0.000000
29.999266	__rnase_site_ext	12.000000	0.000000	0.000000
29.999266	p1	1.000000	0.000000	0.000000
29.999266	proteinX	107.000000	12.000000	2.000000
29.999266	proteinY	80.000000	12.000000	1.833333
29.999266	proteinZ	57.000000	9.000000	2.333333
29.999266	rnapol	0.000000	0.000000	0.000000
39.999118	__proteinX_rbs	13.000000	0.000000	0.000000
39.999118	__proteinY_rbs	11.000000	0.000000	0.000000
39.999118	__proteinZ_rbs	10.000000	0.000000	0.000000
39.999118	__ribosome	26.000000	0.000000	0.000000
39.999118	__rnase_site	0.000000	0.000000	0.000000
39.999118	__rnase_site_ext	13.000000	0.000000	0.000000
39.999118	p1	1.000000	0.000000	0.000000
39.999118	proteinX	168.000000	15.000000	1.733333
39.999118	proteinY	132.000000	15.000000	1.733333
39.999118	proteinZ	105.000000	13.000000	1.692308
39.999118	rnapol	0.000000	0.000000	0.000000
49.999442	__proteinX_rbs	12.000000	0.000000	0.000000
49.999442	__proteinY_rbs	12.000000	0.000000	0.000000
49.999442	__proteinZ_rbs	12.000000	0.000000	0.000000
49.999442	__ribosome	24.000000	0.000000	0.000000
49.999442	__rnase_site	0.000000	0.000000	0.000000
49.999442	__rnase_site_ext	12.000000	0.000000	0.000000
49.999442	p1	1.000000	0.000000	0.000000
49.999442	proteinX	223.000000	15.000000	1.600000
49.999442	proteinY	195.000000	15.000000	1.800000
49.999442	proteinZ	160.000000	16.000000	1.562500
49.999442	rnapol	0.000000	0.000000	0.000000
59.999335	__proteinX_rbs	15.000000	0.000000	0.000000
59.999335	__proteinY_rbs	13.000000	0.000000	0.000000
59.999335	__proteinZ_rbs	15.000000	0.000000	0.000000
59.999335	__ribosome	20.000000	0.000000	0.000000
59.999335	__rnase_site	0.000000	0.000000	0.000000
59.999335	__rnase_site_ext	18.000000	0.000000	0.000000
59.999335	p1	1.000000	0.000000	0.000000
59.999335	proteinX	282.000000	19.000000	1.842105
59.999335	proteinY	249.000000	18.000000	1.277778
59.999335	proteinZ	227.000000	16.000000	1.375000
59.999335	rnapol	0.000000	0.000000	0.000000
69.999204	__proteinX_rbs	16.000000	0.000000	0.000000
69.999204	__proteinY_rbs	13.000000	0.000000	0.000000
69.999204	__proteinZ_rbs	16.000000	0.000000	0.000000
69.999204	__ribosome	13.000000	0.000000	0.000000
69.999204	__rnase_site	0.000000	0.000000	0.000000
69.999204	__rnase_site_ext	17.000000	0.000000	0.000000
69.999204	p1	1.000000	0.000000	0.000000
69.999204	proteinX	362.000000	20.000000	1.300000
69.999204	proteinY	303.000000	21.000000	1.523810
69.999204	proteinZ	275.000000	20.000000	1.450000
69.999204	rnapol	0.000000	0.000000	0.000000
79.999357	__proteinX_rbs	18.000000	0.000000	0.000000
79.999357	__proteinY_rbs	19.000000	0.000000	0.000000
79.999357	__proteinZ_rbs	20.000000	0.000000	0.000000
79.999357	__ribosome	24.000000	0.000000	0.000000
79.999357	__rnase_site	0.000000	0.000000	0.000000
79.999357	__rnase_site_ext	20.000000	0.000000	0.000000
79.999357	p1	1.000000	0.000000	0.000000
79.999357	proteinX	424.000000	22.000000	1.181818
79.999357	proteinY	370.000000	22.000000	1.136364
79.999357	proteinZ	338.000000	23.000000	1.086957
79.999357	rnapol	0.000000	0.000000	0.000000
89.999304	__proteinX_rbs	20.000000	0.000000	0.000000
89.999304	__proteinY_rbs	22.000000	0.000000	0.000000
89.999304	__proteinZ_rbs	22.000000	0.000000	0.000000
