time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnapol_rbs	0.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	proteinX	0.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-X	0.000000	0.000000	0.000000
1.005196	__proteinX_rbs	0.000000	0.000000	0.000000
1.005196	__ribosome	99.000000	0.000000	0.000000
1.005196	__rnapol_rbs	0.000000	0.000000	0.000000
1.005196	phi1	1.000000	0.000000	0.000000
1.005196	proteinX	0.000000	0.000000	0.000000
1.005196	rnapol	8.000000	1.000000	1.000000
1.005196	rnapol-X	0.000000	0.000000	0.000000
2.008676	__proteinX_rbs	0.000000	0.000000	0.000000
2.008676	__ribosome	97.000000	0.000000	0.000000
2.008676	__rnapol_rbs	1.000000	0.000000	0.000000
2.008676	phi1	0.000000	0.000000	0.000000
2.008676	proteinX	0.000000	0.000000	0.000000
2.008676	rnapol	7.000000	2.000000	1.500000
2.008676	rnapol-X	0.000000	0.000000	0.000000
3.007005	__proteinX_rbs	0.000000	0.000000	0.000000
3.007005	__ribosome	95.000000	0.000000	0.000000
3.007005	__rnapol_rbs	3.000000	0.000000	0.000000
3.007005	phi1	1.000000	0.000000	0.000000
3.007005	proteinX	0.000000	0.000000	0.000000
3.007005	rnapol	6.000000	4.000000	1.250000
3.007005	rnapol-X	0.000000	0.000000	0.000000
4.000839	__proteinX_rbs	0.000000	0.000000	0.000000
4.000839	__ribosome	89.000000	0.000000	0.000000
4.000839	__rnapol_rbs	2.000000	0.000000	0.000000
4.000839	phi1	0.000000	0.000000	0.000000
4.000839	proteinX	0.000000	0.000000	0.000000
4.000839	rnapol	4.000000	5.000000	2.200000
4.000839	rnapol-X	0.000000	0.000000	0.000000
4.999606	__proteinX_rbs	0.000000	0.000000	0.000000
4.999606	__ribosome	85.000000	0.000000	0.000000
4.999606	__rnapol_rbs	5.000000	0.000000	0.000000
4.999606	phi1	0.000000	0.000000	0.000000
4.999606	proteinX	0.000000	0.000000	0.000000
4.999606	rnapol	3.000000	6.000000	2.500000
4.999606	rnapol-X	0.000000	0.000000	0.000000
5.999087	__proteinX_rbs	1.000000	0.000000	0.000000
5.999087	__ribosome	78.000000	0.000000	0.000000
5.999087	__rnapol_rbs	4.000000	0.000000	0.000000
5.999087	phi1	1.000000	0.000000	0.000000
5.999087	proteinX	0.000000	1.000000	0.000000
5.999087	rnapol	2.000000	8.000000	2.750000
5.999087	rnapol-X	0.000000	0.000000	0.000000
7.000482	__proteinX_rbs	2.000000	0.000000	0.000000
7.000482	__ribosome	70.000000	0.000000	0.000000
7.000482	__rnapol_rbs	5.000000	0.000000	0.000000
7.000482	phi1	1.000000	0.000000	0.000000
7.000482	proteinX	0.000000	2.000000	1.000000
7.000482	rnapol	2.000000	8.000000	3.500000
7.000482	rnapol-X	0.000000	0.000000	0.000000
8.004389	__proteinX_rbs	2.000000	0.000000	0.000000
8.004389	__ribosome	65.000000	0.000000	0.000000
8.004389	__rnapol_rbs	6.000000	0.000000	0.000000
8.004389	phi1	1.000000	0.000000	0.000000
8.004389	proteinX	2.000000	3.000000	0.666667
8.004389	rnapol	4.000000	10.000000	3.300000
8.004389	rnapol-X	0.000000	0.000000	0.000000
8.999882	__proteinX_rbs	4.000000	0.000000	0.000000
8.999882	__ribosome	64.000000	0.000000	0.000000
8.999882	__rnapol_rbs	8.000000	0.000000	0.000000
8.999882	phi1	1.000000	0.000000	0.000000
8.999882	proteinX	4.000000	4.000000	0.250000
8.999882	rnapol	7.000000	10.000000	3.500000
8.999882	rnapol-X	0.000000	0.000000	0.000000
9.999032	__proteinX_rbs	4.000000	0.000000	0.000000
9.999032	__ribosome	53.000000	0.000000	0.000000
9.999032	__rnapol_rbs	6.000000	0.000000	0.000000
9.999032	phi1	0.000000	0.000000	0.000000
9.999032	proteinX	4.000000	6.000000	0.833333
9.999032	rnapol	9.000000	11.000000	3.818182
9.999032	rnapol-X	0.000000	0.000000	0.000000
10.999407	__proteinX_rbs	2.000000	0.000000	0.000000
10.999407	__ribosome	47.000000	0.000000	0.000000
10.999407	__rnapol_rbs	8.000000	0.000000	0.000000
10.999407	phi1	0.000000	0.000000	0.000000
10.999407	proteinX	7.000000	6.000000	1.166667
10.999407	rnapol	12.000000	12.000000	3.833333
10.999407	rnapol-X	0.000000	0.000000	0.000000
11.999089	__proteinX_rbs	6.000000	0.000000	0.000000
11.999089	__ribosome	48.000000	0.000000	0.000000
11.999089	__rnapol_rbs	9.000000	0.000000	0.000000
11.999089	phi1	1.000000	0.000000	0.000000
11.999089	proteinX	11.000000	8.000000	0.750000
11.999089	rnapol	20.000000	13.000000	3.538462
11.999089	rnapol-X	0.000000	0.000000	0.000000
12.999144	__proteinX_rbs	6.000000	0.000000	0.000000
12.999144	__ribosome	43.000000	0.000000	0.000000
12.999144	__rnapol_rbs	9.000000	0.000000	0.000000
12.999144	phi1	0.000000	0.000000	0.000000
12.999144	proteinX	16.000000	8.000000	0.625000
12.999144	rnapol	21.000000	15.000000	3.466667
12.999144	rnapol-X	0.000000	0.000000	0.000000
13.999122	__proteinX_rbs	5.000000	0.000000	0.000000
13.999122	__ribosome	37.000000	0.000000	0.000000
13.999122	__rnapol_rbs	13.000000	0.000000	0.000000
13.999122	phi1	1.000000	0.000000	0.000000
13.999122	proteinX	19.000000	9.000000	1.000000
13.999122	rnapol	27.000000	19.000000	2.842105
13.999122	rnapol-X	0.000000	0.000000	0.000000
15.001399	__proteinX_rbs	8.000000	0.000000	0.000000
15.001399	__ribosome	35.000000	0.000000	0.000000
15.001399	__rnapol_rbs	13.000000	0.000000	0.000000
15.001399	phi1	0.000000	0.000000	0.000000
15.001399	proteinX	27.000000	11.000000	0.454545
15.001399	rnapol	30.000000	20.000000	3.000000
15.001399	rnapol-X	0.000000	0.000000	0.000000
