time	species	transcript
1	proteinX	0.3
1	proteinY	0.5
1	proteinZ	0.1
2	proteinX	0.6
2	proteinY	1.0
2	proteinZ	0.2
3	proteinX	0.8999999999999999
3	proteinY	1.5
3	proteinZ	0.30000000000000004
4	proteinX	1.2
4	proteinY	2.0
4	proteinZ	0.4
5	proteinX	1.5
5	proteinY	2.5
5	proteinZ	0.5
6	proteinX	1.7999999999999998
6	proteinY	3.0
6	proteinZ	0.6000000000000001
7	proteinX	2.1
7	proteinY	3.5
7	proteinZ	0.7000000000000001
8	proteinX	2.4
8	proteinY	4.0
8	proteinZ	0.8
9	proteinX	2.6999999999999997
9	proteinY	4.5
9	proteinZ	0.9
10	proteinX	3.0
10	proteinY	5.0
10	proteinZ	1.0
11	proteinX	3.3
11	proteinY	5.5
11	proteinZ	1.1
12	proteinX	3.5999999999999996
12	proteinY	6.0
12	proteinZ	1.2000000000000002
13	proteinX	3.9
13	proteinY	6.5
13	proteinZ	1.3
14	proteinX	4.2
14	proteinY	7.0
14	proteinZ	1.4000000000000001
15	proteinX	4.5
15	proteinY	7.5
15	proteinZ	1.5
16	proteinX	4.8
16	proteinY	8.0
16	proteinZ	1.6
17	proteinX	5.1
17	proteinY	8.5
17	proteinZ	1.7000000000000002
18	proteinX	5.3999999999999995
18	proteinY	9.0
18	proteinZ	1.8
19	proteinX	5.7
19	proteinY	9.5
19	proteinZ	1.9000000000000001
20	proteinX	6.0
20	proteinY	10.0
20	proteinZ	2.0
21	proteinX	6.3
21	proteinY	10.5
21	proteinZ	2.1
22	proteinX	6.6
22	proteinY	11.0
22	proteinZ	2.2
23	proteinX	6.8999999999999995
23	proteinY	11.5
23	proteinZ	2.3000000000000003
24	proteinX	7.199999999999999
24	proteinY	12.0
24	proteinZ	2.4000000000000004
25	proteinX	7.5
25	proteinY	12.5
25	proteinZ	2.5
26	proteinX	7.8
26	proteinY	13.0
26	proteinZ	2.6
27	proteinX	8.1
27	proteinY	13.5
27	proteinZ	2.7
28	proteinX	8.4
28	proteinY	14.0
28	proteinZ	2.8000000000000003
29	proteinX	8.7
29	proteinY	14.5
29	proteinZ	2.9000000000000004
30	proteinX	9.0
30	proteinY	15.0
30	proteinZ	3.0
31	proteinX	9.299999999999999
31	proteinY	15.5
31	proteinZ	3.1
32	proteinX	9.6
32	proteinY	16.0
32	proteinZ	3.2
33	proteinX	9.9
33	proteinY	16.5
33	proteinZ	3.3000000000000003
34	proteinX	10.2
34	proteinY	17.0
34	proteinZ	3.4000000000000004
35	proteinX	10.5
35	proteinY	17.5
35	proteinZ	3.5
36	proteinX	10.799999999999999
36	proteinY	18.0
36	proteinZ	3.6
37	proteinX	11.1
37	proteinY	18.5
37	proteinZ	3.7
38	proteinX	11.4
38	proteinY	19.0
38	proteinZ	3.8000000000000003
39	proteinX	11.7
39	proteinY	19.5
39	proteinZ	3.9000000000000004
40	proteinX	12.0
40	proteinY	20.0
40	proteinZ	4.0
41	proteinX	12.299999999999999
41	proteinY	20.5
41	proteinZ	4.1000000000000005
42	proteinX	12.6
42	proteinY	21.0
42	proteinZ	4.2
43	proteinX	12.9
43	proteinY	21.5
43	proteinZ	4.3
44	proteinX	13.2
44	proteinY	22.0
44	proteinZ	4.4
45	proteinX	13.5
45	proteinY	22.5
45	proteinZ	4.5
46	proteinX	13.799999999999999
46	proteinY	23.0
46	proteinZ	4.6000000000000005
47	proteinX	14.1
47	proteinY	23.5
47	proteinZ	4.7
48	proteinX	14.399999999999999
48	proteinY	24.0
48	proteinZ	4.800000000000001
49	proteinX	14.7
49	proteinY	24.5
49	proteinZ	4.9
50	proteinX	15.0
50	proteinY	25.0
50	proteinZ	5.0
51	proteinX	15.299999999999999
51	proteinY	25.5
51	proteinZ	5.1000000000000005
52	proteinX	15.6
52	proteinY	26.0
52	proteinZ	5.2
53	proteinX	15.899999999999999
53	proteinY	26.5
53	proteinZ	5.300000000000001
54	proteinX	16.2
54	proteinY	27.0
54	proteinZ	5.4
55	proteinX	16.5
55	proteinY	27.5
55	proteinZ	5.5
56	proteinX	16.8
56	proteinY	28.0
56	proteinZ	5.6000000000000005
57	proteinX	17.099999999999998
57	proteinY	28.5
57	proteinZ	5.7
58	proteinX	17.4
58	proteinY	29.0
58	proteinZ	5.800000000000001
59	proteinX	17.7
59	proteinY	29.5
59	proteinZ	5.9
60	proteinX	18.0
60	proteinY	30.0
60	proteinZ	6.0
61	proteinX	18.3
61	proteinY	30.5
61	proteinZ	6.1000000000000005
62	proteinX	18.599999999999998
62	proteinY	31.0
62	proteinZ	6.2
63	proteinX	18.9
63	proteinY	31.5
63	proteinZ	6.300000000000001
64	proteinX	19.2
64	proteinY	32.0
64	proteinZ	6.4
65	proteinX	19.5
65	proteinY	32.5
65	proteinZ	6.5
66	proteinX	19.8
66	proteinY	33.0
66	proteinZ	6.6000000000000005
67	proteinX	20.099999999999998
67	proteinY	33.5
67	proteinZ	6.7
68	proteinX	20.4
68	proteinY	34.0
68	proteinZ	6.800000000000001
69	proteinX	20.7
69	proteinY	34.5
69	proteinZ	6.9
70	proteinX	21.0
70	proteinY	35.0
70	proteinZ	7.0
71	proteinX	21.3
71	proteinY	35.5
71	proteinZ	7.1000000000000005
72	proteinX	21.599999999999998
72	proteinY	36.0
72	proteinZ	7.2
73	proteinX	21.9
73	proteinY	36.5
73	proteinZ	7.300000000000001
74	proteinX	22.2
74	proteinY	37.0
74	proteinZ	7.4
75	proteinX	22.5
75	proteinY	37.5
75	proteinZ	7.5
76	proteinX	22.8
76	proteinY	38.0
76	proteinZ	7.6000000000000005
77	proteinX	23.099999999999998
77	proteinY	38.5
77	proteinZ	7.7
78	proteinX	23.4
78	proteinY	39.0
78	proteinZ	7.800000000000001
79	proteinX	23.7
79	proteinY	39.5
79	proteinZ	7.9
80	proteinX	24.0
80	proteinY	40.0
80	proteinZ	8.0
81	proteinX	24.3
81	proteinY	40.0
81	proteinZ	8.1
82	proteinX	24.599999999999998
82	proteinY	40.0
82	proteinZ	8.200000000000001
83	proteinX	24.9
83	proteinY	40.0
83	proteinZ	8.3
84	proteinX	25.2
84	proteinY	40.0
84	proteinZ	8.4
85	proteinX	25.5
85	proteinY	40.0
85	proteinZ	8.5
86	proteinX	25.8
86	proteinY	40.0
86	proteinZ	8.6
87	proteinX	26.099999999999998
87	proteinY	40.0
87	proteinZ	8.700000000000001
88	proteinX	26.4
88	proteinY	40.0
88	proteinZ	8.8
89	proteinX	26.7
89	proteinY	40.0
89	proteinZ	8.9
90	proteinX	27.0
90	proteinY	40.0
90	proteinZ	9.0
91	proteinX	27.3
91	proteinY	40.0
91	proteinZ	9.1
92	proteinX	27.599999999999998
92	proteinY	40.0
92	proteinZ	9.200000000000001
93	proteinX	27.9
93	proteinY	40.0
93	proteinZ	9.3
94	proteinX	28.2
94	proteinY	40.0
94	proteinZ	9.4
95	proteinX	28.5
95	proteinY	40.0
95	proteinZ	9.5
96	proteinX	28.799999999999997
96	proteinY	40.0
96	proteinZ	9.600000000000001
97	proteinX	29.099999999999998
97	proteinY	40.0
97	proteinZ	9.700000000000001
98	proteinX	29.4
98	proteinY	40.0
98	proteinZ	9.8
99	proteinX	29.7
99	proteinY	40.0
99	proteinZ	9.9
100	proteinX	30.0
100	proteinY	40.0
100	proteinZ	10.0
101	proteinX	30.299999999999997
101	proteinY	40.0
101	proteinZ	10.100000000000001
102	proteinX	30.599999999999998
102	proteinY	40.0
102	proteinZ	10.200000000000001
103	proteinX	30.9
103	proteinY	40.0
103	proteinZ	10.3
104	proteinX	31.2
104	proteinY	40.0
104	proteinZ	10.4
105	proteinX	31.5
105	proteinY	40.0
105	proteinZ	10.5
106	proteinX	31.799999999999997
106	proteinY	40.0
106	proteinZ	10.600000000000001
107	proteinX	32.1
107	proteinY	40.0
107	proteinZ	10.700000000000001
108	proteinX	32.4
108	proteinY	40.0
108	proteinZ	10.8
109	proteinX	32.699999999999996
109	proteinY	40.0
109	proteinZ	10.9
110	proteinX	33.0
110	proteinY	40.0
110	proteinZ	11.0
111	proteinX	33.3
111	proteinY	40.0
111	proteinZ	11.100000000000001
112	proteinX	33.6
112	proteinY	40.0
112	proteinZ	11.200000000000001
113	proteinX	33.9
113	proteinY	40.0
113	proteinZ	11.3
114	proteinX	34.199999999999996
114	proteinY	40.0
114	proteinZ	11.4
115	proteinX	34.5
115	proteinY	40.0
115	proteinZ	11.5
116	proteinX	34.8
116	proteinY	40.0
116	proteinZ	11.600000000000001
117	proteinX	35.1
117	proteinY	40.0
117	proteinZ	11.700000000000001
118	proteinX	35.4
118	proteinY	40.0
118	proteinZ	11.8
119	proteinX	35.699999999999996
119	proteinY	40.0
119	proteinZ	11.9
120	proteinX	36.0
120	proteinY	40.0
120	proteinZ	12.0
121	proteinX	36.3
121	proteinY	40.0
121	proteinZ	12.100000000000001
122	proteinX	36.6
122	proteinY	40.0
122	proteinZ	12.200000000000001
123	proteinX	36.9
123	proteinY	40.0
123	proteinZ	12.3
124	proteinX	37.199999999999996
124	proteinY	40.0
124	proteinZ	12.4
125	proteinX	37.5
125	proteinY	40.0
125	proteinZ	12.5
126	proteinX	37.8
126	proteinY	40.0
126	proteinZ	12.600000000000001
127	proteinX	38.1
127	proteinY	40.0
127	proteinZ	12.700000000000001
128	proteinX	38.4
128	proteinY	40.0
128	proteinZ	12.8
129	proteinX	38.699999999999996
129	proteinY	40.0
129	proteinZ	12.9
130	proteinX	39.0
130	proteinY	40.0
130	proteinZ	13.0
131	proteinX	39.3
131	proteinY	40.0
131	proteinZ	13.100000000000001
132	proteinX	39.6
132	proteinY	40.0
132	proteinZ	13.200000000000001
133	proteinX	39.9
133	proteinY	40.0
133	proteinZ	13.3
134	proteinX	40.199999999999996
134	proteinY	40.0
134	proteinZ	13.4
135	proteinX	40.5
135	proteinY	40.0
135	proteinZ	13.5
136	proteinX	40.8
136	proteinY	40.0
136	proteinZ	13.600000000000001
137	proteinX	41.1
137	proteinY	40.0
137	proteinZ	13.700000000000001
138	proteinX	41.4
138	proteinY	40.0
138	proteinZ	13.8
139	proteinX	41.699999999999996
139	proteinY	40.0
139	proteinZ	13.9
140	proteinX	42.0
140	proteinY	40.0
140	proteinZ	14.0
141	proteinX	42.3
141	proteinY	40.0
141	proteinZ	14.100000000000001
142	proteinX	42.6
142	proteinY	40.0
142	proteinZ	14.200000000000001
143	proteinX	42.9
143	proteinY	40.0
143	proteinZ	14.3
144	proteinX	43.199999999999996
144	proteinY	40.0
144	proteinZ	14.4
145	proteinX	43.5
145	proteinY	40.0
145	proteinZ	14.5
146	proteinX	43.8
146	proteinY	40.0
146	proteinZ	14.600000000000001
147	proteinX	44.1
147	proteinY	40.0
147	proteinZ	14.700000000000001
148	proteinX	44.4
148	proteinY	40.0
148	proteinZ	14.8
149	proteinX	44.699999999999996
149	proteinY	40.0
149	proteinZ	14.9
150	proteinX	45.0
150	proteinY	40.0
150	proteinZ	15.0
151	proteinX	45.3
151	proteinY	40.0
151	proteinZ	15.100000000000001
152	proteinX	45.6
152	proteinY	40.0
152	proteinZ	15.200000000000001
153	proteinX	45.9
153	proteinY	40.0
153	proteinZ	15.3
