time	species	transcript
1	protein1	0.1
1	protein3	0.5
1	protein2	0.2
2	protein1	0.2
2	protein3	1
2	protein2	0.4
3	protein1	0.3
3	protein3	1.5
3	protein2	0.6
4	protein1	0.4
4	protein3	2
4	protein2	0.8
5	protein1	0.5
5	protein3	2.5
5	protein2	1
6	protein1	0.6
6	protein3	3
6	protein2	1.2
7	protein1	0.7
7	protein3	3.5
7	protein2	1.4
8	protein1	0.8
8	protein3	4
8	protein2	1.6
9	protein1	0.9
9	protein3	4.5
9	protein2	1.8
10	protein1	1
10	protein3	5
10	protein2	2
11	protein1	1.1
11	protein3	5.5
11	protein2	2.2
12	protein1	1.2
12	protein3	6
12	protein2	2.4
13	protein1	1.3
13	protein3	6.5
13	protein2	2.6
14	protein1	1.4
14	protein3	7
14	protein2	2.8
15	protein1	1.5
15	protein3	7.5
15	protein2	3
16	protein1	1.6
16	protein3	8
16	protein2	3.2
17	protein1	1.7
17	protein3	8.5
17	protein2	3.4
18	protein1	1.8
18	protein3	9
18	protein2	3.6
19	protein1	1.9
19	protein3	9.5
19	protein2	3.8
20	protein1	2
20	protein3	10
20	protein2	4
21	protein1	2.1
21	protein3	10.5
21	protein2	4.2
22	protein1	2.2
22	protein3	11
22	protein2	4.4
23	protein1	2.3
23	protein3	11.5
23	protein2	4.6
24	protein1	2.4
24	protein3	12
24	protein2	4.8
25	protein1	2.5
25	protein3	12.5
25	protein2	5
26	protein1	2.6
26	protein3	13
26	protein2	5.2
27	protein1	2.7
27	protein3	13.5
27	protein2	5.4
28	protein1	2.8
28	protein3	14
28	protein2	5.6
29	protein1	2.9
29	protein3	14.5
29	protein2	5.8
30	protein1	3
30	protein3	15
30	protein2	6
31	protein1	3.1
31	protein3	15.5
31	protein2	6.2
32	protein1	3.2
32	protein3	16
32	protein2	6.4
33	protein1	3.3
33	protein3	16.5
33	protein2	6.6
34	protein1	3.4
34	protein3	17
34	protein2	6.8
35	protein1	3.5
35	protein3	17.5
35	protein2	7
36	protein1	3.6
36	protein3	18
36	protein2	7.2
37	protein1	3.7
37	protein3	18.5
37	protein2	7.4
38	protein1	3.8
38	protein3	19
38	protein2	7.6
39	protein1	3.9
39	protein3	19.5
39	protein2	7.8
40	protein1	4
40	protein3	20
40	protein2	8
41	protein1	4.1
41	protein3	20.5
41	protein2	8.2
42	protein1	4.2
42	protein3	21
42	protein2	8.4
43	protein1	4.3
43	protein3	21.5
43	protein2	8.6
44	protein1	4.4
44	protein3	22
44	protein2	8.8
45	protein1	4.5
45	protein3	22.5
45	protein2	9
46	protein1	4.6
46	protein3	23
46	protein2	9.2
47	protein1	4.7
47	protein3	23.5
47	protein2	9.4
48	protein1	4.8
48	protein3	24
48	protein2	9.6
49	protein1	4.9
49	protein3	24.5
49	protein2	9.8
50	protein1	5
50	protein3	25
50	protein2	10
51	protein1	5.1
51	protein3	25.5
51	protein2	10.2
52	protein1	5.2
52	protein3	26
52	protein2	10.4
53	protein1	5.3
53	protein3	26.5
53	protein2	10.6
54	protein1	5.4
54	protein3	27
54	protein2	10.8
55	protein1	5.5
55	protein3	27.5
55	protein2	11
56	protein1	5.6
56	protein3	28
56	protein2	11.2
57	protein1	5.7
57	protein3	28.5
57	protein2	11.4
58	protein1	5.8
58	protein3	29
58	protein2	11.6
59	protein1	5.9
59	protein3	29.5
59	protein2	11.8
60	protein1	6
60	protein3	30
60	protein2	12
61	protein1	6.1
61	protein3	30.5
61	protein2	12.2
62	protein1	6.2
62	protein3	31
62	protein2	12.4
63	protein1	6.3
63	protein3	31.5
63	protein2	12.6
64	protein1	6.4
64	protein3	32
64	protein2	12.8
65	protein1	6.5
65	protein3	32.5
65	protein2	13
66	protein1	6.6
66	protein3	33
66	protein2	13.2
67	protein1	6.7
67	protein3	33.5
67	protein2	13.4
68	protein1	6.8
68	protein3	34
68	protein2	13.6
69	protein1	6.9
69	protein3	34.5
69	protein2	13.8
70	protein1	7
70	protein3	35
70	protein2	14
71	protein1	7.1
71	protein3	35.5
71	protein2	14.2
72	protein1	7.2
72	protein3	36
72	protein2	14.4
73	protein1	7.3
73	protein3	36.5
73	protein2	14.6
74	protein1	7.4
74	protein3	37
74	protein2	14.8
75	protein1	7.5
75	protein3	37.5
75	protein2	15
76	protein1	7.6
76	protein3	38
76	protein2	15.2
77	protein1	7.7
77	protein3	38.5
77	protein2	15.4
78	protein1	7.8
78	protein3	39
78	protein2	15.6
79	protein1	7.9
79	protein3	39.5
79	protein2	15.8
80	protein1	8
