time	species	transcript
1	protein1	0.16
1	protein2	0.04
1	protein3	0.11
2	protein1	0.32
2	protein2	0.08
2	protein3	0.22
3	protein1	0.48
3	protein2	0.12
3	protein3	0.33
4	protein1	0.64
4	protein2	0.16
4	protein3	0.44
5	protein1	0.8
5	protein2	0.2
5	protein3	0.55
6	protein1	0.96
6	protein2	0.24
6	protein3	0.66
7	protein1	1.12
7	protein2	0.28
7	protein3	0.77
8	protein1	1.28
8	protein2	0.32
8	protein3	0.88
9	protein1	1.44
9	protein2	0.36
9	protein3	0.99
10	protein1	1.6
10	protein2	0.4
10	protein3	1.1
11	protein1	1.76
11	protein2	0.44
11	protein3	1.21
12	protein1	1.92
12	protein2	0.48
12	protein3	1.32
13	protein1	2.08
13	protein2	0.52
13	protein3	1.43
14	protein1	2.24
14	protein2	0.56
14	protein3	1.54
15	protein1	2.4
15	protein2	0.6
15	protein3	1.65
16	protein1	2.56
16	protein2	0.64
16	protein3	1.76
17	protein1	2.72
17	protein2	0.68
17	protein3	1.87
18	protein1	2.88
18	protein2	0.72
18	protein3	1.98
19	protein1	3.04
19	protein2	0.76
19	protein3	2.09
20	protein1	3.2
20	protein2	0.8
20	protein3	2.2
21	protein1	3.36
21	protein2	0.84
21	protein3	2.31
22	protein1	3.52
22	protein2	0.88
22	protein3	2.42
23	protein1	3.68
23	protein2	0.92
23	protein3	2.53
24	protein1	3.84
24	protein2	0.96
24	protein3	2.64
25	protein1	4.0
25	protein2	1.0
25	protein3	2.75
26	protein1	4.16
26	protein2	1.04
26	protein3	2.86
27	protein1	4.32
27	protein2	1.08
27	protein3	2.97
28	protein1	4.48
28	protein2	1.12
28	protein3	3.08
29	protein1	4.64
29	protein2	1.16
29	protein3	3.19
30	protein1	4.8
30	protein2	1.2
30	protein3	3.3
31	protein1	4.96
31	protein2	1.24
31	protein3	3.41
32	protein1	5.12
32	protein2	1.28
32	protein3	3.52
33	protein1	5.28
33	protein2	1.32
33	protein3	3.63
34	protein1	5.44
34	protein2	1.36
34	protein3	3.74
35	protein1	5.6000000000000005
35	protein2	1.4000000000000001
35	protein3	3.85
36	protein1	5.76
36	protein2	1.44
