time	species	protein	transcript	ribo_density
0.0	__protein1_rbs	0.0	0.0	0.0
0.0	__protein2_rbs	0.0	0.0	0.0
0.0	__protein3_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p0	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.0208760000000001	__protein1_rbs	1.0	0.0	0.0
1.0208760000000001	__protein2_rbs	0.0	0.0	0.0
1.0208760000000001	__protein3_rbs	0.0	0.0	0.0
1.0208760000000001	__ribosome	99.0	0.0	0.0
1.0208760000000001	__rnase_site_ext	1.0	0.0	0.0
1.0208760000000001	p0	1.0	0.0	0.0
1.0208760000000001	protein1	0.0	2.0	0.5
1.0208760000000001	rnapol	2.0	0.0	0.0
1.999066	__protein1_rbs	2.0	0.0	0.0
1.999066	__protein2_rbs	0.0	0.0	0.0
1.999066	__protein3_rbs	0.0	0.0	0.0
1.999066	__ribosome	96.0	0.0	0.0
1.999066	__rnase_site_ext	2.0	0.0	0.0
1.999066	p0	1.0	0.0	0.0
1.999066	protein1	0.0	4.0	1.0
1.999066	rnapol	0.0	0.0	0.0
2.999414	__protein1_rbs	2.0	0.0	0.0
2.999414	__protein2_rbs	0.0	0.0	0.0
2.999414	__protein3_rbs	0.0	0.0	0.0
2.999414	__ribosome	91.0	0.0	0.0
2.999414	__rnase_site_ext	2.0	0.0	0.0
2.999414	p0	1.0	0.0	0.0
2.999414	protein1	0.0	4.0	2.25
2.999414	rnapol	0.0	0.0	0.0
4.001791000000001	__protein1_rbs	2.0	0.0	0.0
4.001791000000001	__protein2_rbs	0.0	0.0	0.0
4.001791000000001	__protein3_rbs	0.0	0.0	0.0
4.001791000000001	__ribosome	88.0	0.0	0.0
4.001791000000001	__rnase_site_ext	3.0	0.0	0.0
4.001791000000001	p0	1.0	0.0	0.0
4.001791000000001	protein1	0.0	4.0	3.0
4.001791000000001	rnapol	0.0	0.0	0.0
4.999706	__protein1_rbs	4.0	0.0	0.0
4.999706	__protein2_rbs	2.0	0.0	0.0
4.999706	__protein3_rbs	0.0	0.0	0.0
4.999706	__ribosome	86.0	0.0	0.0
4.999706	__rnase_site_ext	4.0	0.0	0.0
4.999706	p0	1.0	0.0	0.0
4.999706	protein1	2.0	4.0	3.25
4.999706	protein2	0.0	3.0	0.333333
