time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000578	__proteinX_rbs	1.000000	0.000000	0.000000
1.000578	__proteinY_rbs	1.000000	0.000000	0.000000
1.000578	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000578	__ribosome	98.000000	0.000000	0.000000
1.000578	__rnase_site	2.000000	0.000000	0.000000
1.000578	__rnase_site_ext	3.000000	0.000000	0.000000
1.000578	p1	1.000000	0.000000	0.000000
1.000578	p2	1.000000	0.000000	0.000000
1.000578	proteinX	0.000000	2.000000	0.500000
1.000578	proteinY	0.000000	2.000000	0.500000
1.000578	rnapol	0.000000	0.000000	0.000000
1.999804	__proteinX_rbs	1.000000	0.000000	0.000000
1.999804	__proteinY_rbs	1.000000	0.000000	0.000000
1.999804	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999804	__ribosome	95.000000	0.000000	0.000000
1.999804	__rnase_site	1.000000	0.000000	0.000000
1.999804	__rnase_site_ext	3.000000	0.000000	0.000000
1.999804	p1	1.000000	0.000000	0.000000
1.999804	p2	1.000000	0.000000	0.000000
1.999804	proteinX	0.000000	2.000000	1.500000
1.999804	proteinY	0.000000	2.000000	1.000000
1.999804	rnapol	0.000000	0.000000	0.000000
3.002973	__proteinX_rbs	2.000000	0.000000	0.000000
3.002973	__proteinY_rbs	0.000000	0.000000	0.000000
3.002973	__proteinZ_rbs	1.000000	0.000000	0.000000
3.002973	__ribosome	90.000000	0.000000	0.000000
3.002973	__rnase_site	0.000000	0.000000	0.000000
3.002973	__rnase_site_ext	2.000000	0.000000	0.000000
3.002973	p1	1.000000	0.000000	0.000000
3.002973	p2	1.000000	0.000000	0.000000
3.002973	proteinX	0.000000	2.000000	2.500000
3.002973	proteinY	0.000000	2.000000	2.500000
3.002973	proteinZ	0.000000	1.000000	0.000000
3.002973	rnapol	0.000000	0.000000	0.000000
3.999762	__proteinX_rbs	2.000000	0.000000	0.000000
3.999762	__proteinY_rbs	1.000000	0.000000	0.000000
3.999762	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999762	__ribosome	88.000000	0.000000	0.000000
3.999762	__rnase_site	1.000000	0.000000	0.000000
3.999762	__rnase_site_ext	4.000000	0.000000	0.000000
3.999762	p1	1.000000	0.000000	0.000000
3.999762	p2	1.000000	0.000000	0.000000
3.999762	proteinX	0.000000	2.000000	2.500000
3.999762	proteinY	0.000000	2.000000	3.000000
3.999762	proteinZ	0.000000	1.000000	1.000000
3.999762	rnapol	0.000000	0.000000	0.000000
5.000123	__proteinX_rbs	2.000000	0.000000	0.000000
5.000123	__proteinY_rbs	1.000000	0.000000	0.000000
5.000123	__proteinZ_rbs	2.000000	0.000000	0.000000
5.000123	__ribosome	84.000000	0.000000	0.000000
5.000123	__rnase_site	2.000000	0.000000	0.000000
5.000123	__rnase_site_ext	4.000000	0.000000	0.000000
5.000123	p1	1.000000	0.000000	0.000000
5.000123	p2	1.000000	0.000000	0.000000
5.000123	proteinX	0.000000	4.000000	2.000000
5.000123	proteinY	1.000000	2.000000	3.000000
5.000123	proteinZ	0.000000	2.000000	1.000000
5.000123	rnapol	0.000000	0.000000	0.000000
5.999348	__proteinX_rbs	1.000000	0.000000	0.000000
5.999348	__proteinY_rbs	1.000000	0.000000	0.000000
5.999348	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999348	__ribosome	78.000000	0.000000	0.000000
5.999348	__rnase_site	1.000000	0.000000	0.000000
5.999348	__rnase_site_ext	3.000000	0.000000	0.000000
5.999348	p1	1.000000	0.000000	0.000000
5.999348	p2	1.000000	0.000000	0.000000
5.999348	proteinX	3.000000	4.000000	2.500000
5.999348	proteinY	1.000000	2.000000	4.000000
5.999348	proteinZ	0.000000	2.000000	2.000000
5.999348	rnapol	0.000000	0.000000	0.000000
7.001216	__proteinX_rbs	2.000000	0.000000	0.000000
7.001216	__proteinY_rbs	1.000000	0.000000	0.000000
7.001216	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001216	__ribosome	75.000000	0.000000	0.000000
7.001216	__rnase_site	1.000000	0.000000	0.000000
7.001216	__rnase_site_ext	5.000000	0.000000	0.000000
7.001216	p1	1.000000	0.000000	0.000000
7.001216	p2	1.000000	0.000000	0.000000
7.001216	proteinX	5.000000	5.000000	2.400000
7.001216	proteinY	4.000000	2.000000	3.500000
7.001216	proteinZ	0.000000	2.000000	3.000000
7.001216	rnapol	0.000000	0.000000	0.000000
7.999183	__proteinX_rbs	3.000000	0.000000	0.000000
7.999183	__proteinY_rbs	1.000000	0.000000	0.000000
7.999183	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999183	__ribosome	66.000000	0.000000	0.000000
7.999183	__rnase_site	2.000000	0.000000	0.000000
7.999183	__rnase_site_ext	5.000000	0.000000	0.000000
7.999183	p1	1.000000	0.000000	0.000000
7.999183	p2	1.000000	0.000000	0.000000
7.999183	proteinX	5.000000	6.000000	2.833333
