time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001049	__proteinX_rbs	1.000000	0.000000	0.000000
1.001049	__proteinY_rbs	0.000000	0.000000	0.000000
1.001049	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001049	__ribosome	96.000000	0.000000	0.000000
1.001049	__rnase_site	0.000000	0.000000	0.000000
1.001049	__rnase_site_ext	1.000000	0.000000	0.000000
1.001049	p1	1.000000	0.000000	0.000000
1.001049	p2	1.000000	0.000000	0.000000
1.001049	proteinX	0.000000	2.000000	0.500000
1.001049	proteinZ	0.000000	2.000000	1.500000
1.001049	rnapol	0.000000	0.000000	0.000000
2.002028	__proteinX_rbs	1.000000	0.000000	0.000000
2.002028	__proteinY_rbs	0.000000	0.000000	0.000000
2.002028	__proteinZ_rbs	0.000000	0.000000	0.000000
2.002028	__ribosome	89.000000	0.000000	0.000000
2.002028	__rnase_site	1.000000	0.000000	0.000000
2.002028	__rnase_site_ext	3.000000	0.000000	0.000000
2.002028	p1	1.000000	0.000000	0.000000
2.002028	p2	1.000000	0.000000	0.000000
2.002028	proteinX	0.000000	2.000000	2.000000
2.002028	proteinZ	0.000000	2.000000	3.500000
2.002028	rnapol	0.000000	0.000000	0.000000
3.001954	__proteinX_rbs	0.000000	0.000000	0.000000
3.001954	__proteinY_rbs	0.000000	0.000000	0.000000
3.001954	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001954	__ribosome	83.000000	0.000000	0.000000
3.001954	__rnase_site	1.000000	0.000000	0.000000
3.001954	__rnase_site_ext	2.000000	0.000000	0.000000
3.001954	p1	1.000000	0.000000	0.000000
3.001954	p2	1.000000	0.000000	0.000000
3.001954	proteinX	0.000000	2.000000	3.500000
3.001954	proteinZ	0.000000	2.000000	5.000000
3.001954	rnapol	0.000000	0.000000	0.000000
3.999749	__proteinX_rbs	1.000000	0.000000	0.000000
3.999749	__proteinY_rbs	0.000000	0.000000	0.000000
3.999749	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999749	__ribosome	76.000000	0.000000	0.000000
3.999749	__rnase_site	0.000000	0.000000	0.000000
3.999749	__rnase_site_ext	2.000000	0.000000	0.000000
3.999749	p1	1.000000	0.000000	0.000000
3.999749	p2	1.000000	0.000000	0.000000
3.999749	proteinX	0.000000	2.000000	4.500000
3.999749	proteinZ	0.000000	3.000000	5.000000
3.999749	rnapol	0.000000	0.000000	0.000000
4.999831	__proteinX_rbs	2.000000	0.000000	0.000000
4.999831	__proteinY_rbs	2.000000	0.000000	0.000000
4.999831	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999831	__ribosome	70.000000	0.000000	0.000000
4.999831	__rnase_site	0.000000	0.000000	0.000000
4.999831	__rnase_site_ext	2.000000	0.000000	0.000000
4.999831	p1	1.000000	0.000000	0.000000
4.999831	p2	1.000000	0.000000	0.000000
4.999831	proteinX	1.000000	3.000000	3.333333
4.999831	proteinY	0.000000	2.000000	0.000000
4.999831	proteinZ	1.000000	3.000000	6.666667
4.999831	rnapol	0.000000	0.000000	0.000000
5.999983	__proteinX_rbs	1.000000	0.000000	0.000000
5.999983	__proteinY_rbs	1.000000	0.000000	0.000000
5.999983	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999983	__ribosome	64.000000	0.000000	0.000000
5.999983	__rnase_site	1.000000	0.000000	0.000000
5.999983	__rnase_site_ext	2.000000	0.000000	0.000000
5.999983	p1	1.000000	0.000000	0.000000
5.999983	p2	1.000000	0.000000	0.000000
5.999983	proteinX	4.000000	3.000000	3.666667
5.999983	proteinY	0.000000	2.000000	1.000000
5.999983	proteinZ	3.000000	3.000000	7.666667
5.999983	rnapol	0.000000	0.000000	0.000000
6.999028	__proteinX_rbs	2.000000	0.000000	0.000000
6.999028	__proteinY_rbs	1.000000	0.000000	0.000000
6.999028	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999028	__ribosome	60.000000	0.000000	0.000000
6.999028	__rnase_site	1.000000	0.000000	0.000000
6.999028	__rnase_site_ext	3.000000	0.000000	0.000000
6.999028	p1	1.000000	0.000000	0.000000
6.999028	p2	1.000000	0.000000	0.000000
6.999028	proteinX	6.000000	3.000000	3.666667
6.999028	proteinY	0.000000	2.000000	2.500000
6.999028	proteinZ	7.000000	3.000000	8.000000
6.999028	rnapol	0.000000	0.000000	0.000000
7.999278	__proteinX_rbs	2.000000	0.000000	0.000000
7.999278	__proteinY_rbs	2.000000	0.000000	0.000000
7.999278	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999278	__ribosome	59.000000	0.000000	0.000000
7.999278	__rnase_site	3.000000	0.000000	0.000000
7.999278	__rnase_site_ext	3.000000	0.000000	0.000000
7.999278	p1	1.000000	0.000000	0.000000
7.999278	p2	0.000000	0.000000	0.000000
7.999278	proteinX	9.000000	3.000000	3.333333
7.999278	proteinY	0.000000	2.000000	2.500000
7.999278	proteinZ	10.000000	3.000000	8.666667
