time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	100.000000	0.000000	0.000000
1.005745	__proteinX_rbs	0.000000	0.000000	0.000000
1.005745	__proteinY_rbs	0.000000	0.000000	0.000000
1.005745	__proteinZ_rbs	2.000000	0.000000	0.000000
1.005745	__ribosome	97.000000	0.000000	0.000000
1.005745	__rnase_site	3.000000	0.000000	0.000000
1.005745	__rnase_site_ext	6.000000	0.000000	0.000000
1.005745	p1	0.000000	0.000000	0.000000
1.005745	p2	0.000000	0.000000	0.000000
1.005745	proteinX	0.000000	2.000000	1.000000
1.005745	proteinZ	0.000000	2.000000	0.500000
1.005745	rnapol	92.000000	0.000000	0.000000
2.000069	__proteinX_rbs	3.000000	0.000000	0.000000
2.000069	__proteinY_rbs	0.000000	0.000000	0.000000
2.000069	__proteinZ_rbs	4.000000	0.000000	0.000000
2.000069	__ribosome	90.000000	0.000000	0.000000
2.000069	__rnase_site	4.000000	0.000000	0.000000
2.000069	__rnase_site_ext	7.000000	0.000000	0.000000
2.000069	p1	0.000000	0.000000	0.000000
2.000069	p2	0.000000	0.000000	0.000000
2.000069	proteinX	0.000000	5.000000	1.200000
2.000069	proteinZ	0.000000	5.000000	0.800000
2.000069	rnapol	88.000000	0.000000	0.000000
2.999159	__proteinX_rbs	2.000000	0.000000	0.000000
2.999159	__proteinY_rbs	0.000000	0.000000	0.000000
2.999159	__proteinZ_rbs	3.000000	0.000000	0.000000
2.999159	__ribosome	77.000000	0.000000	0.000000
2.999159	__rnase_site	4.000000	0.000000	0.000000
2.999159	__rnase_site_ext	9.000000	0.000000	0.000000
2.999159	p1	0.000000	0.000000	0.000000
2.999159	p2	0.000000	0.000000	0.000000
2.999159	proteinX	0.000000	7.000000	1.571429
2.999159	proteinZ	0.000000	7.000000	1.714286
2.999159	rnapol	82.000000	0.000000	0.000000
3.999100	__proteinX_rbs	7.000000	0.000000	0.000000
3.999100	__proteinY_rbs	0.000000	0.000000	0.000000
3.999100	__proteinZ_rbs	5.000000	0.000000	0.000000
3.999100	__ribosome	62.000000	0.000000	0.000000
3.999100	__rnase_site	7.000000	0.000000	0.000000
3.999100	__rnase_site_ext	15.000000	0.000000	0.000000
3.999100	p1	0.000000	0.000000	0.000000
3.999100	p2	0.000000	0.000000	0.000000
3.999100	proteinX	0.000000	9.000000	1.888889
3.999100	proteinZ	0.000000	10.000000	2.100000
3.999100	rnapol	79.000000	0.000000	0.000000
4.999113	__proteinX_rbs	9.000000	0.000000	0.000000
4.999113	__proteinY_rbs	1.000000	0.000000	0.000000
4.999113	__proteinZ_rbs	8.000000	0.000000	0.000000
4.999113	__ribosome	51.000000	0.000000	0.000000
4.999113	__rnase_site	13.000000	0.000000	0.000000
4.999113	__rnase_site_ext	23.000000	0.000000	0.000000
4.999113	p1	0.000000	0.000000	0.000000
4.999113	p2	0.000000	0.000000	0.000000
4.999113	proteinX	2.000000	12.000000	1.916667
4.999113	proteinY	0.000000	2.000000	1.000000
4.999113	proteinZ	1.000000	12.000000	2.000000
4.999113	rnapol	75.000000	0.000000	0.000000
5.999092	__proteinX_rbs	11.000000	0.000000	0.000000
5.999092	__proteinY_rbs	3.000000	0.000000	0.000000
5.999092	__proteinZ_rbs	10.000000	0.000000	0.000000
5.999092	__ribosome	35.000000	0.000000	0.000000
5.999092	__rnase_site	12.000000	0.000000	0.000000
5.999092	__rnase_site_ext	23.000000	0.000000	0.000000
5.999092	p1	0.000000	0.000000	0.000000
5.999092	p2	0.000000	0.000000	0.000000
5.999092	proteinX	4.000000	15.000000	1.933333
5.999092	proteinY	0.000000	4.000000	1.250000
5.999092	proteinZ	3.000000	15.000000	2.066667
5.999092	rnapol	71.000000	0.000000	0.000000
6.999105	__proteinX_rbs	11.000000	0.000000	0.000000
6.999105	__proteinY_rbs	7.000000	0.000000	0.000000
6.999105	__proteinZ_rbs	14.000000	0.000000	0.000000
6.999105	__ribosome	22.000000	0.000000	0.000000
6.999105	__rnase_site	15.000000	0.000000	0.000000
6.999105	__rnase_site_ext	27.000000	0.000000	0.000000
6.999105	p1	0.000000	0.000000	0.000000
6.999105	p2	0.000000	0.000000	0.000000
6.999105	proteinX	9.000000	17.000000	2.117647
6.999105	proteinY	0.000000	7.000000	1.000000
6.999105	proteinZ	8.000000	18.000000	1.944444
6.999105	rnapol	69.000000	0.000000	0.000000
7.999192	__proteinX_rbs	15.000000	0.000000	0.000000
7.999192	__proteinY_rbs	5.000000	0.000000	0.000000
7.999192	__proteinZ_rbs	12.000000	0.000000	0.000000
7.999192	__ribosome	13.000000	0.000000	0.000000
7.999192	__rnase_site	15.000000	0.000000	0.000000
7.999192	__rnase_site_ext	30.000000	0.000000	0.000000
7.999192	p1	0.000000	0.000000	0.000000
7.999192	p2	0.000000	0.000000	0.000000
7.999192	proteinX	18.000000	19.000000	1.842105
7.999192	proteinY	0.000000	8.000000	1.375000
7.999192	proteinZ	12.000000	20.000000	2.050000
