time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	200.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003717	__proteinX_rbs	1.000000	0.000000	0.000000
1.003717	__proteinY_rbs	0.000000	0.000000	0.000000
1.003717	__proteinZ_rbs	1.000000	0.000000	0.000000
1.003717	__ribosome	198.000000	0.000000	0.000000
1.003717	__rnase_site	2.000000	0.000000	0.000000
1.003717	__rnase_site_ext	3.000000	0.000000	0.000000
1.003717	p1	1.000000	0.000000	0.000000
1.003717	p2	1.000000	0.000000	0.000000
1.003717	proteinX	0.000000	2.000000	0.500000
1.003717	proteinZ	0.000000	2.000000	0.500000
1.003717	rnapol	0.000000	0.000000	0.000000
1.999873	__proteinX_rbs	0.000000	0.000000	0.000000
1.999873	__proteinY_rbs	0.000000	0.000000	0.000000
1.999873	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999873	__ribosome	191.000000	0.000000	0.000000
1.999873	__rnase_site	2.000000	0.000000	0.000000
1.999873	__rnase_site_ext	2.000000	0.000000	0.000000
1.999873	p1	1.000000	0.000000	0.000000
1.999873	p2	1.000000	0.000000	0.000000
1.999873	proteinX	0.000000	2.000000	2.000000
1.999873	proteinZ	0.000000	2.000000	2.500000
1.999873	rnapol	0.000000	0.000000	0.000000
3.001151	__proteinX_rbs	0.000000	0.000000	0.000000
3.001151	__proteinY_rbs	0.000000	0.000000	0.000000
3.001151	__proteinZ_rbs	1.000000	0.000000	0.000000
3.001151	__ribosome	185.000000	0.000000	0.000000
3.001151	__rnase_site	1.000000	0.000000	0.000000
3.001151	__rnase_site_ext	2.000000	0.000000	0.000000
3.001151	p1	0.000000	0.000000	0.000000
3.001151	p2	1.000000	0.000000	0.000000
3.001151	proteinX	0.000000	2.000000	3.500000
3.001151	proteinZ	0.000000	2.000000	4.000000
3.001151	rnapol	0.000000	0.000000	0.000000
3.999783	__proteinX_rbs	2.000000	0.000000	0.000000
3.999783	__proteinY_rbs	0.000000	0.000000	0.000000
3.999783	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999783	__ribosome	179.000000	0.000000	0.000000
3.999783	__rnase_site	1.000000	0.000000	0.000000
3.999783	__rnase_site_ext	4.000000	0.000000	0.000000
3.999783	p1	1.000000	0.000000	0.000000
3.999783	p2	0.000000	0.000000	0.000000
3.999783	proteinX	0.000000	3.000000	3.333333
3.999783	proteinZ	0.000000	2.000000	5.500000
3.999783	rnapol	0.000000	0.000000	0.000000
5.003708	__proteinX_rbs	0.000000	0.000000	0.000000
5.003708	__proteinY_rbs	0.000000	0.000000	0.000000
5.003708	__proteinZ_rbs	2.000000	0.000000	0.000000
5.003708	__ribosome	171.000000	0.000000	0.000000
5.003708	__rnase_site	3.000000	0.000000	0.000000
5.003708	__rnase_site_ext	4.000000	0.000000	0.000000
5.003708	p1	1.000000	0.000000	0.000000
5.003708	p2	1.000000	0.000000	0.000000
5.003708	proteinX	1.000000	3.000000	4.333333
5.003708	proteinY	0.000000	1.000000	2.000000
5.003708	proteinZ	0.000000	3.000000	4.666667
5.003708	rnapol	0.000000	0.000000	0.000000
5.999167	__proteinX_rbs	1.000000	0.000000	0.000000
5.999167	__proteinY_rbs	2.000000	0.000000	0.000000
5.999167	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999167	__ribosome	167.000000	0.000000	0.000000
5.999167	__rnase_site	2.000000	0.000000	0.000000
5.999167	__rnase_site_ext	2.000000	0.000000	0.000000
5.999167	p1	1.000000	0.000000	0.000000
5.999167	p2	1.000000	0.000000	0.000000
5.999167	proteinX	4.000000	3.000000	4.333333
5.999167	proteinY	0.000000	2.000000	2.000000
5.999167	proteinZ	2.000000	3.000000	5.333333
5.999167	rnapol	0.000000	0.000000	0.000000
6.999297	__proteinX_rbs	0.000000	0.000000	0.000000
6.999297	__proteinY_rbs	1.000000	0.000000	0.000000
6.999297	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999297	__ribosome	163.000000	0.000000	0.000000
6.999297	__rnase_site	2.000000	0.000000	0.000000
6.999297	__rnase_site_ext	3.000000	0.000000	0.000000
6.999297	p1	1.000000	0.000000	0.000000
6.999297	p2	0.000000	0.000000	0.000000
6.999297	proteinX	6.000000	3.000000	4.666667
6.999297	proteinY	0.000000	2.000000	3.000000
6.999297	proteinZ	5.000000	3.000000	5.666667
6.999297	rnapol	0.000000	0.000000	0.000000
7.999201	__proteinX_rbs	3.000000	0.000000	0.000000
7.999201	__proteinY_rbs	0.000000	0.000000	0.000000
7.999201	__proteinZ_rbs	2.000000	0.000000	0.000000
7.999201	__ribosome	159.000000	0.000000	0.000000
7.999201	__rnase_site	2.000000	0.000000	0.000000
7.999201	__rnase_site_ext	5.000000	0.000000	0.000000
7.999201	p1	1.000000	0.000000	0.000000
7.999201	p2	0.000000	0.000000	0.000000
7.999201	proteinX	9.000000	3.000000	4.666667
7.999201	proteinY	0.000000	3.000000	3.333333
7.999201	proteinZ	8.000000	4.000000	4.250000
