time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000101	__proteinX_rbs	1.000000	0.000000	0.000000
1.000101	__proteinY_rbs	0.000000	0.000000	0.000000
1.000101	__proteinZ_rbs	1.000000	0.000000	0.000000
1.000101	__ribosome	98.000000	0.000000	0.000000
1.000101	__rnase_site	2.000000	0.000000	0.000000
1.000101	__rnase_site_ext	3.000000	0.000000	0.000000
1.000101	p1	1.000000	0.000000	0.000000
1.000101	p2	1.000000	0.000000	0.000000
1.000101	proteinX	0.000000	2.000000	0.500000
1.000101	proteinZ	0.000000	2.000000	0.500000
1.000101	rnapol	0.000000	0.000000	0.000000
2.001832	__proteinX_rbs	1.000000	0.000000	0.000000
2.001832	__proteinY_rbs	0.000000	0.000000	0.000000
2.001832	__proteinZ_rbs	1.000000	0.000000	0.000000
2.001832	__ribosome	95.000000	0.000000	0.000000
2.001832	__rnase_site	1.000000	0.000000	0.000000
2.001832	__rnase_site_ext	3.000000	0.000000	0.000000
2.001832	p1	1.000000	0.000000	0.000000
2.001832	p2	1.000000	0.000000	0.000000
2.001832	proteinX	0.000000	2.000000	1.500000
2.001832	proteinZ	0.000000	2.000000	1.000000
2.001832	rnapol	0.000000	0.000000	0.000000
3.000680	__proteinX_rbs	0.000000	0.000000	0.000000
3.000680	__proteinY_rbs	0.000000	0.000000	0.000000
3.000680	__proteinZ_rbs	1.000000	0.000000	0.000000
3.000680	__ribosome	89.000000	0.000000	0.000000
3.000680	__rnase_site	1.000000	0.000000	0.000000
3.000680	__rnase_site_ext	1.000000	0.000000	0.000000
3.000680	p1	1.000000	0.000000	0.000000
3.000680	p2	0.000000	0.000000	0.000000
3.000680	proteinX	0.000000	2.000000	3.500000
3.000680	proteinZ	0.000000	2.000000	2.000000
3.000680	rnapol	0.000000	0.000000	0.000000
3.999644	__proteinX_rbs	1.000000	0.000000	0.000000
3.999644	__proteinY_rbs	0.000000	0.000000	0.000000
3.999644	__proteinZ_rbs	1.000000	0.000000	0.000000
3.999644	__ribosome	83.000000	0.000000	0.000000
3.999644	__rnase_site	1.000000	0.000000	0.000000
3.999644	__rnase_site_ext	3.000000	0.000000	0.000000
3.999644	p1	1.000000	0.000000	0.000000
3.999644	p2	1.000000	0.000000	0.000000
3.999644	proteinX	0.000000	2.000000	4.000000
3.999644	proteinZ	0.000000	3.000000	3.000000
3.999644	rnapol	0.000000	0.000000	0.000000
5.000823	__proteinX_rbs	2.000000	0.000000	0.000000
5.000823	__proteinY_rbs	1.000000	0.000000	0.000000
5.000823	__proteinZ_rbs	3.000000	0.000000	0.000000
5.000823	__ribosome	79.000000	0.000000	0.000000
5.000823	__rnase_site	3.000000	0.000000	0.000000
5.000823	__rnase_site_ext	5.000000	0.000000	0.000000
5.000823	p1	1.000000	0.000000	0.000000
5.000823	p2	1.000000	0.000000	0.000000
5.000823	proteinX	0.000000	2.000000	5.000000
5.000823	proteinY	0.000000	1.000000	1.000000
5.000823	proteinZ	1.000000	4.000000	2.500000
5.000823	rnapol	0.000000	0.000000	0.000000
6.000004	__proteinX_rbs	1.000000	0.000000	0.000000
6.000004	__proteinY_rbs	2.000000	0.000000	0.000000
6.000004	__proteinZ_rbs	4.000000	0.000000	0.000000
6.000004	__ribosome	75.000000	0.000000	0.000000
6.000004	__rnase_site	4.000000	0.000000	0.000000
6.000004	__rnase_site_ext	5.000000	0.000000	0.000000
6.000004	p1	1.000000	0.000000	0.000000
6.000004	p2	1.000000	0.000000	0.000000
6.000004	proteinX	3.000000	2.000000	4.500000
6.000004	proteinY	0.000000	2.000000	1.500000
6.000004	proteinZ	1.000000	4.000000	3.250000
6.000004	rnapol	0.000000	0.000000	0.000000
7.000449	__proteinX_rbs	1.000000	0.000000	0.000000
7.000449	__proteinY_rbs	1.000000	0.000000	0.000000
7.000449	__proteinZ_rbs	2.000000	0.000000	0.000000
7.000449	__ribosome	73.000000	0.000000	0.000000
7.000449	__rnase_site	2.000000	0.000000	0.000000
7.000449	__rnase_site_ext	3.000000	0.000000	0.000000
7.000449	p1	1.000000	0.000000	0.000000
7.000449	p2	0.000000	0.000000	0.000000
7.000449	proteinX	6.000000	2.000000	3.500000
7.000449	proteinY	0.000000	2.000000	3.000000
7.000449	proteinZ	3.000000	4.000000	3.500000
7.000449	rnapol	0.000000	0.000000	0.000000
7.999212	__proteinX_rbs	0.000000	0.000000	0.000000
7.999212	__proteinY_rbs	1.000000	0.000000	0.000000
7.999212	__proteinZ_rbs	3.000000	0.000000	0.000000
7.999212	__ribosome	72.000000	0.000000	0.000000
7.999212	__rnase_site	4.000000	0.000000	0.000000
7.999212	__rnase_site_ext	3.000000	0.000000	0.000000
7.999212	p1	1.000000	0.000000	0.000000
7.999212	p2	1.000000	0.000000	0.000000
7.999212	proteinX	8.000000	2.000000	4.000000
7.999212	proteinY	0.000000	2.000000	3.500000
7.999212	proteinZ	6.000000	5.000000	2.600000
