time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000631	__proteinX_rbs	1.000000	0.000000	0.000000
1.000631	__proteinY_rbs	0.000000	0.000000	0.000000
1.000631	__proteinZ_rbs	1.000000	0.000000	0.000000
1.000631	__ribosome	98.000000	0.000000	0.000000
1.000631	__rnase_site	0.000000	0.000000	0.000000
1.000631	__rnase_site_ext	3.000000	0.000000	0.000000
1.000631	p1	1.000000	0.000000	0.000000
1.000631	p2	1.000000	0.000000	0.000000
1.000631	proteinX	0.000000	2.000000	0.500000
1.000631	proteinZ	0.000000	2.000000	0.500000
1.000631	rnapol	0.000000	0.000000	0.000000
1.999931	__proteinX_rbs	1.000000	0.000000	0.000000
1.999931	__proteinY_rbs	0.000000	0.000000	0.000000
1.999931	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999931	__ribosome	95.000000	0.000000	0.000000
1.999931	__rnase_site	0.000000	0.000000	0.000000
1.999931	__rnase_site_ext	3.000000	0.000000	0.000000
1.999931	p1	1.000000	0.000000	0.000000
1.999931	p2	1.000000	0.000000	0.000000
1.999931	proteinX	0.000000	2.000000	1.500000
1.999931	proteinZ	0.000000	2.000000	1.000000
1.999931	rnapol	0.000000	0.000000	0.000000
2.999303	__proteinX_rbs	0.000000	0.000000	0.000000
2.999303	__proteinY_rbs	0.000000	0.000000	0.000000
2.999303	__proteinZ_rbs	1.000000	0.000000	0.000000
2.999303	__ribosome	89.000000	0.000000	0.000000
2.999303	__rnase_site	0.000000	0.000000	0.000000
2.999303	__rnase_site_ext	1.000000	0.000000	0.000000
2.999303	p1	0.000000	0.000000	0.000000
2.999303	p2	1.000000	0.000000	0.000000
2.999303	proteinX	0.000000	2.000000	3.500000
2.999303	proteinZ	0.000000	2.000000	2.000000
2.999303	rnapol	0.000000	0.000000	0.000000
3.999727	__proteinX_rbs	2.000000	0.000000	0.000000
3.999727	__proteinY_rbs	0.000000	0.000000	0.000000
3.999727	__proteinZ_rbs	2.000000	0.000000	0.000000
3.999727	__ribosome	85.000000	0.000000	0.000000
3.999727	__rnase_site	0.000000	0.000000	0.000000
3.999727	__rnase_site_ext	5.000000	0.000000	0.000000
3.999727	p1	1.000000	0.000000	0.000000
3.999727	p2	1.000000	0.000000	0.000000
3.999727	proteinX	0.000000	3.000000	3.000000
3.999727	proteinZ	0.000000	2.000000	3.000000
3.999727	rnapol	0.000000	0.000000	0.000000
5.000570	__proteinX_rbs	4.000000	0.000000	0.000000
5.000570	__proteinY_rbs	2.000000	0.000000	0.000000
5.000570	__proteinZ_rbs	2.000000	0.000000	0.000000
5.000570	__ribosome	80.000000	0.000000	0.000000
5.000570	__rnase_site	0.000000	0.000000	0.000000
5.000570	__rnase_site_ext	6.000000	0.000000	0.000000
5.000570	p1	1.000000	0.000000	0.000000
5.000570	p2	1.000000	0.000000	0.000000
5.000570	proteinX	0.000000	4.000000	3.250000
5.000570	proteinY	0.000000	2.000000	0.000000
5.000570	proteinZ	1.000000	2.000000	3.500000
5.000570	rnapol	0.000000	0.000000	0.000000
5.999711	__proteinX_rbs	1.000000	0.000000	0.000000
5.999711	__proteinY_rbs	1.000000	0.000000	0.000000
5.999711	__proteinZ_rbs	2.000000	0.000000	0.000000
5.999711	__ribosome	76.000000	0.000000	0.000000
5.999711	__rnase_site	0.000000	0.000000	0.000000
5.999711	__rnase_site_ext	5.000000	0.000000	0.000000
5.999711	p1	1.000000	0.000000	0.000000
5.999711	p2	1.000000	0.000000	0.000000
5.999711	proteinX	3.000000	4.000000	3.500000
5.999711	proteinY	0.000000	2.000000	1.000000
5.999711	proteinZ	2.000000	2.000000	4.000000
5.999711	rnapol	0.000000	0.000000	0.000000
6.999739	__proteinX_rbs	2.000000	0.000000	0.000000
6.999739	__proteinY_rbs	3.000000	0.000000	0.000000
6.999739	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999739	__ribosome	74.000000	0.000000	0.000000
6.999739	__rnase_site	0.000000	0.000000	0.000000
6.999739	__rnase_site_ext	3.000000	0.000000	0.000000
6.999739	p1	1.000000	0.000000	0.000000
6.999739	p2	1.000000	0.000000	0.000000
6.999739	proteinX	6.000000	4.000000	3.500000
6.999739	proteinY	0.000000	3.000000	0.666667
6.999739	proteinZ	3.000000	2.000000	5.000000
6.999739	rnapol	0.000000	0.000000	0.000000
8.002623	__proteinX_rbs	2.000000	0.000000	0.000000
8.002623	__proteinY_rbs	2.000000	0.000000	0.000000
8.002623	__proteinZ_rbs	0.000000	0.000000	0.000000
8.002623	__ribosome	68.000000	0.000000	0.000000
8.002623	__rnase_site	0.000000	0.000000	0.000000
8.002623	__rnase_site_ext	3.000000	0.000000	0.000000
8.002623	p1	1.000000	0.000000	0.000000
8.002623	p2	0.000000	0.000000	0.000000
8.002623	proteinX	8.000000	4.000000	3.750000
8.002623	proteinY	0.000000	3.000000	1.666667
8.002623	proteinZ	4.000000	2.000000	6.000000
