time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000627	__proteinX_rbs	0.000000	0.000000	0.000000
1.000627	__proteinY_rbs	0.000000	0.000000	0.000000
1.000627	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000627	__ribosome	98.000000	0.000000	0.000000
1.000627	__rnase_site	0.000000	0.000000	0.000000
1.000627	__rnase_site_ext	1.000000	0.000000	0.000000
1.000627	p1	0.000000	0.000000	0.000000
1.000627	proteinX	0.000000	2.000000	1.000000
1.000627	rnapol	0.000000	0.000000	0.000000
1.999618	__proteinX_rbs	2.000000	0.000000	0.000000
1.999618	__proteinY_rbs	0.000000	0.000000	0.000000
1.999618	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999618	__ribosome	96.000000	0.000000	0.000000
1.999618	__rnase_site	0.000000	0.000000	0.000000
1.999618	__rnase_site_ext	2.000000	0.000000	0.000000
1.999618	p1	1.000000	0.000000	0.000000
1.999618	proteinX	0.000000	4.000000	1.000000
1.999618	rnapol	0.000000	0.000000	0.000000
2.999848	__proteinX_rbs	2.000000	0.000000	0.000000
2.999848	__proteinY_rbs	0.000000	0.000000	0.000000
2.999848	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999848	__ribosome	92.000000	0.000000	0.000000
2.999848	__rnase_site	0.000000	0.000000	0.000000
2.999848	__rnase_site_ext	4.000000	0.000000	0.000000
2.999848	p1	1.000000	0.000000	0.000000
2.999848	proteinX	0.000000	5.000000	1.600000
2.999848	rnapol	0.000000	0.000000	0.000000
3.999319	__proteinX_rbs	4.000000	0.000000	0.000000
3.999319	__proteinY_rbs	0.000000	0.000000	0.000000
3.999319	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999319	__ribosome	89.000000	0.000000	0.000000
3.999319	__rnase_site	0.000000	0.000000	0.000000
3.999319	__rnase_site_ext	6.000000	0.000000	0.000000
3.999319	p1	1.000000	0.000000	0.000000
3.999319	proteinX	1.000000	6.000000	1.833333
3.999319	rnapol	0.000000	0.000000	0.000000
5.000076	__proteinX_rbs	4.000000	0.000000	0.000000
5.000076	__proteinY_rbs	0.000000	0.000000	0.000000
5.000076	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000076	__ribosome	86.000000	0.000000	0.000000
5.000076	__rnase_site	0.000000	0.000000	0.000000
5.000076	__rnase_site_ext	6.000000	0.000000	0.000000
5.000076	p1	1.000000	0.000000	0.000000
5.000076	proteinX	3.000000	7.000000	2.000000
5.000076	rnapol	0.000000	0.000000	0.000000
6.000510	__proteinX_rbs	1.000000	0.000000	0.000000
6.000510	__proteinY_rbs	1.000000	0.000000	0.000000
6.000510	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000510	__ribosome	81.000000	0.000000	0.000000
6.000510	__rnase_site	0.000000	0.000000	0.000000
6.000510	__rnase_site_ext	2.000000	0.000000	0.000000
6.000510	p1	1.000000	0.000000	0.000000
6.000510	proteinX	6.000000	7.000000	2.714286
6.000510	proteinY	0.000000	1.000000	0.000000
6.000510	rnapol	0.000000	0.000000	0.000000
7.000683	__proteinX_rbs	5.000000	0.000000	0.000000
7.000683	__proteinY_rbs	0.000000	0.000000	0.000000
7.000683	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000683	__ribosome	80.000000	0.000000	0.000000
7.000683	__rnase_site	0.000000	0.000000	0.000000
7.000683	__rnase_site_ext	5.000000	0.000000	0.000000
7.000683	p1	0.000000	0.000000	0.000000
7.000683	proteinX	11.000000	8.000000	2.250000
7.000683	proteinY	0.000000	1.000000	2.000000
7.000683	rnapol	0.000000	0.000000	0.000000
7.999991	__proteinX_rbs	6.000000	0.000000	0.000000
7.999991	__proteinY_rbs	0.000000	0.000000	0.000000
7.999991	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999991	__ribosome	78.000000	0.000000	0.000000
7.999991	__rnase_site	0.000000	0.000000	0.000000
7.999991	__rnase_site_ext	7.000000	0.000000	0.000000
7.999991	p1	1.000000	0.000000	0.000000
7.999991	proteinX	16.000000	9.000000	2.111111
7.999991	proteinY	0.000000	1.000000	3.000000
7.999991	rnapol	0.000000	0.000000	0.000000
9.001664	__proteinX_rbs	5.000000	0.000000	0.000000
9.001664	__proteinY_rbs	1.000000	0.000000	0.000000
9.001664	__proteinZ_rbs	0.000000	0.000000	0.000000
9.001664	__ribosome	71.000000	0.000000	0.000000
9.001664	__rnase_site	0.000000	0.000000	0.000000
9.001664	__rnase_site_ext	5.000000	0.000000	0.000000
9.001664	p1	1.000000	0.000000	0.000000
9.001664	proteinX	21.000000	9.000000	2.666667
9.001664	proteinY	0.000000	2.000000	2.500000
9.001664	rnapol	0.000000	0.000000	0.000000
9.999043	__proteinX_rbs	5.000000	0.000000	0.000000
9.999043	__proteinY_rbs	1.000000	0.000000	0.000000
9.999043	__proteinZ_rbs	1.000000	0.000000	0.000000
9.999043	__ribosome	68.000000	0.000000	0.000000
9.999043	__rnase_site	0.000000	0.000000	0.000000
