time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001770	__proteinX_rbs	1.000000	0.000000	0.000000
1.001770	__proteinY_rbs	2.000000	0.000000	0.000000
1.001770	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001770	__ribosome	98.000000	0.000000	0.000000
1.001770	__rnase_site	0.000000	0.000000	0.000000
1.001770	__rnase_site_ext	3.000000	0.000000	0.000000
1.001770	p1	1.000000	0.000000	0.000000
1.001770	p2	1.000000	0.000000	0.000000
1.001770	proteinX	0.000000	2.000000	1.000000
1.001770	proteinY	0.000000	2.000000	0.000000
1.001770	rnapol	0.000000	0.000000	0.000000
2.000514	__proteinX_rbs	1.000000	0.000000	0.000000
2.000514	__proteinY_rbs	1.000000	0.000000	0.000000
2.000514	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000514	__ribosome	95.000000	0.000000	0.000000
2.000514	__rnase_site	0.000000	0.000000	0.000000
2.000514	__rnase_site_ext	3.000000	0.000000	0.000000
2.000514	p1	1.000000	0.000000	0.000000
2.000514	p2	1.000000	0.000000	0.000000
2.000514	proteinX	0.000000	2.000000	2.000000
2.000514	proteinY	0.000000	2.000000	0.500000
2.000514	rnapol	0.000000	0.000000	0.000000
2.999715	__proteinX_rbs	1.000000	0.000000	0.000000
2.999715	__proteinY_rbs	0.000000	0.000000	0.000000
2.999715	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999715	__ribosome	90.000000	0.000000	0.000000
2.999715	__rnase_site	0.000000	0.000000	0.000000
2.999715	__rnase_site_ext	1.000000	0.000000	0.000000
2.999715	p1	0.000000	0.000000	0.000000
2.999715	p2	1.000000	0.000000	0.000000
2.999715	proteinX	0.000000	2.000000	3.500000
2.999715	proteinY	0.000000	2.000000	1.500000
2.999715	rnapol	0.000000	0.000000	0.000000
4.001035	__proteinX_rbs	2.000000	0.000000	0.000000
4.001035	__proteinY_rbs	0.000000	0.000000	0.000000
4.001035	__proteinZ_rbs	1.000000	0.000000	0.000000
4.001035	__ribosome	87.000000	0.000000	0.000000
4.001035	__rnase_site	1.000000	0.000000	0.000000
4.001035	__rnase_site_ext	3.000000	0.000000	0.000000
4.001035	p1	1.000000	0.000000	0.000000
4.001035	p2	1.000000	0.000000	0.000000
4.001035	proteinX	1.000000	3.000000	2.333333
4.001035	proteinY	0.000000	2.000000	2.500000
4.001035	proteinZ	0.000000	1.000000	1.000000
4.001035	rnapol	0.000000	0.000000	0.000000
5.002607	__proteinX_rbs	3.000000	0.000000	0.000000
5.002607	__proteinY_rbs	1.000000	0.000000	0.000000
5.002607	__proteinZ_rbs	1.000000	0.000000	0.000000
5.002607	__ribosome	84.000000	0.000000	0.000000
5.002607	__rnase_site	1.000000	0.000000	0.000000
5.002607	__rnase_site_ext	4.000000	0.000000	0.000000
5.002607	p1	1.000000	0.000000	0.000000
5.002607	p2	1.000000	0.000000	0.000000
5.002607	proteinX	4.000000	3.000000	2.000000
5.002607	proteinY	0.000000	3.000000	2.666667
5.002607	proteinZ	0.000000	1.000000	2.000000
5.002607	rnapol	0.000000	0.000000	0.000000
5.999591	__proteinX_rbs	2.000000	0.000000	0.000000
5.999591	__proteinY_rbs	3.000000	0.000000	0.000000
5.999591	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999591	__ribosome	80.000000	0.000000	0.000000
5.999591	__rnase_site	0.000000	0.000000	0.000000
5.999591	__rnase_site_ext	4.000000	0.000000	0.000000
5.999591	p1	1.000000	0.000000	0.000000
5.999591	p2	1.000000	0.000000	0.000000
5.999591	proteinX	6.000000	3.000000	2.333333
5.999591	proteinY	0.000000	3.000000	3.333333
5.999591	proteinZ	0.000000	2.000000	1.500000
5.999591	rnapol	0.000000	0.000000	0.000000
6.999106	__proteinX_rbs	1.000000	0.000000	0.000000
6.999106	__proteinY_rbs	1.000000	0.000000	0.000000
6.999106	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999106	__ribosome	73.000000	0.000000	0.000000
6.999106	__rnase_site	1.000000	0.000000	0.000000
6.999106	__rnase_site_ext	3.000000	0.000000	0.000000
6.999106	p1	1.000000	0.000000	0.000000
6.999106	p2	0.000000	0.000000	0.000000
6.999106	proteinX	7.000000	3.000000	3.000000
6.999106	proteinY	2.000000	3.000000	4.000000
6.999106	proteinZ	0.000000	2.000000	3.000000
6.999106	rnapol	0.000000	0.000000	0.000000
8.004192	__proteinX_rbs	2.000000	0.000000	0.000000
8.004192	__proteinY_rbs	3.000000	0.000000	0.000000
8.004192	__proteinZ_rbs	1.000000	0.000000	0.000000
8.004192	__ribosome	72.000000	0.000000	0.000000
8.004192	__rnase_site	1.000000	0.000000	0.000000
8.004192	__rnase_site_ext	5.000000	0.000000	0.000000
8.004192	p1	1.000000	0.000000	0.000000
8.004192	p2	1.000000	0.000000	0.000000
8.004192	proteinX	10.000000	3.000000	2.666667
8.004192	proteinY	4.000000	4.000000	3.000000
