time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.007635	__proteinX_rbs	0.000000	0.000000	0.000000
1.007635	__proteinY_rbs	0.000000	0.000000	0.000000
1.007635	__proteinZ_rbs	0.000000	0.000000	0.000000
1.007635	__ribosome	98.000000	0.000000	0.000000
1.007635	__rnase_site	0.000000	0.000000	0.000000
1.007635	__rnase_site_ext	1.000000	0.000000	0.000000
1.007635	p1	0.000000	0.000000	0.000000
1.007635	proteinX	0.000000	2.000000	1.000000
1.007635	rnapol	0.000000	0.000000	0.000000
2.000803	__proteinX_rbs	2.000000	0.000000	0.000000
2.000803	__proteinY_rbs	0.000000	0.000000	0.000000
2.000803	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000803	__ribosome	96.000000	0.000000	0.000000
2.000803	__rnase_site	0.000000	0.000000	0.000000
2.000803	__rnase_site_ext	2.000000	0.000000	0.000000
2.000803	p1	1.000000	0.000000	0.000000
2.000803	proteinX	0.000000	4.000000	1.000000
2.000803	rnapol	0.000000	0.000000	0.000000
3.000451	__proteinX_rbs	1.000000	0.000000	0.000000
3.000451	__proteinY_rbs	1.000000	0.000000	0.000000
3.000451	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000451	__ribosome	92.000000	0.000000	0.000000
3.000451	__rnase_site	1.000000	0.000000	0.000000
3.000451	__rnase_site_ext	3.000000	0.000000	0.000000
3.000451	p1	1.000000	0.000000	0.000000
3.000451	proteinX	0.000000	4.000000	2.000000
3.000451	proteinY	0.000000	1.000000	0.000000
3.000451	rnapol	0.000000	0.000000	0.000000
4.000874	__proteinX_rbs	4.000000	0.000000	0.000000
4.000874	__proteinY_rbs	1.000000	0.000000	0.000000
4.000874	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000874	__ribosome	91.000000	0.000000	0.000000
4.000874	__rnase_site	1.000000	0.000000	0.000000
4.000874	__rnase_site_ext	4.000000	0.000000	0.000000
4.000874	p1	1.000000	0.000000	0.000000
4.000874	proteinX	1.000000	4.000000	2.000000
4.000874	proteinY	0.000000	1.000000	1.000000
4.000874	rnapol	0.000000	0.000000	0.000000
5.001661	__proteinX_rbs	3.000000	0.000000	0.000000
5.001661	__proteinY_rbs	3.000000	0.000000	0.000000
5.001661	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001661	__ribosome	86.000000	0.000000	0.000000
5.001661	__rnase_site	3.000000	0.000000	0.000000
5.001661	__rnase_site_ext	3.000000	0.000000	0.000000
5.001661	p1	1.000000	0.000000	0.000000
5.001661	proteinX	2.000000	4.000000	3.000000
5.001661	proteinY	0.000000	3.000000	0.666667
5.001661	rnapol	0.000000	0.000000	0.000000
5.999736	__proteinX_rbs	2.000000	0.000000	0.000000
5.999736	__proteinY_rbs	2.000000	0.000000	0.000000
5.999736	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999736	__ribosome	82.000000	0.000000	0.000000
5.999736	__rnase_site	2.000000	0.000000	0.000000
5.999736	__rnase_site_ext	2.000000	0.000000	0.000000
5.999736	p1	1.000000	0.000000	0.000000
5.999736	proteinX	5.000000	4.000000	3.250000
5.999736	proteinY	0.000000	4.000000	1.250000
5.999736	rnapol	0.000000	0.000000	0.000000
6.999433	__proteinX_rbs	3.000000	0.000000	0.000000
6.999433	__proteinY_rbs	2.000000	0.000000	0.000000
6.999433	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999433	__ribosome	81.000000	0.000000	0.000000
6.999433	__rnase_site	3.000000	0.000000	0.000000
6.999433	__rnase_site_ext	3.000000	0.000000	0.000000
6.999433	p1	1.000000	0.000000	0.000000
6.999433	proteinX	10.000000	4.000000	2.500000
6.999433	proteinY	0.000000	4.000000	2.250000
6.999433	proteinZ	0.000000	1.000000	0.000000
6.999433	rnapol	0.000000	0.000000	0.000000
7.999153	__proteinX_rbs	3.000000	0.000000	0.000000
7.999153	__proteinY_rbs	2.000000	0.000000	0.000000
7.999153	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999153	__ribosome	77.000000	0.000000	0.000000
7.999153	__rnase_site	2.000000	0.000000	0.000000
7.999153	__rnase_site_ext	3.000000	0.000000	0.000000
7.999153	p1	1.000000	0.000000	0.000000
7.999153	proteinX	14.000000	4.000000	2.000000
7.999153	proteinY	1.000000	4.000000	3.500000
7.999153	proteinZ	0.000000	1.000000	1.000000
7.999153	rnapol	0.000000	0.000000	0.000000
8.999015	__proteinX_rbs	1.000000	0.000000	0.000000
8.999015	__proteinY_rbs	2.000000	0.000000	0.000000
8.999015	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999015	__ribosome	71.000000	0.000000	0.000000
8.999015	__rnase_site	2.000000	0.000000	0.000000
8.999015	__rnase_site_ext	1.000000	0.000000	0.000000
8.999015	p1	1.000000	0.000000	0.000000
8.999015	proteinX	17.000000	4.000000	2.250000
8.999015	proteinY	2.000000	4.000000	4.000000
8.999015	proteinZ	0.000000	3.000000	1.333333
8.999015	rnapol	0.000000	0.000000	0.000000
