time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001596	__proteinX_rbs	1.000000	0.000000	0.000000
1.001596	__proteinY_rbs	2.000000	0.000000	0.000000
1.001596	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001596	__ribosome	98.000000	0.000000	0.000000
1.001596	__rnase_site	0.000000	0.000000	0.000000
1.001596	__rnase_site_ext	3.000000	0.000000	0.000000
1.001596	p1	1.000000	0.000000	0.000000
1.001596	p2	1.000000	0.000000	0.000000
1.001596	proteinX	0.000000	2.000000	1.000000
1.001596	proteinY	0.000000	2.000000	0.000000
1.001596	rnapol	0.000000	0.000000	0.000000
2.000339	__proteinX_rbs	1.000000	0.000000	0.000000
2.000339	__proteinY_rbs	1.000000	0.000000	0.000000
2.000339	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000339	__ribosome	95.000000	0.000000	0.000000
2.000339	__rnase_site	0.000000	0.000000	0.000000
2.000339	__rnase_site_ext	3.000000	0.000000	0.000000
2.000339	p1	1.000000	0.000000	0.000000
2.000339	p2	1.000000	0.000000	0.000000
2.000339	proteinX	0.000000	2.000000	2.000000
2.000339	proteinY	0.000000	2.000000	0.500000
2.000339	rnapol	0.000000	0.000000	0.000000
2.999041	__proteinX_rbs	1.000000	0.000000	0.000000
2.999041	__proteinY_rbs	1.000000	0.000000	0.000000
2.999041	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999041	__ribosome	91.000000	0.000000	0.000000
2.999041	__rnase_site	0.000000	0.000000	0.000000
2.999041	__rnase_site_ext	2.000000	0.000000	0.000000
2.999041	p1	1.000000	0.000000	0.000000
2.999041	p2	1.000000	0.000000	0.000000
2.999041	proteinX	0.000000	2.000000	3.500000
2.999041	proteinY	0.000000	2.000000	1.000000
2.999041	rnapol	0.000000	0.000000	0.000000
3.999056	__proteinX_rbs	0.000000	0.000000	0.000000
3.999056	__proteinY_rbs	3.000000	0.000000	0.000000
3.999056	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999056	__ribosome	88.000000	0.000000	0.000000
3.999056	__rnase_site	0.000000	0.000000	0.000000
3.999056	__rnase_site_ext	2.000000	0.000000	0.000000
3.999056	p1	1.000000	0.000000	0.000000
3.999056	p2	0.000000	0.000000	0.000000
3.999056	proteinX	1.000000	2.000000	4.000000
3.999056	proteinY	0.000000	3.000000	1.000000
3.999056	proteinZ	0.000000	1.000000	1.000000
3.999056	rnapol	0.000000	0.000000	0.000000
4.999879	__proteinX_rbs	2.000000	0.000000	0.000000
4.999879	__proteinY_rbs	3.000000	0.000000	0.000000
4.999879	__proteinZ_rbs	1.000000	0.000000	0.000000
4.999879	__ribosome	85.000000	0.000000	0.000000
4.999879	__rnase_site	0.000000	0.000000	0.000000
4.999879	__rnase_site_ext	3.000000	0.000000	0.000000
4.999879	p1	1.000000	0.000000	0.000000
4.999879	p2	1.000000	0.000000	0.000000
4.999879	proteinX	3.000000	2.000000	3.500000
4.999879	proteinY	0.000000	4.000000	1.500000
4.999879	proteinZ	0.000000	2.000000	1.000000
4.999879	rnapol	0.000000	0.000000	0.000000
6.000718	__proteinX_rbs	1.000000	0.000000	0.000000
6.000718	__proteinY_rbs	1.000000	0.000000	0.000000
6.000718	__proteinZ_rbs	1.000000	0.000000	0.000000
6.000718	__ribosome	81.000000	0.000000	0.000000
6.000718	__rnase_site	0.000000	0.000000	0.000000
6.000718	__rnase_site_ext	3.000000	0.000000	0.000000
6.000718	p1	1.000000	0.000000	0.000000
6.000718	p2	1.000000	0.000000	0.000000
6.000718	proteinX	6.000000	2.000000	3.000000
6.000718	proteinY	1.000000	4.000000	2.250000
6.000718	proteinZ	0.000000	2.000000	2.000000
6.000718	rnapol	0.000000	0.000000	0.000000
6.999016	__proteinX_rbs	1.000000	0.000000	0.000000
6.999016	__proteinY_rbs	1.000000	0.000000	0.000000
6.999016	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999016	__ribosome	73.000000	0.000000	0.000000
6.999016	__rnase_site	0.000000	0.000000	0.000000
6.999016	__rnase_site_ext	3.000000	0.000000	0.000000
6.999016	p1	0.000000	0.000000	0.000000
6.999016	p2	1.000000	0.000000	0.000000
6.999016	proteinX	7.000000	2.000000	3.500000
6.999016	proteinY	1.000000	4.000000	3.250000
6.999016	proteinZ	0.000000	2.000000	3.500000
6.999016	rnapol	0.000000	0.000000	0.000000
7.999415	__proteinX_rbs	3.000000	0.000000	0.000000
7.999415	__proteinY_rbs	2.000000	0.000000	0.000000
7.999415	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999415	__ribosome	71.000000	0.000000	0.000000
7.999415	__rnase_site	0.000000	0.000000	0.000000
7.999415	__rnase_site_ext	4.000000	0.000000	0.000000
7.999415	p1	1.000000	0.000000	0.000000
7.999415	p2	1.000000	0.000000	0.000000
7.999415	proteinX	10.000000	3.000000	2.000000
7.999415	proteinY	3.000000	4.000000	3.500000
