time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001060	__proteinX_rbs	0.000000	0.000000	0.000000
1.001060	__proteinY_rbs	0.000000	0.000000	0.000000
1.001060	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001060	__ribosome	98.000000	0.000000	0.000000
1.001060	__rnase_site	0.000000	0.000000	0.000000
1.001060	__rnase_site_ext	1.000000	0.000000	0.000000
1.001060	p1	0.000000	0.000000	0.000000
1.001060	proteinX	0.000000	2.000000	1.000000
1.001060	rnapol	0.000000	0.000000	0.000000
1.999796	__proteinX_rbs	2.000000	0.000000	0.000000
1.999796	__proteinY_rbs	0.000000	0.000000	0.000000
1.999796	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999796	__ribosome	96.000000	0.000000	0.000000
1.999796	__rnase_site	2.000000	0.000000	0.000000
1.999796	__rnase_site_ext	2.000000	0.000000	0.000000
1.999796	p1	1.000000	0.000000	0.000000
1.999796	proteinX	0.000000	4.000000	1.000000
1.999796	rnapol	0.000000	0.000000	0.000000
2.999105	__proteinX_rbs	1.000000	0.000000	0.000000
2.999105	__proteinY_rbs	1.000000	0.000000	0.000000
2.999105	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999105	__ribosome	92.000000	0.000000	0.000000
2.999105	__rnase_site	2.000000	0.000000	0.000000
2.999105	__rnase_site_ext	3.000000	0.000000	0.000000
2.999105	p1	1.000000	0.000000	0.000000
2.999105	proteinX	0.000000	4.000000	2.000000
2.999105	proteinY	0.000000	1.000000	0.000000
2.999105	rnapol	0.000000	0.000000	0.000000
4.001819	__proteinX_rbs	4.000000	0.000000	0.000000
4.001819	__proteinY_rbs	1.000000	0.000000	0.000000
4.001819	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001819	__ribosome	91.000000	0.000000	0.000000
4.001819	__rnase_site	4.000000	0.000000	0.000000
4.001819	__rnase_site_ext	4.000000	0.000000	0.000000
4.001819	p1	1.000000	0.000000	0.000000
4.001819	proteinX	1.000000	4.000000	2.000000
4.001819	proteinY	0.000000	1.000000	1.000000
4.001819	rnapol	0.000000	0.000000	0.000000
4.999747	__proteinX_rbs	3.000000	0.000000	0.000000
4.999747	__proteinY_rbs	3.000000	0.000000	0.000000
4.999747	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999747	__ribosome	86.000000	0.000000	0.000000
4.999747	__rnase_site	3.000000	0.000000	0.000000
4.999747	__rnase_site_ext	3.000000	0.000000	0.000000
4.999747	p1	1.000000	0.000000	0.000000
4.999747	proteinX	2.000000	4.000000	3.000000
4.999747	proteinY	0.000000	3.000000	0.666667
4.999747	rnapol	0.000000	0.000000	0.000000
5.999487	__proteinX_rbs	2.000000	0.000000	0.000000
5.999487	__proteinY_rbs	2.000000	0.000000	0.000000
5.999487	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999487	__ribosome	82.000000	0.000000	0.000000
5.999487	__rnase_site	2.000000	0.000000	0.000000
5.999487	__rnase_site_ext	2.000000	0.000000	0.000000
5.999487	p1	1.000000	0.000000	0.000000
5.999487	proteinX	5.000000	4.000000	3.250000
5.999487	proteinY	0.000000	4.000000	1.250000
5.999487	rnapol	0.000000	0.000000	0.000000
6.999781	__proteinX_rbs	0.000000	0.000000	0.000000
6.999781	__proteinY_rbs	3.000000	0.000000	0.000000
6.999781	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999781	__ribosome	79.000000	0.000000	0.000000
6.999781	__rnase_site	1.000000	0.000000	0.000000
6.999781	__rnase_site_ext	1.000000	0.000000	0.000000
6.999781	p1	1.000000	0.000000	0.000000
6.999781	proteinX	10.000000	4.000000	3.250000
6.999781	proteinY	0.000000	4.000000	2.000000
6.999781	proteinZ	0.000000	1.000000	0.000000
6.999781	rnapol	0.000000	0.000000	0.000000
7.999087	__proteinX_rbs	4.000000	0.000000	0.000000
7.999087	__proteinY_rbs	3.000000	0.000000	0.000000
7.999087	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999087	__ribosome	77.000000	0.000000	0.000000
7.999087	__rnase_site	7.000000	0.000000	0.000000
7.999087	__rnase_site_ext	4.000000	0.000000	0.000000
7.999087	p1	1.000000	0.000000	0.000000
7.999087	proteinX	14.000000	4.000000	2.750000
7.999087	proteinY	1.000000	4.000000	2.500000
7.999087	proteinZ	0.000000	1.000000	2.000000
7.999087	rnapol	0.000000	0.000000	0.000000
8.999239	__proteinX_rbs	0.000000	0.000000	0.000000
8.999239	__proteinY_rbs	2.000000	0.000000	0.000000
8.999239	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999239	__ribosome	69.000000	0.000000	0.000000
8.999239	__rnase_site	3.000000	0.000000	0.000000
8.999239	__rnase_site_ext	0.000000	0.000000	0.000000
8.999239	p1	1.000000	0.000000	0.000000
8.999239	proteinX	16.000000	3.000000	4.333333
8.999239	proteinY	2.000000	4.000000	3.500000
8.999239	proteinZ	0.000000	3.000000	1.333333
8.999239	rnapol	0.000000	0.000000	0.000000
