time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003642	__proteinX_rbs	1.000000	0.000000	0.000000
1.003642	__proteinY_rbs	1.000000	0.000000	0.000000
1.003642	__proteinZ_rbs	0.000000	0.000000	0.000000
1.003642	__ribosome	99.000000	0.000000	0.000000
1.003642	__rnase_site	1.000000	0.000000	0.000000
1.003642	__rnase_site_ext	4.000000	0.000000	0.000000
1.003642	p1	1.000000	0.000000	0.000000
1.003642	p2	1.000000	0.000000	0.000000
1.003642	proteinX	0.000000	2.000000	0.500000
1.003642	proteinY	0.000000	1.000000	0.000000
1.003642	rnapol	0.000000	0.000000	0.000000
2.000941	__proteinX_rbs	0.000000	0.000000	0.000000
2.000941	__proteinY_rbs	2.000000	0.000000	0.000000
2.000941	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000941	__ribosome	96.000000	0.000000	0.000000
2.000941	__rnase_site	0.000000	0.000000	0.000000
2.000941	__rnase_site_ext	3.000000	0.000000	0.000000
2.000941	p1	1.000000	0.000000	0.000000
2.000941	p2	1.000000	0.000000	0.000000
2.000941	proteinX	0.000000	2.000000	1.500000
2.000941	proteinY	0.000000	2.000000	0.500000
2.000941	rnapol	0.000000	0.000000	0.000000
3.004386	__proteinX_rbs	0.000000	0.000000	0.000000
3.004386	__proteinY_rbs	1.000000	0.000000	0.000000
3.004386	__proteinZ_rbs	0.000000	0.000000	0.000000
3.004386	__ribosome	91.000000	0.000000	0.000000
3.004386	__rnase_site	0.000000	0.000000	0.000000
3.004386	__rnase_site_ext	2.000000	0.000000	0.000000
3.004386	p1	1.000000	0.000000	0.000000
3.004386	p2	0.000000	0.000000	0.000000
3.004386	proteinX	0.000000	2.000000	3.000000
3.004386	proteinY	0.000000	2.000000	1.500000
3.004386	rnapol	0.000000	0.000000	0.000000
3.999886	__proteinX_rbs	2.000000	0.000000	0.000000
3.999886	__proteinY_rbs	1.000000	0.000000	0.000000
3.999886	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999886	__ribosome	88.000000	0.000000	0.000000
3.999886	__rnase_site	4.000000	0.000000	0.000000
3.999886	__rnase_site_ext	5.000000	0.000000	0.000000
3.999886	p1	1.000000	0.000000	0.000000
3.999886	p2	1.000000	0.000000	0.000000
3.999886	proteinX	0.000000	2.000000	3.000000
3.999886	proteinY	0.000000	3.000000	2.000000
3.999886	rnapol	0.000000	0.000000	0.000000
5.001418	__proteinX_rbs	3.000000	0.000000	0.000000
5.001418	__proteinY_rbs	0.000000	0.000000	0.000000
5.001418	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001418	__ribosome	83.000000	0.000000	0.000000
5.001418	__rnase_site	5.000000	0.000000	0.000000
5.001418	__rnase_site_ext	5.000000	0.000000	0.000000
5.001418	p1	1.000000	0.000000	0.000000
5.001418	p2	1.000000	0.000000	0.000000
5.001418	proteinX	2.000000	3.000000	2.333333
5.001418	proteinY	0.000000	4.000000	2.500000
5.001418	rnapol	0.000000	0.000000	0.000000
6.001287	__proteinX_rbs	2.000000	0.000000	0.000000
6.001287	__proteinY_rbs	1.000000	0.000000	0.000000
6.001287	__proteinZ_rbs	1.000000	0.000000	0.000000
6.001287	__ribosome	79.000000	0.000000	0.000000
6.001287	__rnase_site	5.000000	0.000000	0.000000
6.001287	__rnase_site_ext	5.000000	0.000000	0.000000
6.001287	p1	1.000000	0.000000	0.000000
6.001287	p2	1.000000	0.000000	0.000000
6.001287	proteinX	4.000000	3.000000	3.000000
6.001287	proteinY	1.000000	4.000000	3.000000
6.001287	proteinZ	0.000000	1.000000	0.000000
6.001287	rnapol	0.000000	0.000000	0.000000
6.999821	__proteinX_rbs	2.000000	0.000000	0.000000
6.999821	__proteinY_rbs	4.000000	0.000000	0.000000
6.999821	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999821	__ribosome	78.000000	0.000000	0.000000
6.999821	__rnase_site	4.000000	0.000000	0.000000
6.999821	__rnase_site_ext	4.000000	0.000000	0.000000
6.999821	p1	1.000000	0.000000	0.000000
6.999821	p2	0.000000	0.000000	0.000000
6.999821	proteinX	6.000000	3.000000	3.000000
6.999821	proteinY	3.000000	4.000000	3.000000
6.999821	proteinZ	0.000000	1.000000	1.000000
6.999821	rnapol	0.000000	0.000000	0.000000
7.999744	__proteinX_rbs	1.000000	0.000000	0.000000
7.999744	__proteinY_rbs	4.000000	0.000000	0.000000
7.999744	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999744	__ribosome	73.000000	0.000000	0.000000
7.999744	__rnase_site	5.000000	0.000000	0.000000
7.999744	__rnase_site_ext	3.000000	0.000000	0.000000
7.999744	p1	1.000000	0.000000	0.000000
7.999744	p2	1.000000	0.000000	0.000000
7.999744	proteinX	9.000000	3.000000	3.000000
7.999744	proteinY	4.000000	5.000000	3.000000
7.999744	proteinZ	0.000000	1.000000	3.000000
7.999744	rnapol	0.000000	0.000000	0.000000
