time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000905	__proteinX_rbs	0.000000	0.000000	0.000000
1.000905	__proteinY_rbs	0.000000	0.000000	0.000000
1.000905	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000905	__ribosome	98.000000	0.000000	0.000000
1.000905	__rnase_site	0.000000	0.000000	0.000000
1.000905	__rnase_site_ext	1.000000	0.000000	0.000000
1.000905	p1	0.000000	0.000000	0.000000
1.000905	proteinX	0.000000	2.000000	1.000000
1.000905	rnapol	0.000000	0.000000	0.000000
2.000953	__proteinX_rbs	2.000000	0.000000	0.000000
2.000953	__proteinY_rbs	0.000000	0.000000	0.000000
2.000953	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000953	__ribosome	96.000000	0.000000	0.000000
2.000953	__rnase_site	0.000000	0.000000	0.000000
2.000953	__rnase_site_ext	2.000000	0.000000	0.000000
2.000953	p1	1.000000	0.000000	0.000000
2.000953	proteinX	0.000000	4.000000	1.000000
2.000953	rnapol	0.000000	0.000000	0.000000
2.999576	__proteinX_rbs	4.000000	0.000000	0.000000
2.999576	__proteinY_rbs	0.000000	0.000000	0.000000
2.999576	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999576	__ribosome	94.000000	0.000000	0.000000
2.999576	__rnase_site	0.000000	0.000000	0.000000
2.999576	__rnase_site_ext	4.000000	0.000000	0.000000
2.999576	p1	1.000000	0.000000	0.000000
2.999576	proteinX	0.000000	4.000000	1.500000
2.999576	rnapol	0.000000	0.000000	0.000000
3.999097	__proteinX_rbs	3.000000	0.000000	0.000000
3.999097	__proteinY_rbs	0.000000	0.000000	0.000000
3.999097	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999097	__ribosome	87.000000	0.000000	0.000000
3.999097	__rnase_site	0.000000	0.000000	0.000000
3.999097	__rnase_site_ext	4.000000	0.000000	0.000000
3.999097	p1	1.000000	0.000000	0.000000
3.999097	proteinX	0.000000	5.000000	2.600000
3.999097	rnapol	0.000000	0.000000	0.000000
4.999931	__proteinX_rbs	3.000000	0.000000	0.000000
4.999931	__proteinY_rbs	0.000000	0.000000	0.000000
4.999931	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999931	__ribosome	81.000000	0.000000	0.000000
4.999931	__rnase_site	0.000000	0.000000	0.000000
4.999931	__rnase_site_ext	5.000000	0.000000	0.000000
4.999931	p1	1.000000	0.000000	0.000000
4.999931	proteinX	2.000000	7.000000	2.571429
4.999931	proteinY	0.000000	1.000000	1.000000
4.999931	rnapol	0.000000	0.000000	0.000000
5.999034	__proteinX_rbs	5.000000	0.000000	0.000000
5.999034	__proteinY_rbs	1.000000	0.000000	0.000000
5.999034	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999034	__ribosome	79.000000	0.000000	0.000000
5.999034	__rnase_site	0.000000	0.000000	0.000000
5.999034	__rnase_site_ext	6.000000	0.000000	0.000000
5.999034	p1	0.000000	0.000000	0.000000
5.999034	proteinX	6.000000	7.000000	2.714286
5.999034	proteinY	0.000000	1.000000	2.000000
5.999034	rnapol	0.000000	0.000000	0.000000
7.001162	__proteinX_rbs	4.000000	0.000000	0.000000
7.001162	__proteinY_rbs	1.000000	0.000000	0.000000
7.001162	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001162	__ribosome	75.000000	0.000000	0.000000
7.001162	__rnase_site	0.000000	0.000000	0.000000
7.001162	__rnase_site_ext	4.000000	0.000000	0.000000
7.001162	p1	1.000000	0.000000	0.000000
7.001162	proteinX	11.000000	8.000000	2.750000
7.001162	proteinY	0.000000	1.000000	3.000000
7.001162	rnapol	0.000000	0.000000	0.000000
7.999859	__proteinX_rbs	3.000000	0.000000	0.000000
7.999859	__proteinY_rbs	2.000000	0.000000	0.000000
7.999859	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999859	__ribosome	72.000000	0.000000	0.000000
7.999859	__rnase_site	1.000000	0.000000	0.000000
7.999859	__rnase_site_ext	5.000000	0.000000	0.000000
7.999859	p1	1.000000	0.000000	0.000000
7.999859	proteinX	18.000000	9.000000	2.777778
7.999859	proteinY	0.000000	2.000000	1.500000
7.999859	rnapol	0.000000	0.000000	0.000000
8.999517	__proteinX_rbs	6.000000	0.000000	0.000000
8.999517	__proteinY_rbs	2.000000	0.000000	0.000000
8.999517	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999517	__ribosome	71.000000	0.000000	0.000000
8.999517	__rnase_site	1.000000	0.000000	0.000000
8.999517	__rnase_site_ext	8.000000	0.000000	0.000000
8.999517	p1	0.000000	0.000000	0.000000
8.999517	proteinX	23.000000	9.000000	2.777778
8.999517	proteinY	1.000000	2.000000	2.000000
8.999517	proteinZ	0.000000	1.000000	0.000000
8.999517	rnapol	0.000000	0.000000	0.000000
10.001674	__proteinX_rbs	5.000000	0.000000	0.000000
10.001674	__proteinY_rbs	0.000000	0.000000	0.000000
10.001674	__proteinZ_rbs	1.000000	0.000000	0.000000
