time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000906	__proteinX_rbs	0.000000	0.000000	0.000000
1.000906	__proteinY_rbs	0.000000	0.000000	0.000000
1.000906	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000906	__ribosome	98.000000	0.000000	0.000000
1.000906	__rnase_site	0.000000	0.000000	0.000000
1.000906	__rnase_site_ext	1.000000	0.000000	0.000000
1.000906	p1	0.000000	0.000000	0.000000
1.000906	proteinX	0.000000	2.000000	1.000000
1.000906	rnapol	0.000000	0.000000	0.000000
2.000954	__proteinX_rbs	2.000000	0.000000	0.000000
2.000954	__proteinY_rbs	0.000000	0.000000	0.000000
2.000954	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000954	__ribosome	96.000000	0.000000	0.000000
2.000954	__rnase_site	0.000000	0.000000	0.000000
2.000954	__rnase_site_ext	2.000000	0.000000	0.000000
2.000954	p1	1.000000	0.000000	0.000000
2.000954	proteinX	0.000000	4.000000	1.000000
2.000954	rnapol	0.000000	0.000000	0.000000
2.999329	__proteinX_rbs	1.000000	0.000000	0.000000
2.999329	__proteinY_rbs	0.000000	0.000000	0.000000
2.999329	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999329	__ribosome	91.000000	0.000000	0.000000
2.999329	__rnase_site	0.000000	0.000000	0.000000
2.999329	__rnase_site_ext	3.000000	0.000000	0.000000
2.999329	p1	1.000000	0.000000	0.000000
2.999329	proteinX	0.000000	4.000000	2.000000
2.999329	proteinY	0.000000	1.000000	1.000000
2.999329	rnapol	0.000000	0.000000	0.000000
3.999316	__proteinX_rbs	4.000000	0.000000	0.000000
3.999316	__proteinY_rbs	1.000000	0.000000	0.000000
3.999316	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999316	__ribosome	91.000000	0.000000	0.000000
3.999316	__rnase_site	0.000000	0.000000	0.000000
3.999316	__rnase_site_ext	4.000000	0.000000	0.000000
3.999316	p1	1.000000	0.000000	0.000000
3.999316	proteinX	1.000000	4.000000	2.000000
3.999316	proteinY	0.000000	1.000000	1.000000
3.999316	rnapol	0.000000	0.000000	0.000000
5.006154	__proteinX_rbs	3.000000	0.000000	0.000000
5.006154	__proteinY_rbs	3.000000	0.000000	0.000000
5.006154	__proteinZ_rbs	0.000000	0.000000	0.000000
5.006154	__ribosome	86.000000	0.000000	0.000000
5.006154	__rnase_site	0.000000	0.000000	0.000000
5.006154	__rnase_site_ext	3.000000	0.000000	0.000000
5.006154	p1	1.000000	0.000000	0.000000
5.006154	proteinX	2.000000	4.000000	3.000000
5.006154	proteinY	0.000000	3.000000	0.666667
5.006154	rnapol	0.000000	0.000000	0.000000
5.999360	__proteinX_rbs	2.000000	0.000000	0.000000
5.999360	__proteinY_rbs	2.000000	0.000000	0.000000
5.999360	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999360	__ribosome	82.000000	0.000000	0.000000
5.999360	__rnase_site	0.000000	0.000000	0.000000
5.999360	__rnase_site_ext	2.000000	0.000000	0.000000
5.999360	p1	1.000000	0.000000	0.000000
5.999360	proteinX	5.000000	4.000000	3.250000
5.999360	proteinY	0.000000	4.000000	1.250000
5.999360	rnapol	0.000000	0.000000	0.000000
6.999798	__proteinX_rbs	3.000000	0.000000	0.000000
6.999798	__proteinY_rbs	2.000000	0.000000	0.000000
6.999798	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999798	__ribosome	81.000000	0.000000	0.000000
6.999798	__rnase_site	1.000000	0.000000	0.000000
6.999798	__rnase_site_ext	3.000000	0.000000	0.000000
6.999798	p1	1.000000	0.000000	0.000000
6.999798	proteinX	10.000000	4.000000	2.500000
6.999798	proteinY	0.000000	4.000000	2.250000
6.999798	proteinZ	0.000000	1.000000	0.000000
6.999798	rnapol	0.000000	0.000000	0.000000
7.999240	__proteinX_rbs	3.000000	0.000000	0.000000
7.999240	__proteinY_rbs	2.000000	0.000000	0.000000
7.999240	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999240	__ribosome	77.000000	0.000000	0.000000
7.999240	__rnase_site	2.000000	0.000000	0.000000
7.999240	__rnase_site_ext	3.000000	0.000000	0.000000
7.999240	p1	1.000000	0.000000	0.000000
7.999240	proteinX	14.000000	4.000000	2.000000
7.999240	proteinY	1.000000	4.000000	3.500000
7.999240	proteinZ	0.000000	1.000000	1.000000
7.999240	rnapol	0.000000	0.000000	0.000000
8.999546	__proteinX_rbs	1.000000	0.000000	0.000000
8.999546	__proteinY_rbs	2.000000	0.000000	0.000000
8.999546	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999546	__ribosome	71.000000	0.000000	0.000000
8.999546	__rnase_site	1.000000	0.000000	0.000000
8.999546	__rnase_site_ext	1.000000	0.000000	0.000000
8.999546	p1	1.000000	0.000000	0.000000
8.999546	proteinX	17.000000	4.000000	2.250000
8.999546	proteinY	2.000000	4.000000	4.000000
8.999546	proteinZ	0.000000	3.000000	1.333333
8.999546	rnapol	0.000000	0.000000	0.000000
