time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999432	__proteinX_rbs	0.000000	0.000000	0.000000
0.999432	__proteinY_rbs	0.000000	0.000000	0.000000
0.999432	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999432	__ribosome	98.000000	0.000000	0.000000
0.999432	__rnase_site	0.000000	0.000000	0.000000
0.999432	__rnase_site_ext	1.000000	0.000000	0.000000
0.999432	p1	0.000000	0.000000	0.000000
0.999432	proteinX	0.000000	2.000000	1.000000
0.999432	rnapol	0.000000	0.000000	0.000000
1.999936	__proteinX_rbs	2.000000	0.000000	0.000000
1.999936	__proteinY_rbs	0.000000	0.000000	0.000000
1.999936	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999936	__ribosome	96.000000	0.000000	0.000000
1.999936	__rnase_site	0.000000	0.000000	0.000000
1.999936	__rnase_site_ext	2.000000	0.000000	0.000000
1.999936	p1	1.000000	0.000000	0.000000
1.999936	proteinX	0.000000	4.000000	1.000000
1.999936	rnapol	0.000000	0.000000	0.000000
2.999891	__proteinX_rbs	1.000000	0.000000	0.000000
2.999891	__proteinY_rbs	0.000000	0.000000	0.000000
2.999891	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999891	__ribosome	92.000000	0.000000	0.000000
2.999891	__rnase_site	0.000000	0.000000	0.000000
2.999891	__rnase_site_ext	3.000000	0.000000	0.000000
2.999891	p1	1.000000	0.000000	0.000000
2.999891	proteinX	0.000000	4.000000	2.000000
2.999891	rnapol	0.000000	0.000000	0.000000
4.003249	__proteinX_rbs	2.000000	0.000000	0.000000
4.003249	__proteinY_rbs	1.000000	0.000000	0.000000
4.003249	__proteinZ_rbs	0.000000	0.000000	0.000000
4.003249	__ribosome	88.000000	0.000000	0.000000
4.003249	__rnase_site	0.000000	0.000000	0.000000
4.003249	__rnase_site_ext	2.000000	0.000000	0.000000
4.003249	p1	1.000000	0.000000	0.000000
4.003249	proteinX	1.000000	4.000000	3.000000
4.003249	proteinY	0.000000	1.000000	0.000000
4.003249	rnapol	0.000000	0.000000	0.000000
5.002788	__proteinX_rbs	4.000000	0.000000	0.000000
5.002788	__proteinY_rbs	2.000000	0.000000	0.000000
5.002788	__proteinZ_rbs	0.000000	0.000000	0.000000
5.002788	__ribosome	86.000000	0.000000	0.000000
5.002788	__rnase_site	0.000000	0.000000	0.000000
5.002788	__rnase_site_ext	4.000000	0.000000	0.000000
5.002788	p1	1.000000	0.000000	0.000000
5.002788	proteinX	3.000000	5.000000	2.800000
5.002788	proteinY	0.000000	2.000000	0.000000
5.002788	rnapol	0.000000	0.000000	0.000000
5.999139	__proteinX_rbs	3.000000	0.000000	0.000000
5.999139	__proteinY_rbs	2.000000	0.000000	0.000000
5.999139	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999139	__ribosome	83.000000	0.000000	0.000000
5.999139	__rnase_site	0.000000	0.000000	0.000000
5.999139	__rnase_site_ext	5.000000	0.000000	0.000000
5.999139	p1	1.000000	0.000000	0.000000
5.999139	proteinX	5.000000	5.000000	3.000000
5.999139	proteinY	0.000000	3.000000	0.666667
5.999139	rnapol	0.000000	0.000000	0.000000
6.999398	__proteinX_rbs	3.000000	0.000000	0.000000
6.999398	__proteinY_rbs	0.000000	0.000000	0.000000
6.999398	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999398	__ribosome	78.000000	0.000000	0.000000
6.999398	__rnase_site	0.000000	0.000000	0.000000
6.999398	__rnase_site_ext	4.000000	0.000000	0.000000
6.999398	p1	1.000000	0.000000	0.000000
6.999398	proteinX	10.000000	5.000000	3.000000
6.999398	proteinY	0.000000	3.000000	2.000000
6.999398	proteinZ	0.000000	1.000000	1.000000
6.999398	rnapol	0.000000	0.000000	0.000000
7.999479	__proteinX_rbs	3.000000	0.000000	0.000000
7.999479	__proteinY_rbs	2.000000	0.000000	0.000000
7.999479	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999479	__ribosome	77.000000	0.000000	0.000000
7.999479	__rnase_site	0.000000	0.000000	0.000000
7.999479	__rnase_site_ext	5.000000	0.000000	0.000000
7.999479	p1	1.000000	0.000000	0.000000
7.999479	proteinX	16.000000	5.000000	2.200000
7.999479	proteinY	0.000000	3.000000	3.333333
7.999479	proteinZ	0.000000	1.000000	2.000000
7.999479	rnapol	0.000000	0.000000	0.000000
9.000737	__proteinX_rbs	5.000000	0.000000	0.000000
9.000737	__proteinY_rbs	2.000000	0.000000	0.000000
9.000737	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000737	__ribosome	74.000000	0.000000	0.000000
9.000737	__rnase_site	0.000000	0.000000	0.000000
9.000737	__rnase_site_ext	5.000000	0.000000	0.000000
9.000737	p1	1.000000	0.000000	0.000000
9.000737	proteinX	20.000000	5.000000	2.000000
9.000737	proteinY	0.000000	4.000000	3.000000
9.000737	proteinZ	0.000000	2.000000	2.000000
9.000737	rnapol	0.000000	0.000000	0.000000
10.000118	__proteinX_rbs	1.000000	0.000000	0.000000
