time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999432	__proteinX_rbs	0.000000	0.000000	0.000000
0.999432	__proteinY_rbs	0.000000	0.000000	0.000000
0.999432	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999432	__ribosome	98.000000	0.000000	0.000000
0.999432	__rnase_site	0.000000	0.000000	0.000000
0.999432	__rnase_site_ext	1.000000	0.000000	0.000000
0.999432	p1	0.000000	0.000000	0.000000
0.999432	proteinX	0.000000	2.000000	1.000000
0.999432	rnapol	0.000000	0.000000	0.000000
1.999936	__proteinX_rbs	2.000000	0.000000	0.000000
1.999936	__proteinY_rbs	0.000000	0.000000	0.000000
1.999936	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999936	__ribosome	96.000000	0.000000	0.000000
1.999936	__rnase_site	0.000000	0.000000	0.000000
1.999936	__rnase_site_ext	2.000000	0.000000	0.000000
1.999936	p1	1.000000	0.000000	0.000000
1.999936	proteinX	0.000000	4.000000	1.000000
1.999936	rnapol	0.000000	0.000000	0.000000
2.999145	__proteinX_rbs	1.000000	0.000000	0.000000
2.999145	__proteinY_rbs	1.000000	0.000000	0.000000
2.999145	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999145	__ribosome	92.000000	0.000000	0.000000
2.999145	__rnase_site	0.000000	0.000000	0.000000
2.999145	__rnase_site_ext	3.000000	0.000000	0.000000
2.999145	p1	1.000000	0.000000	0.000000
2.999145	proteinX	0.000000	4.000000	2.000000
2.999145	proteinY	0.000000	1.000000	0.000000
2.999145	rnapol	0.000000	0.000000	0.000000
3.999433	__proteinX_rbs	4.000000	0.000000	0.000000
3.999433	__proteinY_rbs	1.000000	0.000000	0.000000
3.999433	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999433	__ribosome	91.000000	0.000000	0.000000
3.999433	__rnase_site	0.000000	0.000000	0.000000
3.999433	__rnase_site_ext	4.000000	0.000000	0.000000
3.999433	p1	1.000000	0.000000	0.000000
3.999433	proteinX	1.000000	4.000000	2.000000
3.999433	proteinY	0.000000	1.000000	1.000000
3.999433	rnapol	0.000000	0.000000	0.000000
5.000721	__proteinX_rbs	3.000000	0.000000	0.000000
5.000721	__proteinY_rbs	3.000000	0.000000	0.000000
5.000721	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000721	__ribosome	86.000000	0.000000	0.000000
5.000721	__rnase_site	0.000000	0.000000	0.000000
5.000721	__rnase_site_ext	3.000000	0.000000	0.000000
5.000721	p1	1.000000	0.000000	0.000000
5.000721	proteinX	2.000000	4.000000	3.000000
5.000721	proteinY	0.000000	3.000000	0.666667
5.000721	rnapol	0.000000	0.000000	0.000000
6.000899	__proteinX_rbs	2.000000	0.000000	0.000000
6.000899	__proteinY_rbs	2.000000	0.000000	0.000000
6.000899	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000899	__ribosome	82.000000	0.000000	0.000000
6.000899	__rnase_site	0.000000	0.000000	0.000000
6.000899	__rnase_site_ext	2.000000	0.000000	0.000000
6.000899	p1	1.000000	0.000000	0.000000
6.000899	proteinX	5.000000	4.000000	3.250000
6.000899	proteinY	0.000000	4.000000	1.250000
6.000899	rnapol	0.000000	0.000000	0.000000
7.000412	__proteinX_rbs	3.000000	0.000000	0.000000
7.000412	__proteinY_rbs	2.000000	0.000000	0.000000
7.000412	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000412	__ribosome	81.000000	0.000000	0.000000
7.000412	__rnase_site	0.000000	0.000000	0.000000
7.000412	__rnase_site_ext	3.000000	0.000000	0.000000
7.000412	p1	1.000000	0.000000	0.000000
7.000412	proteinX	10.000000	4.000000	2.500000
7.000412	proteinY	0.000000	4.000000	2.250000
7.000412	proteinZ	0.000000	1.000000	0.000000
7.000412	rnapol	0.000000	0.000000	0.000000
8.001071	__proteinX_rbs	3.000000	0.000000	0.000000
8.001071	__proteinY_rbs	2.000000	0.000000	0.000000
8.001071	__proteinZ_rbs	1.000000	0.000000	0.000000
8.001071	__ribosome	77.000000	0.000000	0.000000
8.001071	__rnase_site	0.000000	0.000000	0.000000
8.001071	__rnase_site_ext	3.000000	0.000000	0.000000
8.001071	p1	1.000000	0.000000	0.000000
8.001071	proteinX	14.000000	4.000000	2.000000
8.001071	proteinY	1.000000	4.000000	3.500000
8.001071	proteinZ	0.000000	1.000000	1.000000
8.001071	rnapol	0.000000	0.000000	0.000000
8.999220	__proteinX_rbs	1.000000	0.000000	0.000000
8.999220	__proteinY_rbs	2.000000	0.000000	0.000000
8.999220	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999220	__ribosome	71.000000	0.000000	0.000000
8.999220	__rnase_site	0.000000	0.000000	0.000000
8.999220	__rnase_site_ext	1.000000	0.000000	0.000000
8.999220	p1	1.000000	0.000000	0.000000
8.999220	proteinX	17.000000	4.000000	2.250000
8.999220	proteinY	2.000000	4.000000	4.000000
8.999220	proteinZ	0.000000	3.000000	1.333333
8.999220	rnapol	0.000000	0.000000	0.000000
