time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003911	__proteinX_rbs	0.000000	0.000000	0.000000
1.003911	__proteinY_rbs	0.000000	0.000000	0.000000
1.003911	__proteinZ_rbs	0.000000	0.000000	0.000000
1.003911	__ribosome	98.000000	0.000000	0.000000
1.003911	__rnase_site	0.000000	0.000000	0.000000
1.003911	__rnase_site_ext	1.000000	0.000000	0.000000
1.003911	p1	1.000000	0.000000	0.000000
1.003911	proteinX	0.000000	2.000000	1.000000
1.003911	rnapol	1.000000	0.000000	0.000000
2.003698	__proteinX_rbs	2.000000	0.000000	0.000000
2.003698	__proteinY_rbs	0.000000	0.000000	0.000000
2.003698	__proteinZ_rbs	0.000000	0.000000	0.000000
2.003698	__ribosome	96.000000	0.000000	0.000000
2.003698	__rnase_site	0.000000	0.000000	0.000000
2.003698	__rnase_site_ext	2.000000	0.000000	0.000000
2.003698	p1	1.000000	0.000000	0.000000
2.003698	proteinX	0.000000	4.000000	1.000000
2.003698	rnapol	0.000000	0.000000	0.000000
3.010001	__proteinX_rbs	1.000000	0.000000	0.000000
3.010001	__proteinY_rbs	0.000000	0.000000	0.000000
3.010001	__proteinZ_rbs	0.000000	0.000000	0.000000
3.010001	__ribosome	91.000000	0.000000	0.000000
3.010001	__rnase_site	0.000000	0.000000	0.000000
3.010001	__rnase_site_ext	3.000000	0.000000	0.000000
3.010001	p1	1.000000	0.000000	0.000000
3.010001	proteinX	0.000000	4.000000	2.000000
3.010001	proteinY	0.000000	1.000000	1.000000
3.010001	rnapol	0.000000	0.000000	0.000000
3.999541	__proteinX_rbs	4.000000	0.000000	0.000000
3.999541	__proteinY_rbs	1.000000	0.000000	0.000000
3.999541	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999541	__ribosome	92.000000	0.000000	0.000000
3.999541	__rnase_site	0.000000	0.000000	0.000000
3.999541	__rnase_site_ext	4.000000	0.000000	0.000000
3.999541	p1	1.000000	0.000000	0.000000
3.999541	proteinX	2.000000	4.000000	1.750000
3.999541	proteinY	0.000000	1.000000	1.000000
3.999541	rnapol	0.000000	0.000000	0.000000
5.001029	__proteinX_rbs	3.000000	0.000000	0.000000
5.001029	__proteinY_rbs	2.000000	0.000000	0.000000
5.001029	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001029	__ribosome	86.000000	0.000000	0.000000
5.001029	__rnase_site	0.000000	0.000000	0.000000
5.001029	__rnase_site_ext	4.000000	0.000000	0.000000
5.001029	p1	1.000000	0.000000	0.000000
5.001029	proteinX	2.000000	4.000000	2.750000
5.001029	proteinY	0.000000	2.000000	1.500000
5.001029	rnapol	0.000000	0.000000	0.000000
5.999119	__proteinX_rbs	0.000000	0.000000	0.000000
5.999119	__proteinY_rbs	3.000000	0.000000	0.000000
5.999119	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999119	__ribosome	83.000000	0.000000	0.000000
5.999119	__rnase_site	0.000000	0.000000	0.000000
5.999119	__rnase_site_ext	2.000000	0.000000	0.000000
5.999119	p1	1.000000	0.000000	0.000000
5.999119	proteinX	5.000000	4.000000	3.000000
5.999119	proteinY	0.000000	4.000000	1.250000
5.999119	rnapol	0.000000	0.000000	0.000000
7.000912	__proteinX_rbs	2.000000	0.000000	0.000000
7.000912	__proteinY_rbs	3.000000	0.000000	0.000000
7.000912	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000912	__ribosome	80.000000	0.000000	0.000000
7.000912	__rnase_site	0.000000	0.000000	0.000000
7.000912	__rnase_site_ext	2.000000	0.000000	0.000000
7.000912	p1	1.000000	0.000000	0.000000
7.000912	proteinX	9.000000	4.000000	3.000000
7.000912	proteinY	0.000000	4.000000	2.000000
7.000912	rnapol	0.000000	0.000000	0.000000
8.000545	__proteinX_rbs	1.000000	0.000000	0.000000
8.000545	__proteinY_rbs	3.000000	0.000000	0.000000
8.000545	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000545	__ribosome	78.000000	0.000000	0.000000
8.000545	__rnase_site	0.000000	0.000000	0.000000
8.000545	__rnase_site_ext	2.000000	0.000000	0.000000
8.000545	p1	1.000000	0.000000	0.000000
8.000545	proteinX	13.000000	3.000000	4.000000
8.000545	proteinY	1.000000	4.000000	2.250000
8.000545	proteinZ	0.000000	1.000000	1.000000
8.000545	rnapol	0.000000	0.000000	0.000000
8.999461	__proteinX_rbs	0.000000	0.000000	0.000000
8.999461	__proteinY_rbs	2.000000	0.000000	0.000000
8.999461	__proteinZ_rbs	2.000000	0.000000	0.000000
8.999461	__ribosome	72.000000	0.000000	0.000000
8.999461	__rnase_site	0.000000	0.000000	0.000000
8.999461	__rnase_site_ext	0.000000	0.000000	0.000000
8.999461	p1	1.000000	0.000000	0.000000
8.999461	proteinX	16.000000	3.000000	4.666667
8.999461	proteinY	2.000000	4.000000	3.000000
8.999461	proteinZ	0.000000	3.000000	0.666667
8.999461	rnapol	0.000000	0.000000	0.000000
9.999486	__proteinX_rbs	1.000000	0.000000	0.000000
