time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.005624	__proteinX_rbs	0.000000	0.000000	0.000000
1.005624	__proteinY_rbs	2.000000	0.000000	0.000000
1.005624	__proteinZ_rbs	1.000000	0.000000	0.000000
1.005624	__ribosome	99.000000	0.000000	0.000000
1.005624	__rnase_site	2.000000	0.000000	0.000000
1.005624	__rnase_site_ext	4.000000	0.000000	0.000000
1.005624	p1	1.000000	0.000000	0.000000
1.005624	p2	1.000000	0.000000	0.000000
1.005624	p3	1.000000	0.000000	0.000000
1.005624	proteinX	0.000000	1.000000	1.000000
1.005624	proteinY	0.000000	2.000000	0.000000
1.005624	proteinZ	0.000000	1.000000	0.000000
1.005624	rnapol	0.000000	0.000000	0.000000
2.001738	__proteinX_rbs	0.000000	0.000000	0.000000
2.001738	__proteinY_rbs	2.000000	0.000000	0.000000
2.001738	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001738	__ribosome	95.000000	0.000000	0.000000
2.001738	__rnase_site	2.000000	0.000000	0.000000
2.001738	__rnase_site_ext	4.000000	0.000000	0.000000
2.001738	p1	1.000000	0.000000	0.000000
2.001738	p2	1.000000	0.000000	0.000000
2.001738	p3	1.000000	0.000000	0.000000
2.001738	proteinX	0.000000	1.000000	2.000000
2.001738	proteinY	0.000000	2.000000	1.000000
2.001738	proteinZ	0.000000	1.000000	1.000000
2.001738	rnapol	0.000000	0.000000	0.000000
2.999277	__proteinX_rbs	0.000000	0.000000	0.000000
2.999277	__proteinY_rbs	2.000000	0.000000	0.000000
2.999277	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999277	__ribosome	90.000000	0.000000	0.000000
2.999277	__rnase_site	2.000000	0.000000	0.000000
2.999277	__rnase_site_ext	3.000000	0.000000	0.000000
2.999277	p1	1.000000	0.000000	0.000000
2.999277	p2	1.000000	0.000000	0.000000
2.999277	p3	1.000000	0.000000	0.000000
2.999277	proteinX	0.000000	1.000000	4.000000
2.999277	proteinY	0.000000	2.000000	2.000000
2.999277	proteinZ	0.000000	1.000000	2.000000
2.999277	rnapol	0.000000	0.000000	0.000000
3.999426	__proteinX_rbs	1.000000	0.000000	0.000000
3.999426	__proteinY_rbs	1.000000	0.000000	0.000000
3.999426	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999426	__ribosome	85.000000	0.000000	0.000000
3.999426	__rnase_site	3.000000	0.000000	0.000000
3.999426	__rnase_site_ext	5.000000	0.000000	0.000000
3.999426	p1	1.000000	0.000000	0.000000
3.999426	p2	0.000000	0.000000	0.000000
3.999426	p3	0.000000	0.000000	0.000000
3.999426	proteinX	1.000000	2.000000	2.500000
3.999426	proteinY	0.000000	2.000000	3.500000
3.999426	proteinZ	0.000000	1.000000	3.000000
3.999426	rnapol	0.000000	0.000000	0.000000
4.999456	__proteinX_rbs	1.000000	0.000000	0.000000
4.999456	__proteinY_rbs	2.000000	0.000000	0.000000
4.999456	__proteinZ_rbs	2.000000	0.000000	0.000000
4.999456	__ribosome	80.000000	0.000000	0.000000
4.999456	__rnase_site	6.000000	0.000000	0.000000
4.999456	__rnase_site_ext	5.000000	0.000000	0.000000
4.999456	p1	1.000000	0.000000	0.000000
4.999456	p2	1.000000	0.000000	0.000000
4.999456	p3	1.000000	0.000000	0.000000
4.999456	proteinX	2.000000	2.000000	2.500000
4.999456	proteinY	0.000000	3.000000	3.333333
4.999456	proteinZ	0.000000	3.000000	1.666667
4.999456	rnapol	0.000000	0.000000	0.000000
6.000351	__proteinX_rbs	1.000000	0.000000	0.000000
6.000351	__proteinY_rbs	0.000000	0.000000	0.000000
6.000351	__proteinZ_rbs	2.000000	0.000000	0.000000
6.000351	__ribosome	76.000000	0.000000	0.000000
6.000351	__rnase_site	4.000000	0.000000	0.000000
6.000351	__rnase_site_ext	4.000000	0.000000	0.000000
6.000351	p1	1.000000	0.000000	0.000000
6.000351	p2	1.000000	0.000000	0.000000
6.000351	p3	1.000000	0.000000	0.000000
6.000351	proteinX	3.000000	2.000000	3.000000
6.000351	proteinY	2.000000	3.000000	3.666667
6.000351	proteinZ	0.000000	3.000000	2.333333
6.000351	rnapol	0.000000	0.000000	0.000000
7.000044	__proteinX_rbs	0.000000	0.000000	0.000000
7.000044	__proteinY_rbs	1.000000	0.000000	0.000000
7.000044	__proteinZ_rbs	3.000000	0.000000	0.000000
7.000044	__ribosome	72.000000	0.000000	0.000000
7.000044	__rnase_site	3.000000	0.000000	0.000000
7.000044	__rnase_site_ext	2.000000	0.000000	0.000000
7.000044	p1	1.000000	0.000000	0.000000
7.000044	p2	1.000000	0.000000	0.000000
7.000044	p3	1.000000	0.000000	0.000000
7.000044	proteinX	6.000000	2.000000	3.000000
7.000044	proteinY	3.000000	3.000000	4.333333
7.000044	proteinZ	1.000000	4.000000	2.250000
7.000044	rnapol	0.000000	0.000000	0.000000
7.999132	__proteinX_rbs	1.000000	0.000000	0.000000
