time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.013302	__proteinX_rbs	0.000000	0.000000	0.000000
1.013302	__proteinY_rbs	1.000000	0.000000	0.000000
1.013302	__proteinZ_rbs	1.000000	0.000000	0.000000
1.013302	__ribosome	98.000000	0.000000	0.000000
1.013302	__rnase_site	2.000000	0.000000	0.000000
1.013302	__rnase_site_ext	3.000000	0.000000	0.000000
1.013302	p1	1.000000	0.000000	0.000000
1.013302	p2	1.000000	0.000000	0.000000
1.013302	p3	1.000000	0.000000	0.000000
1.013302	proteinX	0.000000	2.000000	1.000000
1.013302	proteinY	0.000000	1.000000	0.000000
1.013302	proteinZ	0.000000	1.000000	0.000000
1.013302	rnapol	0.000000	0.000000	0.000000
1.999515	__proteinX_rbs	1.000000	0.000000	0.000000
1.999515	__proteinY_rbs	1.000000	0.000000	0.000000
1.999515	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999515	__ribosome	96.000000	0.000000	0.000000
1.999515	__rnase_site	3.000000	0.000000	0.000000
1.999515	__rnase_site_ext	3.000000	0.000000	0.000000
1.999515	p1	1.000000	0.000000	0.000000
1.999515	p2	1.000000	0.000000	0.000000
1.999515	p3	1.000000	0.000000	0.000000
1.999515	proteinX	0.000000	2.000000	2.000000
1.999515	proteinY	0.000000	1.000000	0.000000
1.999515	proteinZ	0.000000	1.000000	0.000000
1.999515	rnapol	0.000000	0.000000	0.000000
3.003270	__proteinX_rbs	1.000000	0.000000	0.000000
3.003270	__proteinY_rbs	0.000000	0.000000	0.000000
3.003270	__proteinZ_rbs	1.000000	0.000000	0.000000
3.003270	__ribosome	91.000000	0.000000	0.000000
3.003270	__rnase_site	2.000000	0.000000	0.000000
3.003270	__rnase_site_ext	3.000000	0.000000	0.000000
3.003270	p1	1.000000	0.000000	0.000000
3.003270	p2	0.000000	0.000000	0.000000
3.003270	p3	1.000000	0.000000	0.000000
3.003270	proteinX	0.000000	2.000000	3.500000
3.003270	proteinY	0.000000	1.000000	1.000000
3.003270	proteinZ	0.000000	1.000000	1.000000
3.003270	rnapol	0.000000	0.000000	0.000000
4.002775	__proteinX_rbs	2.000000	0.000000	0.000000
4.002775	__proteinY_rbs	1.000000	0.000000	0.000000
4.002775	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002775	__ribosome	89.000000	0.000000	0.000000
4.002775	__rnase_site	3.000000	0.000000	0.000000
4.002775	__rnase_site_ext	3.000000	0.000000	0.000000
4.002775	p1	1.000000	0.000000	0.000000
4.002775	p2	0.000000	0.000000	0.000000
4.002775	p3	1.000000	0.000000	0.000000
4.002775	proteinX	1.000000	3.000000	2.333333
4.002775	proteinY	0.000000	2.000000	1.000000
4.002775	proteinZ	0.000000	0.000000	inf
4.002775	rnapol	0.000000	0.000000	0.000000
4.999658	__proteinX_rbs	2.000000	0.000000	0.000000
4.999658	__proteinY_rbs	2.000000	0.000000	0.000000
4.999658	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999658	__ribosome	87.000000	0.000000	0.000000
4.999658	__rnase_site	4.000000	0.000000	0.000000
4.999658	__rnase_site_ext	4.000000	0.000000	0.000000
4.999658	p1	1.000000	0.000000	0.000000
4.999658	p2	1.000000	0.000000	0.000000
4.999658	p3	0.000000	0.000000	0.000000
4.999658	proteinX	3.000000	3.000000	2.333333
4.999658	proteinY	0.000000	3.000000	1.333333
4.999658	proteinZ	0.000000	0.000000	inf
4.999658	rnapol	0.000000	0.000000	0.000000
5.999875	__proteinX_rbs	2.000000	0.000000	0.000000
5.999875	__proteinY_rbs	1.000000	0.000000	0.000000
5.999875	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999875	__ribosome	83.000000	0.000000	0.000000
5.999875	__rnase_site	3.000000	0.000000	0.000000
5.999875	__rnase_site_ext	3.000000	0.000000	0.000000
5.999875	p1	1.000000	0.000000	0.000000
5.999875	p2	1.000000	0.000000	0.000000
5.999875	p3	1.000000	0.000000	0.000000
5.999875	proteinX	6.000000	3.000000	2.000000
5.999875	proteinY	0.000000	3.000000	2.666667
5.999875	proteinZ	0.000000	1.000000	3.000000
5.999875	rnapol	0.000000	0.000000	0.000000
6.999642	__proteinX_rbs	2.000000	0.000000	0.000000
6.999642	__proteinY_rbs	1.000000	0.000000	0.000000
6.999642	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999642	__ribosome	79.000000	0.000000	0.000000
6.999642	__rnase_site	4.000000	0.000000	0.000000
6.999642	__rnase_site_ext	3.000000	0.000000	0.000000
6.999642	p1	1.000000	0.000000	0.000000
6.999642	p2	0.000000	0.000000	0.000000
6.999642	p3	0.000000	0.000000	0.000000
6.999642	proteinX	7.000000	3.000000	2.333333
6.999642	proteinY	0.000000	3.000000	3.666667
6.999642	proteinZ	1.000000	1.000000	3.000000
6.999642	rnapol	0.000000	0.000000	0.000000
8.000529	__proteinX_rbs	1.000000	0.000000	0.000000
