time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.00775	__proteinX_rbs	0.0	0.0	0.0
1.00775	__proteinY_rbs	0.0	0.0	0.0
1.00775	__proteinZ_rbs	0.0	0.0	0.0
1.00775	__ribosome	98.0	0.0	0.0
1.00775	__rnase_site	0.0	0.0	0.0
1.00775	__rnase_site_ext	0.0	0.0	0.0
1.00775	p1	1.0	0.0	0.0
1.00775	proteinX	0.0	2.0	1.0
1.00775	rnapol	1.0	0.0	0.0
2.002613	__proteinX_rbs	0.0	0.0	0.0
2.002613	__proteinY_rbs	0.0	0.0	0.0
2.002613	__proteinZ_rbs	0.0	0.0	0.0
2.002613	__ribosome	94.0	0.0	0.0
2.002613	__rnase_site	0.0	0.0	0.0
2.002613	__rnase_site_ext	1.0	0.0	0.0
2.002613	p1	1.0	0.0	0.0
2.002613	proteinX	0.0	3.0	2.0
2.002613	rnapol	1.0	0.0	0.0
3.00373	__proteinX_rbs	3.0	0.0	0.0
3.00373	__proteinY_rbs	0.0	0.0	0.0
3.00373	__proteinZ_rbs	0.0	0.0	0.0
3.00373	__ribosome	92.0	0.0	0.0
3.00373	__rnase_site	0.0	0.0	0.0
3.00373	__rnase_site_ext	4.0	0.0	0.0
3.00373	p1	1.0	0.0	0.0
3.00373	proteinX	0.0	4.0	2.0
3.00373	rnapol	0.0	0.0	0.0
4.000573	__proteinX_rbs	1.0	0.0	0.0
4.000573	__proteinY_rbs	0.0	0.0	0.0
4.000573	__proteinZ_rbs	0.0	0.0	0.0
4.000573	__ribosome	85.0	0.0	0.0
4.000573	__rnase_site	0.0	0.0	0.0
