time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.010448	__proteinX_rbs	0.0	0.0	0.0
1.010448	__proteinY_rbs	0.0	0.0	0.0
1.010448	__proteinZ_rbs	0.0	0.0	0.0
1.010448	__ribosome	99.0	0.0	0.0
1.010448	__rnase_site	0.0	0.0	0.0
1.010448	__rnase_site_ext	0.0	0.0	0.0
1.010448	p1	1.0	0.0	0.0
1.010448	proteinX	0.0	1.0	1.0
1.010448	rnapol	2.0	0.0	0.0
2.001481	__proteinX_rbs	0.0	0.0	0.0
2.001481	__proteinY_rbs	0.0	0.0	0.0
2.001481	__proteinZ_rbs	0.0	0.0	0.0
2.001481	__ribosome	96.0	0.0	0.0
2.001481	__rnase_site	0.0	0.0	0.0
2.001481	__rnase_site_ext	2.0	0.0	0.0
2.001481	p1	1.0	0.0	0.0
2.001481	proteinX	0.0	3.0	1.333333
2.001481	rnapol	1.0	0.0	0.0
3.002976	__proteinX_rbs	2.0	0.0	0.0
3.002976	__proteinY_rbs	0.0	0.0	0.0
3.002976	__proteinZ_rbs	0.0	0.0	0.0
3.002976	__ribosome	93.0	0.0	0.0
3.002976	__rnase_site	0.0	0.0	0.0
3.002976	__rnase_site_ext	2.0	0.0	0.0
3.002976	p1	1.0	0.0	0.0
3.002976	proteinX	0.0	3.0	2.333333
3.002976	rnapol	1.0	0.0	0.0
4.003058	__proteinX_rbs	2.0	0.0	0.0
4.003058	__proteinY_rbs	0.0	0.0	0.0
4.003058	__proteinZ_rbs	0.0	0.0	0.0
4.003058	__ribosome	90.0	0.0	0.0
4.003058	__rnase_site	0.0	0.0	0.0
