Iteration	Sum_of_Squares	Accepted
1	219553.59999999998	no
2	96994.1	yes
3	96994.1	yes
4	96994.1	yes
5	103897.7	no
6	240266.6	no
7	248254.7	no
8	324349.4	no
9	324349.4	no
10	249494.09999999998	no
11	249494.09999999998	no
12	249494.09999999998	no
13	320653.7	no
14	320653.7	no
15	320653.7	no
16	320653.7	no
17	460040.0	no
18	405041.0	no
19	280183.7	no
20	422708.39999999997	no
21	556809.5	no
22	542563.0	no
23	542563.0	no
24	750790.0	no
25	701931.6	no
26	701931.6	no
27	701931.6	no
28	701931.6	no
29	103897.7	no
30	103897.7	no
31	169702.0	no
32	209816.0	no
33	224251.69999999998	no
34	224251.69999999998	no
35	291941.7	no
36	291941.7	no
37	288725.0	no
38	283797.0	no
39	283797.0	no
40	210895.8	no
41	205725.9	no
42	196121.8	no
43	196121.8	no
44	196121.8	no
45	196121.8	no
46	62406.1	yes
47	49381.00000000001	yes
48	49381.00000000001	yes
49	49381.00000000001	yes
50	75892.79999999999	no
51	114788.20000000001	no
52	67139.1	no
53	65764.6	no
54	81195.70000000001	no
55	81195.70000000001	no
56	95946.4	no
57	57652.399999999994	no
58	57652.399999999994	no
59	90315.7	no
60	158202.9	no
61	130569.0	no
62	131322.4	no
63	131322.4	no
64	182416.7	no
65	187846.0	no
66	169493.6	no
67	147012.6	no
68	183293.90000000002	no
69	178727.09999999998	no
70	179954.0	no
71	150302.4	no
72	164853.40000000002	no
73	197233.49999999997	no
74	267072.5	no
75	267072.5	no
76	158122.80000000002	no
77	156672.0	no
78	158122.80000000002	no
79	131118.3	no
80	211352.5	no
81	211352.5	no
82	211352.5	no
83	211352.5	no
84	131118.3	no
85	133705.19999999998	no
86	169806.49999999997	no
87	346504.1	no
88	346504.1	no
89	471563.69999999995	no
90	471563.69999999995	no
91	471563.69999999995	no
92	388367.5	no
93	511399.30000000005	no
94	427967.20000000007	no
95	437590.6	no
96	320640.10000000003	no
97	320640.10000000003	no
98	263126.3	no
99	263126.3	no
100	161500.2	no
101	161500.2	no
102	84805.20000000001	no
103	84805.20000000001	no
104	84805.20000000001	no
105	185206.4	no
106	179506.2	no
107	169273.4	no
108	227098.59999999998	no
109	126791.8	no
110	126791.8	no
111	337565.2	no
112	253669.9	no
113	360189.3	no
114	360189.3	no
115	349672.30000000005	no
116	303073.50000000006	no
117	432009.7	no
118	521787.3	no
119	426597.60000000003	no
120	426597.60000000003	no
121	524781.2	no
122	524781.2	no
123	344107.5	no
124	344107.5	no
125	344107.5	no
126	378172.5	no
127	357853.5	no
128	357853.5	no
129	357853.5	no
130	357853.5	no
131	357853.5	no
132	357853.5	no
133	418737.7	no
134	383814.1	no
135	383814.1	no
136	401875.69999999995	no
137	401875.69999999995	no
138	465080.0	no
139	465080.0	no
140	479125.6000000001	no
141	556253.5	no
142	556253.5	no
143	556253.5	no
144	556253.5	no
145	556253.5	no
146	392872.6	no
147	381252.6	no
148	292352.9	no
149	251749.0	no
150	251749.0	no
151	281130.7	no
152	273204.8	no
153	280468.4	no
154	280468.4	no
155	280468.4	no
156	159241.8	no
157	216984.1	no
158	81408.7	no
159	52554.6	no
160	97855.4	no
161	77745.1	no
162	101323.2	no
163	174811.9	no
164	174811.9	no
165	196690.40000000002	no
166	212162.9	no
167	212162.9	no
168	196503.59999999998	no
169	187616.1	no
170	222775.0	no
171	222775.0	no
172	222775.0	no
173	414893.1	no
174	433518.39999999997	no
175	433518.39999999997	no
176	433518.39999999997	no
177	433518.39999999997	no
178	531075.7	no
179	460599.7	no
180	460599.7	no
181	486922.20000000007	no
182	382289.80000000005	no
183	382289.80000000005	no
184	517730.6	no
185	399857.5	no
186	391985.1	no
187	399180.0	no
188	371109.0	no
189	371109.0	no
190	399259.2	no
191	399259.2	no
192	413126.6	no
193	401795.1	no
194	391929.1	no
195	157695.9	no
196	214766.6	no
197	211388.9	no
198	184674.4	no
199	299278.7	no
200	366427.6	no
201	284056.69999999995	no
202	284056.69999999995	no
203	273621.9	no
204	375671.0	no
205	305291.0	no
206	305291.0	no
207	305291.0	no
208	270906.89999999997	no
209	317614.0	no
210	317614.0	no
211	335573.5	no
212	372311.9	no
213	372311.9	no
214	349262.89999999997	no
215	391825.4	no
216	391825.4	no
217	391825.4	no
218	294495.30000000005	no
219	294495.30000000005	no
220	294495.30000000005	no
221	294495.30000000005	no
222	294495.30000000005	no
223	173526.6	no
224	173526.6	no
225	173526.6	no
226	173526.6	no
227	173526.6	no
228	151487.4	no
229	135426.59999999998	no
230	135426.59999999998	no
231	267312.7	no
232	233537.5	no
233	233537.5	no
234	233537.5	no
235	264999.2	no
236	277382.2	no
237	332127.3	no
238	356324.3	no
239	310577.5	no
240	317919.30000000005	no
241	317919.30000000005	no
242	302449.60000000003	no
243	282191.1	no
244	241013.5	no
245	270543.1	no
246	328038.0	no
247	342406.7	no
248	240752.0	no
249	206764.19999999998	no
250	235341.3	no
251	267977.2	no
252	305100.39999999997	no
253	254571.2	no
254	211285.99999999997	no
255	272997.19999999995	no
256	272997.19999999995	no
257	256798.5	no
258	151585.69999999998	no
259	105732.5	no
260	151585.69999999998	no
261	151585.69999999998	no
262	61761.8	no
263	61761.8	no
264	60777.6	no
265	60777.6	no
266	270843.8	no
267	270843.8	no
268	270843.8	no
269	292989.8	no
270	249165.0	no
271	249165.0	no
272	249165.0	no
273	246375.09999999998	no
274	244356.2	no
275	281488.10000000003	no
276	252933.7	no
277	305930.50000000006	no
278	305930.50000000006	no
279	310454.5	no
280	345784.3	no
281	313350.69999999995	no
282	249426.89999999997	no
283	286340.5	no
284	220055.90000000002	no
285	220055.90000000002	no
286	296588.9	no
287	224717.6	no
288	218086.0	no
289	314107.19999999995	no
290	314107.19999999995	no
291	408946.7	no
292	408946.7	no
293	449326.0	no
294	370812.9	no
295	370812.9	no
296	330865.7	no
297	362875.70000000007	no
298	362875.70000000007	no
299	359983.1	no
300	328640.1	no
301	311317.1	no
302	214473.1	no
303	361402.2	no
304	361402.2	no
305	361402.2	no
306	361402.2	no
307	283235.30000000005	no
308	241043.5	no
309	366239.3	no
310	105218.9	no
311	105218.9	no
312	105218.9	no
313	105218.9	no
314	113042.59999999999	no
315	84086.7	no
316	84086.7	no
317	84112.79999999999	no
318	72538.5	no
319	72538.5	no
320	44357.2	yes
321	26847.199999999997	yes
322	26847.199999999997	yes
323	28662.9	no
324	20940.7	yes
325	20940.7	yes
326	20940.7	yes
327	69849.9	no
328	34883.1	no
329	34883.1	no
330	34883.1	no
331	34883.1	no
332	12831.300000000001	yes
333	131890.09999999998	no
334	65184.7	no
335	122986.8	no
336	129393.0	no
337	129393.0	no
338	129393.0	no
339	103040.6	no
340	109908.79999999999	no
341	126076.59999999999	no
342	132177.7	no
343	132177.7	no
344	78977.4	no
345	362607.4	no
346	467505.0	no
347	362048.1	no
348	362048.1	no
349	264455.8	no
350	200907.4	no
351	200907.4	no
352	200907.4	no
353	385343.8	no
354	352443.1	no
355	281773.0	no
356	308204.10000000003	no
357	328048.19999999995	no
358	479512.6	no
359	452808.30000000005	no
360	434643.7	no
361	558070.4	no
362	434643.7	no
363	438911.0	no
364	438911.0	no
365	438911.0	no
366	431117.85	no
367	339380.85	no
368	339380.85	no
369	426858.60000000003	no
370	429348.3	no
371	339380.85	no
372	335302.2	no
373	335302.2	no
374	525441.2999999999	no
375	483735.8	no
376	381214.7	no
377	381214.7	no
378	367148.39999999997	no
379	367148.39999999997	no
380	367148.39999999997	no
381	367148.39999999997	no
382	367148.39999999997	no
383	352816.1	no
384	352816.1	no
385	352816.1	no
386	230180.39999999997	no
387	254088.90000000002	no
388	249471.89999999997	no
389	270749.4	no
390	272624.5	no
391	307553.39999999997	no
392	284766.3	no
393	300327.2	no
394	443744.1	no
395	443744.1	no
396	471191.6	no
397	480538.5	no
398	354855.0	no
399	354855.0	no
400	324663.70000000007	no
401	294976.30000000005	no
402	446061.0	no
403	531677.3	no
404	531677.3	no
405	118076.7	no
406	118076.7	no
407	334687.60000000003	no
408	541338.5	no
409	541338.5	no
410	440217.89999999997	no
411	337833.19999999995	no
412	527859.5	no
413	527859.5	no
414	293579.6	no
415	299711.89999999997	no
416	263704.7	no
417	263704.7	no
418	256600.8	no
419	256600.8	no
420	256600.8	no
421	240445.00000000003	no
422	256600.8	no
423	254230.3	no
424	254230.3	no
425	254230.3	no
426	254230.3	no
427	285079.0	no
428	305657.30000000005	no
429	397641.2	no
430	329560.3	no
431	333983.0	no
432	296912.0	no
433	296912.0	no
434	300099.10000000003	no
435	300099.10000000003	no
436	300099.10000000003	no
437	318557.8	no
438	471103.89999999997	no
439	613782.2	no
440	440341.7	no
441	440341.7	no
442	388702.4	no
443	388702.4	no
444	282338.9	no
445	282338.9	no
446	388702.4	no
447	531908.1	no
448	531908.1	no
449	34514.6	no
450	571861.7	no
451	535509.1	no
452	34514.6	no
453	34514.6	no
454	26050.3	no
455	26050.3	no
456	31262.0	no
457	26430.4	no
458	326364.1	no
459	638880.2999999999	no
460	638880.2999999999	no
461	375958.5	no
462	490928.69999999995	no
463	490928.69999999995	no
464	301881.0	no
465	301881.0	no
466	313065.2	no
467	233969.0	no
468	233969.0	no
469	233969.0	no
470	233969.0	no
471	240996.2	no
472	399487.10000000003	no
473	347206.1	no
474	266176.2	no
475	268755.1	no
476	217291.69999999998	no
477	289148.7	no
478	289148.7	no
479	130447.5	no
480	105415.6	no
481	105415.6	no
482	143454.2	no
483	112096.5	no
484	144287.30000000002	no
485	174084.3	no
486	163406.4	no
487	163119.9	no
488	163119.9	no
