time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.000585	__proteinX_rbs	1.0	0.0	0.0
1.000585	__proteinY_rbs	1.0	0.0	0.0
1.000585	__proteinZ_rbs	0.0	0.0	0.0
1.000585	__ribosome	99.0	0.0	0.0
1.000585	__rnase_site	1.0	0.0	0.0
1.000585	__rnase_site_ext	2.0	0.0	0.0
1.000585	p1	1.0	0.0	0.0
1.000585	p2	1.0	0.0	0.0
1.000585	proteinX	0.0	2.0	0.5
1.000585	proteinY	0.0	1.0	0.0
1.000585	rnapol	0.0	0.0	0.0
2.001618	__proteinX_rbs	0.0	0.0	0.0
2.001618	__proteinY_rbs	2.0	0.0	0.0
2.001618	__proteinZ_rbs	0.0	0.0	0.0
2.001618	__ribosome	96.0	0.0	0.0
2.001618	__rnase_site	2.0	0.0	0.0
2.001618	__rnase_site_ext	2.0	0.0	0.0
2.001618	p1	1.0	0.0	0.0
2.001618	p2	1.0	0.0	0.0
2.001618	proteinX	0.0	2.0	1.5
2.001618	proteinY	0.0	2.0	0.5
2.001618	rnapol	0.0	0.0	0.0
3.00296	__proteinX_rbs	1.0	0.0	0.0
3.00296	__proteinY_rbs	0.0	0.0	0.0
3.00296	__proteinZ_rbs	0.0	0.0	0.0
3.00296	__ribosome	93.0	0.0	0.0
3.00296	__rnase_site	1.0	0.0	0.0
3.00296	__rnase_site_ext	2.0	0.0	0.0
3.00296	p1	1.0	0.0	0.0
3.00296	p2	1.0	0.0	0.0
3.00296	proteinX	0.0	2.0	2.0
3.00296	proteinY	0.0	2.0	1.5
3.00296	rnapol	0.0	0.0	0.0
