Iteration	Sum_of_Squares	Accepted
1	253330.80000000002	yes
2	665890.4000000001	no
3	728025.8000000002	no
4	605825.8000000002	no
5	680065.0000000001	no
6	611371.4	no
7	608849.4000000001	no
8	518798.4000000001	no
9	518798.4000000001	no
10	592048.0000000001	no
11	479770.4000000002	no
12	505028.19999999995	no
13	403456.6000000001	no
14	403456.6000000001	no
15	403456.6000000001	no
16	742045.2000000001	no
17	742045.2000000001	no
18	797124.8	no
19	797124.8	no
20	656892.0000000002	no
21	656892.0000000002	no
22	941475.2	no
23	941475.2	no
24	941475.2	no
25	756170.3999999999	no
26	740866.4000000001	no
27	722319.8000000003	no
28	722319.8000000003	no
29	731425.2000000003	no
30	805891.4000000001	no
31	731425.2000000003	no
32	731425.2000000003	no
33	738821.3999999999	no
34	738821.3999999999	no
35	786644.0000000002	no
36	783921.8000000002	no
37	796669.4000000003	no
38	796669.4000000003	no
39	796669.4000000003	no
40	1043575.2000000002	no
41	1080617.0000000005	no
42	525737.4	no
43	501829.8000000001	no
44	576948.6000000001	no
45	539845.6000000001	no
46	1198085.0	no
47	1198085.0	no
48	1198085.0	no
49	539845.6000000001	no
50	582808.2000000002	no
51	1175020.8	no
52	1208586.8000000003	no
53	1211139.8000000003	no
54	1211139.8000000003	no
55	1173382.4000000001	no
56	1173382.4000000001	no
57	918086.9999999999	no
58	918086.9999999999	no
59	918086.9999999999	no
60	851412.2000000001	no
61	851412.2000000001	no
62	851412.2000000001	no
63	736279.4000000001	no
64	768669.8	no
65	849742.0000000001	no
66	849742.0000000001	no
67	761568.6000000001	no
68	734735.2000000001	no
69	637261.2	no
70	517083.8	no
71	517083.8	no
72	660984.2000000002	no
73	725372.6	no
74	361156.80000000016	no
75	427965.19999999995	no
76	527658.8	no
77	720930.7999999999	no
78	736212.0000000002	no
79	589044.0	no
80	437768.8	no
81	437768.8	no
82	437768.8	no
83	437768.8	no
84	437768.8	no
85	741277.4	no
86	741277.4	no
87	727443.2	no
88	741277.4	no
89	741277.4	no
90	680172.2	no
91	586746.8000000002	no
92	729733.8000000002	no
93	760697.2000000002	no
94	823482.6000000001	no
95	799296.4	no
96	744928.7999999998	no
97	766277.8	no
98	552462.6000000001	no
99	552462.6000000001	no
100	242036.6	yes
