time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.005591	__proteinX_rbs	0.000000	0.000000	0.000000
1.005591	__proteinY_rbs	1.000000	0.000000	0.000000
1.005591	__proteinZ_rbs	0.000000	0.000000	0.000000
1.005591	__ribosome	99.000000	0.000000	0.000000
1.005591	__rnase_site	1.000000	0.000000	0.000000
1.005591	__rnase_site_ext	1.000000	0.000000	0.000000
1.005591	p1	1.000000	0.000000	0.000000
1.005591	p2	0.000000	0.000000	0.000000
1.005591	proteinY	0.000000	2.000000	0.500000
1.005591	rnapol	1.000000	0.000000	0.000000
1.999428	__proteinX_rbs	0.000000	0.000000	0.000000
1.999428	__proteinY_rbs	0.000000	0.000000	0.000000
1.999428	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999428	__ribosome	94.000000	0.000000	0.000000
1.999428	__rnase_site	0.000000	0.000000	0.000000
1.999428	__rnase_site_ext	0.000000	0.000000	0.000000
1.999428	p1	1.000000	0.000000	0.000000
1.999428	p2	1.000000	0.000000	0.000000
1.999428	proteinY	0.000000	3.000000	2.000000
1.999428	rnapol	1.000000	0.000000	0.000000
2.999594	__proteinX_rbs	0.000000	0.000000	0.000000
2.999594	__proteinY_rbs	3.000000	0.000000	0.000000
2.999594	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999594	__ribosome	93.000000	0.000000	0.000000
2.999594	__rnase_site	3.000000	0.000000	0.000000
2.999594	__rnase_site_ext	3.000000	0.000000	0.000000
2.999594	p1	1.000000	0.000000	0.000000
2.999594	p2	0.000000	0.000000	0.000000
2.999594	proteinY	0.000000	3.000000	2.333333
2.999594	rnapol	0.000000	0.000000	0.000000
3.999340	__proteinX_rbs	0.000000	0.000000	0.000000
3.999340	__proteinY_rbs	4.000000	0.000000	0.000000
3.999340	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999340	__ribosome	90.000000	0.000000	0.000000
3.999340	__rnase_site	4.000000	0.000000	0.000000
3.999340	__rnase_site_ext	4.000000	0.000000	0.000000
3.999340	p1	1.000000	0.000000	0.000000
3.999340	p2	1.000000	0.000000	0.000000
3.999340	proteinY	0.000000	4.000000	2.500000
3.999340	rnapol	0.000000	0.000000	0.000000
5.001473	__proteinX_rbs	0.000000	0.000000	0.000000
5.001473	__proteinY_rbs	1.000000	0.000000	0.000000
5.001473	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001473	__ribosome	85.000000	0.000000	0.000000
5.001473	__rnase_site	2.000000	0.000000	0.000000
5.001473	__rnase_site_ext	2.000000	0.000000	0.000000
5.001473	p1	1.000000	0.000000	0.000000
5.001473	p2	1.000000	0.000000	0.000000
5.001473	proteinY	0.000000	4.000000	3.500000
5.001473	proteinZ	0.000000	1.000000	1.000000
5.001473	rnapol	0.000000	0.000000	0.000000
5.999704	__proteinX_rbs	0.000000	0.000000	0.000000
5.999704	__proteinY_rbs	3.000000	0.000000	0.000000
5.999704	__proteinZ_rbs	2.000000	0.000000	0.000000
5.999704	__ribosome	83.000000	0.000000	0.000000
5.999704	__rnase_site	3.000000	0.000000	0.000000
5.999704	__rnase_site_ext	3.000000	0.000000	0.000000
5.999704	p1	1.000000	0.000000	0.000000
5.999704	p2	1.000000	0.000000	0.000000
5.999704	proteinY	3.000000	4.000000	3.500000
5.999704	proteinZ	0.000000	3.000000	1.000000
5.999704	rnapol	0.000000	0.000000	0.000000
7.000998	__proteinX_rbs	0.000000	0.000000	0.000000
7.000998	__proteinY_rbs	2.000000	0.000000	0.000000
7.000998	__proteinZ_rbs	2.000000	0.000000	0.000000
7.000998	__ribosome	80.000000	0.000000	0.000000
7.000998	__rnase_site	3.000000	0.000000	0.000000
7.000998	__rnase_site_ext	3.000000	0.000000	0.000000
7.000998	p1	1.000000	0.000000	0.000000
7.000998	p2	1.000000	0.000000	0.000000
7.000998	proteinY	7.000000	4.000000	3.500000
7.000998	proteinZ	0.000000	3.000000	2.000000
7.000998	rnapol	0.000000	0.000000	0.000000
8.000014	__proteinX_rbs	0.000000	0.000000	0.000000
8.000014	__proteinY_rbs	1.000000	0.000000	0.000000
8.000014	__proteinZ_rbs	2.000000	0.000000	0.000000
8.000014	__ribosome	76.000000	0.000000	0.000000
8.000014	__rnase_site	1.000000	0.000000	0.000000
8.000014	__rnase_site_ext	1.000000	0.000000	0.000000
8.000014	p1	1.000000	0.000000	0.000000
8.000014	p2	1.000000	0.000000	0.000000
8.000014	proteinY	10.000000	4.000000	3.750000
8.000014	proteinZ	0.000000	4.000000	2.250000
8.000014	rnapol	1.000000	0.000000	0.000000
8.999092	__proteinX_rbs	0.000000	0.000000	0.000000
8.999092	__proteinY_rbs	3.000000	0.000000	0.000000
8.999092	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999092	__ribosome	72.000000	0.000000	0.000000
8.999092	__rnase_site	3.000000	0.000000	0.000000
8.999092	__rnase_site_ext	3.000000	0.000000	0.000000
8.999092	p1	1.000000	0.000000	0.000000
