time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.004217	__proteinX_rbs	0.0	0.0	0.0
1.004217	__proteinY_rbs	0.0	0.0	0.0
1.004217	__proteinZ_rbs	0.0	0.0	0.0
1.004217	__ribosome	98.0	0.0	0.0
1.004217	__rnase_site	0.0	0.0	0.0
1.004217	__rnase_site_ext	1.0	0.0	0.0
1.004217	p1	1.0	0.0	0.0
1.004217	proteinX	0.0	2.0	1.0
1.004217	rnapol	1.0	0.0	0.0
2.000294	__proteinX_rbs	2.0	0.0	0.0
2.000294	__proteinY_rbs	0.0	0.0	0.0
2.000294	__proteinZ_rbs	0.0	0.0	0.0
2.000294	__ribosome	96.0	0.0	0.0
2.000294	__rnase_site	0.0	0.0	0.0
2.000294	__rnase_site_ext	2.0	0.0	0.0
2.000294	p1	1.0	0.0	0.0
2.000294	proteinX	0.0	4.0	1.0
2.000294	rnapol	0.0	0.0	0.0
3.000381	__proteinX_rbs	2.0	0.0	0.0
3.000381	__proteinY_rbs	0.0	0.0	0.0
3.000381	__proteinZ_rbs	0.0	0.0	0.0
3.000381	__ribosome	94.0	0.0	0.0
3.000381	__rnase_site	0.0	0.0	0.0
3.000381	__rnase_site_ext	3.0	0.0	0.0
3.000381	p1	1.0	0.0	0.0
3.000381	proteinX	0.0	4.0	1.5
3.000381	rnapol	0.0	0.0	0.0
3.999158	__proteinX_rbs	2.0	0.0	0.0
3.999158	__proteinY_rbs	1.0	0.0	0.0
3.999158	__proteinZ_rbs	0.0	0.0	0.0
3.999158	__ribosome	90.0	0.0	0.0
3.999158	__rnase_site	0.0	0.0	0.0
