time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.006041	__proteinX_rbs	0.000000	0.000000	0.000000
1.006041	__proteinY_rbs	0.000000	0.000000	0.000000
1.006041	__proteinZ_rbs	0.000000	0.000000	0.000000
1.006041	__ribosome	98.000000	0.000000	0.000000
1.006041	__rnase_site	0.000000	0.000000	0.000000
1.006041	__rnase_site_ext	1.000000	0.000000	0.000000
1.006041	p1	0.000000	0.000000	0.000000
1.006041	proteinX	0.000000	2.000000	1.000000
1.006041	rnapol	0.000000	0.000000	0.000000
1.999110	__proteinX_rbs	2.000000	0.000000	0.000000
1.999110	__proteinY_rbs	0.000000	0.000000	0.000000
1.999110	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999110	__ribosome	96.000000	0.000000	0.000000
1.999110	__rnase_site	2.000000	0.000000	0.000000
1.999110	__rnase_site_ext	2.000000	0.000000	0.000000
1.999110	p1	1.000000	0.000000	0.000000
1.999110	proteinX	0.000000	4.000000	1.000000
1.999110	rnapol	0.000000	0.000000	0.000000
3.003328	__proteinX_rbs	4.000000	0.000000	0.000000
3.003328	__proteinY_rbs	0.000000	0.000000	0.000000
3.003328	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003328	__ribosome	94.000000	0.000000	0.000000
3.003328	__rnase_site	4.000000	0.000000	0.000000
3.003328	__rnase_site_ext	4.000000	0.000000	0.000000
3.003328	p1	1.000000	0.000000	0.000000
3.003328	proteinX	0.000000	4.000000	1.500000
3.003328	rnapol	0.000000	0.000000	0.000000
4.001145	__proteinX_rbs	3.000000	0.000000	0.000000
4.001145	__proteinY_rbs	0.000000	0.000000	0.000000
4.001145	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001145	__ribosome	87.000000	0.000000	0.000000
4.001145	__rnase_site	3.000000	0.000000	0.000000
4.001145	__rnase_site_ext	4.000000	0.000000	0.000000
4.001145	p1	1.000000	0.000000	0.000000
4.001145	proteinX	0.000000	5.000000	2.600000
4.001145	rnapol	0.000000	0.000000	0.000000
4.999648	__proteinX_rbs	2.000000	0.000000	0.000000
4.999648	__proteinY_rbs	0.000000	0.000000	0.000000
4.999648	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999648	__ribosome	82.000000	0.000000	0.000000
4.999648	__rnase_site	3.000000	0.000000	0.000000
4.999648	__rnase_site_ext	4.000000	0.000000	0.000000
4.999648	p1	1.000000	0.000000	0.000000
4.999648	proteinX	2.000000	6.000000	2.833333
4.999648	proteinY	0.000000	1.000000	1.000000
4.999648	rnapol	0.000000	0.000000	0.000000
6.002919	__proteinX_rbs	3.000000	0.000000	0.000000
6.002919	__proteinY_rbs	1.000000	0.000000	0.000000
6.002919	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002919	__ribosome	79.000000	0.000000	0.000000
6.002919	__rnase_site	6.000000	0.000000	0.000000
6.002919	__rnase_site_ext	6.000000	0.000000	0.000000
6.002919	p1	1.000000	0.000000	0.000000
6.002919	proteinX	6.000000	6.000000	3.000000
6.002919	proteinY	0.000000	2.000000	1.500000
6.002919	rnapol	0.000000	0.000000	0.000000
7.000938	__proteinX_rbs	4.000000	0.000000	0.000000
7.000938	__proteinY_rbs	0.000000	0.000000	0.000000
7.000938	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000938	__ribosome	73.000000	0.000000	0.000000
7.000938	__rnase_site	4.000000	0.000000	0.000000
7.000938	__rnase_site_ext	4.000000	0.000000	0.000000
7.000938	p1	1.000000	0.000000	0.000000
7.000938	proteinX	9.000000	6.000000	3.333333
7.000938	proteinY	0.000000	2.000000	3.500000
7.000938	rnapol	0.000000	0.000000	0.000000
8.003027	__proteinX_rbs	4.000000	0.000000	0.000000
8.003027	__proteinY_rbs	2.000000	0.000000	0.000000
8.003027	__proteinZ_rbs	0.000000	0.000000	0.000000
8.003027	__ribosome	76.000000	0.000000	0.000000
8.003027	__rnase_site	4.000000	0.000000	0.000000
8.003027	__rnase_site_ext	4.000000	0.000000	0.000000
8.003027	p1	1.000000	0.000000	0.000000
8.003027	proteinX	19.000000	6.000000	2.500000
8.003027	proteinY	0.000000	3.000000	3.000000
8.003027	rnapol	0.000000	0.000000	0.000000
8.999237	__proteinX_rbs	2.000000	0.000000	0.000000
8.999237	__proteinY_rbs	2.000000	0.000000	0.000000
8.999237	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999237	__ribosome	73.000000	0.000000	0.000000
8.999237	__rnase_site	5.000000	0.000000	0.000000
8.999237	__rnase_site_ext	4.000000	0.000000	0.000000
8.999237	p1	1.000000	0.000000	0.000000
8.999237	proteinX	23.000000	6.000000	2.833333
8.999237	proteinY	2.000000	3.000000	3.333333
8.999237	rnapol	0.000000	0.000000	0.000000
9.999069	__proteinX_rbs	4.000000	0.000000	0.000000
9.999069	__proteinY_rbs	1.000000	0.000000	0.000000
9.999069	__proteinZ_rbs	0.000000	0.000000	0.000000
9.999069	__ribosome	69.000000	0.000000	0.000000
