time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.006089	__proteinX_rbs	0.0	0.0	0.0
1.006089	__proteinY_rbs	0.0	0.0	0.0
1.006089	__proteinZ_rbs	0.0	0.0	0.0
1.006089	__ribosome	98.0	0.0	0.0
1.006089	__rnase_site	0.0	0.0	0.0
1.006089	__rnase_site_ext	1.0	0.0	0.0
1.006089	p1	0.0	0.0	0.0
1.006089	proteinX	0.0	2.0	1.0
1.006089	rnapol	0.0	0.0	0.0
1.9992560000000001	__proteinX_rbs	2.0	0.0	0.0
1.9992560000000001	__proteinY_rbs	0.0	0.0	0.0
1.9992560000000001	__proteinZ_rbs	0.0	0.0	0.0
1.9992560000000001	__ribosome	96.0	0.0	0.0
1.9992560000000001	__rnase_site	0.0	0.0	0.0
1.9992560000000001	__rnase_site_ext	2.0	0.0	0.0
1.9992560000000001	p1	1.0	0.0	0.0
1.9992560000000001	proteinX	0.0	4.0	1.0
1.9992560000000001	rnapol	0.0	0.0	0.0
3.00655	__proteinX_rbs	2.0	0.0	0.0
3.00655	__proteinY_rbs	0.0	0.0	0.0
3.00655	__proteinZ_rbs	0.0	0.0	0.0
3.00655	__ribosome	92.0	0.0	0.0
3.00655	__rnase_site	0.0	0.0	0.0
3.00655	__rnase_site_ext	4.0	0.0	0.0
3.00655	p1	1.0	0.0	0.0
3.00655	proteinX	0.0	5.0	1.6
3.00655	rnapol	0.0	0.0	0.0
4.001937	__proteinX_rbs	2.0	0.0	0.0
4.001937	__proteinY_rbs	0.0	0.0	0.0
4.001937	__proteinZ_rbs	0.0	0.0	0.0
4.001937	__ribosome	87.0	0.0	0.0
