time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.000735	__proteinX_rbs	0.0	0.0	0.0
1.000735	__proteinY_rbs	0.0	0.0	0.0
1.000735	__proteinZ_rbs	0.0	0.0	0.0
1.000735	__ribosome	98.0	0.0	0.0
1.000735	__rnase_site	0.0	0.0	0.0
1.000735	__rnase_site_ext	1.0	0.0	0.0
1.000735	p1	1.0	0.0	0.0
1.000735	proteinX	0.0	2.0	1.0
1.000735	rnapol	1.0	0.0	0.0
2.004266	__proteinX_rbs	2.0	0.0	0.0
2.004266	__proteinY_rbs	0.0	0.0	0.0
2.004266	__proteinZ_rbs	0.0	0.0	0.0
2.004266	__ribosome	96.0	0.0	0.0
2.004266	__rnase_site	0.0	0.0	0.0
2.004266	__rnase_site_ext	2.0	0.0	0.0
2.004266	p1	1.0	0.0	0.0
2.004266	proteinX	0.0	4.0	1.0
2.004266	rnapol	0.0	0.0	0.0
3.010843	__proteinX_rbs	1.0	0.0	0.0
3.010843	__proteinY_rbs	0.0	0.0	0.0
3.010843	__proteinZ_rbs	0.0	0.0	0.0
3.010843	__ribosome	91.0	0.0	0.0
3.010843	__rnase_site	0.0	0.0	0.0
3.010843	__rnase_site_ext	3.0	0.0	0.0
3.010843	p1	1.0	0.0	0.0
3.010843	proteinX	0.0	4.0	2.0
3.010843	proteinY	0.0	1.0	1.0
3.010843	rnapol	0.0	0.0	0.0
4.003303	__proteinX_rbs	3.0	0.0	0.0
4.003303	__proteinY_rbs	1.0	0.0	0.0
4.003303	__proteinZ_rbs	0.0	0.0	0.0
4.003303	__ribosome	91.0	0.0	0.0
