time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000128	__proteinX_rbs	0.000000	0.000000	0.000000
1.000128	__proteinY_rbs	0.000000	0.000000	0.000000
1.000128	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000128	__ribosome	98.000000	0.000000	0.000000
1.000128	__rnase_site	0.000000	0.000000	0.000000
1.000128	__rnase_site_ext	1.000000	0.000000	0.000000
1.000128	p1	0.000000	0.000000	0.000000
1.000128	proteinX	0.000000	2.000000	1.000000
1.000128	rnapol	0.000000	0.000000	0.000000
2.005289	__proteinX_rbs	2.000000	0.000000	0.000000
2.005289	__proteinY_rbs	0.000000	0.000000	0.000000
2.005289	__proteinZ_rbs	0.000000	0.000000	0.000000
2.005289	__ribosome	96.000000	0.000000	0.000000
2.005289	__rnase_site	0.000000	0.000000	0.000000
2.005289	__rnase_site_ext	2.000000	0.000000	0.000000
2.005289	p1	1.000000	0.000000	0.000000
2.005289	proteinX	0.000000	4.000000	1.000000
2.005289	rnapol	0.000000	0.000000	0.000000
3.000593	__proteinX_rbs	2.000000	0.000000	0.000000
3.000593	__proteinY_rbs	0.000000	0.000000	0.000000
3.000593	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000593	__ribosome	92.000000	0.000000	0.000000
3.000593	__rnase_site	1.000000	0.000000	0.000000
3.000593	__rnase_site_ext	2.000000	0.000000	0.000000
3.000593	p1	0.000000	0.000000	0.000000
3.000593	proteinX	0.000000	4.000000	2.000000
3.000593	rnapol	0.000000	0.000000	0.000000
4.001652	__proteinX_rbs	2.000000	0.000000	0.000000
4.001652	__proteinY_rbs	0.000000	0.000000	0.000000
4.001652	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001652	__ribosome	87.000000	0.000000	0.000000
4.001652	__rnase_site	2.000000	0.000000	0.000000
4.001652	__rnase_site_ext	3.000000	0.000000	0.000000
4.001652	p1	1.000000	0.000000	0.000000
4.001652	proteinX	1.000000	5.000000	2.600000
4.001652	rnapol	1.000000	0.000000	0.000000
5.000170	__proteinX_rbs	2.000000	0.000000	0.000000
5.000170	__proteinY_rbs	0.000000	0.000000	0.000000
5.000170	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000170	__ribosome	83.000000	0.000000	0.000000
5.000170	__rnase_site	4.000000	0.000000	0.000000
5.000170	__rnase_site_ext	3.000000	0.000000	0.000000
5.000170	p1	1.000000	0.000000	0.000000
5.000170	proteinX	2.000000	5.000000	3.400000
5.000170	rnapol	0.000000	0.000000	0.000000
6.001766	__proteinX_rbs	5.000000	0.000000	0.000000
6.001766	__proteinY_rbs	0.000000	0.000000	0.000000
6.001766	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001766	__ribosome	83.000000	0.000000	0.000000
6.001766	__rnase_site	4.000000	0.000000	0.000000
6.001766	__rnase_site_ext	6.000000	0.000000	0.000000
6.001766	p1	1.000000	0.000000	0.000000
6.001766	proteinX	6.000000	7.000000	2.428571
6.001766	rnapol	0.000000	0.000000	0.000000
7.000169	__proteinX_rbs	4.000000	0.000000	0.000000
7.000169	__proteinY_rbs	0.000000	0.000000	0.000000
7.000169	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000169	__ribosome	80.000000	0.000000	0.000000
7.000169	__rnase_site	5.000000	0.000000	0.000000
7.000169	__rnase_site_ext	5.000000	0.000000	0.000000
7.000169	p1	1.000000	0.000000	0.000000
7.000169	proteinX	11.000000	7.000000	2.857143
7.000169	rnapol	0.000000	0.000000	0.000000
7.999748	__proteinX_rbs	2.000000	0.000000	0.000000
7.999748	__proteinY_rbs	0.000000	0.000000	0.000000
7.999748	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999748	__ribosome	77.000000	0.000000	0.000000
7.999748	__rnase_site	6.000000	0.000000	0.000000
7.999748	__rnase_site_ext	3.000000	0.000000	0.000000
7.999748	p1	0.000000	0.000000	0.000000
7.999748	proteinX	16.000000	7.000000	3.142857
7.999748	proteinY	0.000000	1.000000	1.000000
7.999748	rnapol	0.000000	0.000000	0.000000
8.999544	__proteinX_rbs	1.000000	0.000000	0.000000
8.999544	__proteinY_rbs	1.000000	0.000000	0.000000
8.999544	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999544	__ribosome	73.000000	0.000000	0.000000
8.999544	__rnase_site	8.000000	0.000000	0.000000
8.999544	__rnase_site_ext	2.000000	0.000000	0.000000
8.999544	p1	1.000000	0.000000	0.000000
8.999544	proteinX	23.000000	8.000000	3.000000
8.999544	proteinY	0.000000	2.000000	1.500000
8.999544	rnapol	0.000000	0.000000	0.000000
9.999696	__proteinX_rbs	6.000000	0.000000	0.000000
9.999696	__proteinY_rbs	2.000000	0.000000	0.000000
9.999696	__proteinZ_rbs	0.000000	0.000000	0.000000
9.999696	__ribosome	73.000000	0.000000	0.000000
9.999696	__rnase_site	7.000000	0.000000	0.000000
9.999696	__rnase_site_ext	7.000000	0.000000	0.000000
9.999696	p1	1.000000	0.000000	0.000000
