time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	p3	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.006918	__proteinX_rbs	0.0	0.0	0.0
1.006918	__proteinY_rbs	0.0	0.0	0.0
1.006918	__proteinZ_rbs	0.0	0.0	0.0
1.006918	__ribosome	98.0	0.0	0.0
1.006918	__rnase_site	0.0	0.0	0.0
1.006918	__rnase_site_ext	1.0	0.0	0.0
1.006918	p1	0.0	0.0	0.0
1.006918	p2	1.0	0.0	0.0
1.006918	p3	1.0	0.0	0.0
1.006918	proteinX	0.0	2.0	1.0
1.006918	rnapol	0.0	0.0	0.0
2.000086	__proteinX_rbs	2.0	0.0	0.0
2.000086	__proteinY_rbs	0.0	0.0	0.0
2.000086	__proteinZ_rbs	0.0	0.0	0.0
2.000086	__ribosome	96.0	0.0	0.0
2.000086	__rnase_site	0.0	0.0	0.0
2.000086	__rnase_site_ext	2.0	0.0	0.0
2.000086	p1	1.0	0.0	0.0
2.000086	p2	1.0	0.0	0.0
2.000086	p3	1.0	0.0	0.0
2.000086	proteinX	0.0	4.0	1.0
2.000086	rnapol	0.0	0.0	0.0
3.002103	__proteinX_rbs	1.0	0.0	0.0
3.002103	__proteinY_rbs	0.0	0.0	0.0
3.002103	__proteinZ_rbs	0.0	0.0	0.0
3.002103	__ribosome	92.0	0.0	0.0
3.002103	__rnase_site	0.0	0.0	0.0
3.002103	__rnase_site_ext	2.0	0.0	0.0
3.002103	p1	1.0	0.0	0.0
3.002103	p2	1.0	0.0	0.0
3.002103	p3	1.0	0.0	0.0
3.002103	proteinX	0.0	4.0	2.0
