time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003067	__proteinX_rbs	0.000000	0.000000	0.000000
1.003067	__proteinY_rbs	0.000000	0.000000	0.000000
1.003067	__proteinZ_rbs	0.000000	0.000000	0.000000
1.003067	__ribosome	98.000000	0.000000	0.000000
1.003067	__rnase_site	0.000000	0.000000	0.000000
1.003067	__rnase_site_ext	1.000000	0.000000	0.000000
1.003067	p1	0.000000	0.000000	0.000000
1.003067	proteinX	0.000000	2.000000	1.000000
1.003067	rnapol	0.000000	0.000000	0.000000
2.001099	__proteinX_rbs	2.000000	0.000000	0.000000
2.001099	__proteinY_rbs	0.000000	0.000000	0.000000
2.001099	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001099	__ribosome	96.000000	0.000000	0.000000
2.001099	__rnase_site	0.000000	0.000000	0.000000
2.001099	__rnase_site_ext	2.000000	0.000000	0.000000
2.001099	p1	1.000000	0.000000	0.000000
2.001099	proteinX	0.000000	4.000000	1.000000
2.001099	rnapol	0.000000	0.000000	0.000000
3.000849	__proteinX_rbs	1.000000	0.000000	0.000000
3.000849	__proteinY_rbs	1.000000	0.000000	0.000000
3.000849	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000849	__ribosome	92.000000	0.000000	0.000000
3.000849	__rnase_site	1.000000	0.000000	0.000000
3.000849	__rnase_site_ext	3.000000	0.000000	0.000000
3.000849	p1	1.000000	0.000000	0.000000
3.000849	proteinX	0.000000	4.000000	2.000000
3.000849	proteinY	0.000000	1.000000	0.000000
3.000849	rnapol	0.000000	0.000000	0.000000
3.999050	__proteinX_rbs	4.000000	0.000000	0.000000
3.999050	__proteinY_rbs	1.000000	0.000000	0.000000
3.999050	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999050	__ribosome	91.000000	0.000000	0.000000
3.999050	__rnase_site	1.000000	0.000000	0.000000
3.999050	__rnase_site_ext	4.000000	0.000000	0.000000
3.999050	p1	1.000000	0.000000	0.000000
3.999050	proteinX	1.000000	4.000000	2.000000
3.999050	proteinY	0.000000	1.000000	1.000000
3.999050	rnapol	0.000000	0.000000	0.000000
5.000909	__proteinX_rbs	3.000000	0.000000	0.000000
5.000909	__proteinY_rbs	3.000000	0.000000	0.000000
5.000909	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000909	__ribosome	86.000000	0.000000	0.000000
5.000909	__rnase_site	3.000000	0.000000	0.000000
5.000909	__rnase_site_ext	3.000000	0.000000	0.000000
5.000909	p1	1.000000	0.000000	0.000000
5.000909	proteinX	2.000000	4.000000	3.000000
5.000909	proteinY	0.000000	3.000000	0.666667
5.000909	rnapol	0.000000	0.000000	0.000000
5.999026	__proteinX_rbs	2.000000	0.000000	0.000000
5.999026	__proteinY_rbs	2.000000	0.000000	0.000000
5.999026	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999026	__ribosome	82.000000	0.000000	0.000000
5.999026	__rnase_site	4.000000	0.000000	0.000000
5.999026	__rnase_site_ext	2.000000	0.000000	0.000000
5.999026	p1	1.000000	0.000000	0.000000
5.999026	proteinX	5.000000	4.000000	3.250000
5.999026	proteinY	0.000000	4.000000	1.250000
5.999026	rnapol	0.000000	0.000000	0.000000
7.000382	__proteinX_rbs	3.000000	0.000000	0.000000
7.000382	__proteinY_rbs	2.000000	0.000000	0.000000
7.000382	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000382	__ribosome	81.000000	0.000000	0.000000
7.000382	__rnase_site	4.000000	0.000000	0.000000
7.000382	__rnase_site_ext	3.000000	0.000000	0.000000
7.000382	p1	1.000000	0.000000	0.000000
7.000382	proteinX	10.000000	4.000000	2.500000
7.000382	proteinY	0.000000	4.000000	2.250000
7.000382	proteinZ	0.000000	1.000000	0.000000
7.000382	rnapol	0.000000	0.000000	0.000000
7.999106	__proteinX_rbs	3.000000	0.000000	0.000000
7.999106	__proteinY_rbs	2.000000	0.000000	0.000000
7.999106	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999106	__ribosome	77.000000	0.000000	0.000000
7.999106	__rnase_site	4.000000	0.000000	0.000000
7.999106	__rnase_site_ext	3.000000	0.000000	0.000000
7.999106	p1	1.000000	0.000000	0.000000
7.999106	proteinX	14.000000	4.000000	2.000000
7.999106	proteinY	1.000000	4.000000	3.500000
7.999106	proteinZ	0.000000	1.000000	1.000000
7.999106	rnapol	0.000000	0.000000	0.000000
8.999690	__proteinX_rbs	1.000000	0.000000	0.000000
8.999690	__proteinY_rbs	2.000000	0.000000	0.000000
8.999690	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999690	__ribosome	71.000000	0.000000	0.000000
8.999690	__rnase_site	4.000000	0.000000	0.000000
8.999690	__rnase_site_ext	1.000000	0.000000	0.000000
8.999690	p1	1.000000	0.000000	0.000000
8.999690	proteinX	17.000000	4.000000	2.250000
8.999690	proteinY	2.000000	4.000000	4.000000
8.999690	proteinZ	0.000000	3.000000	1.333333
8.999690	rnapol	0.000000	0.000000	0.000000
