time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.007381	__proteinX_rbs	0.000000	0.000000	0.000000
1.007381	__proteinY_rbs	0.000000	0.000000	0.000000
1.007381	__proteinZ_rbs	0.000000	0.000000	0.000000
1.007381	__ribosome	98.000000	0.000000	0.000000
1.007381	__rnase_site	0.000000	0.000000	0.000000
1.007381	__rnase_site_ext	1.000000	0.000000	0.000000
1.007381	p1	0.000000	0.000000	0.000000
1.007381	proteinX	0.000000	2.000000	1.000000
1.007381	rnapol	0.000000	0.000000	0.000000
2.000548	__proteinX_rbs	2.000000	0.000000	0.000000
2.000548	__proteinY_rbs	0.000000	0.000000	0.000000
2.000548	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000548	__ribosome	96.000000	0.000000	0.000000
2.000548	__rnase_site	0.000000	0.000000	0.000000
2.000548	__rnase_site_ext	2.000000	0.000000	0.000000
2.000548	p1	1.000000	0.000000	0.000000
2.000548	proteinX	0.000000	4.000000	1.000000
2.000548	rnapol	0.000000	0.000000	0.000000
3.000199	__proteinX_rbs	1.000000	0.000000	0.000000
3.000199	__proteinY_rbs	1.000000	0.000000	0.000000
3.000199	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000199	__ribosome	92.000000	0.000000	0.000000
3.000199	__rnase_site	0.000000	0.000000	0.000000
3.000199	__rnase_site_ext	3.000000	0.000000	0.000000
3.000199	p1	1.000000	0.000000	0.000000
3.000199	proteinX	0.000000	4.000000	2.000000
3.000199	proteinY	0.000000	1.000000	0.000000
3.000199	rnapol	0.000000	0.000000	0.000000
4.000633	__proteinX_rbs	4.000000	0.000000	0.000000
4.000633	__proteinY_rbs	1.000000	0.000000	0.000000
4.000633	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000633	__ribosome	91.000000	0.000000	0.000000
4.000633	__rnase_site	0.000000	0.000000	0.000000
4.000633	__rnase_site_ext	4.000000	0.000000	0.000000
4.000633	p1	1.000000	0.000000	0.000000
4.000633	proteinX	1.000000	4.000000	2.000000
4.000633	proteinY	0.000000	1.000000	1.000000
4.000633	rnapol	0.000000	0.000000	0.000000
5.001444	__proteinX_rbs	3.000000	0.000000	0.000000
5.001444	__proteinY_rbs	3.000000	0.000000	0.000000
5.001444	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001444	__ribosome	86.000000	0.000000	0.000000
5.001444	__rnase_site	0.000000	0.000000	0.000000
5.001444	__rnase_site_ext	3.000000	0.000000	0.000000
5.001444	p1	1.000000	0.000000	0.000000
5.001444	proteinX	2.000000	4.000000	3.000000
5.001444	proteinY	0.000000	3.000000	0.666667
5.001444	rnapol	0.000000	0.000000	0.000000
5.999557	__proteinX_rbs	2.000000	0.000000	0.000000
5.999557	__proteinY_rbs	2.000000	0.000000	0.000000
5.999557	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999557	__ribosome	82.000000	0.000000	0.000000
5.999557	__rnase_site	0.000000	0.000000	0.000000
5.999557	__rnase_site_ext	2.000000	0.000000	0.000000
5.999557	p1	1.000000	0.000000	0.000000
5.999557	proteinX	5.000000	4.000000	3.250000
5.999557	proteinY	0.000000	4.000000	1.250000
5.999557	rnapol	0.000000	0.000000	0.000000
7.002301	__proteinX_rbs	0.000000	0.000000	0.000000
7.002301	__proteinY_rbs	2.000000	0.000000	0.000000
7.002301	__proteinZ_rbs	0.000000	0.000000	0.000000
7.002301	__ribosome	78.000000	0.000000	0.000000
7.002301	__rnase_site	0.000000	0.000000	0.000000
7.002301	__rnase_site_ext	2.000000	0.000000	0.000000
7.002301	p1	0.000000	0.000000	0.000000
7.002301	proteinX	10.000000	4.000000	3.250000
7.002301	proteinY	0.000000	4.000000	2.250000
7.002301	rnapol	0.000000	0.000000	0.000000
7.999994	__proteinX_rbs	3.000000	0.000000	0.000000
7.999994	__proteinY_rbs	2.000000	0.000000	0.000000
7.999994	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999994	__ribosome	76.000000	0.000000	0.000000
7.999994	__rnase_site	0.000000	0.000000	0.000000
7.999994	__rnase_site_ext	5.000000	0.000000	0.000000
7.999994	p1	1.000000	0.000000	0.000000
7.999994	proteinX	13.000000	5.000000	2.600000
7.999994	proteinY	1.000000	4.000000	2.750000
7.999994	rnapol	0.000000	0.000000	0.000000
8.999576	__proteinX_rbs	4.000000	0.000000	0.000000
8.999576	__proteinY_rbs	4.000000	0.000000	0.000000
8.999576	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999576	__ribosome	75.000000	0.000000	0.000000
8.999576	__rnase_site	0.000000	0.000000	0.000000
8.999576	__rnase_site_ext	5.000000	0.000000	0.000000
8.999576	p1	1.000000	0.000000	0.000000
8.999576	proteinX	18.000000	6.000000	2.000000
8.999576	proteinY	2.000000	4.000000	3.250000
8.999576	proteinZ	0.000000	1.000000	0.000000
8.999576	rnapol	0.000000	0.000000	0.000000
9.999128	__proteinX_rbs	3.000000	0.000000	0.000000
9.999128	__proteinY_rbs	2.000000	0.000000	0.000000
