time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004646	__proteinX_rbs	0.000000	0.000000	0.000000
1.004646	__proteinY_rbs	0.000000	0.000000	0.000000
1.004646	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004646	__ribosome	98.000000	0.000000	0.000000
1.004646	__rnase_site	0.000000	0.000000	0.000000
1.004646	__rnase_site_ext	1.000000	0.000000	0.000000
1.004646	p1	0.000000	0.000000	0.000000
1.004646	p3	1.000000	0.000000	0.000000
1.004646	proteinX	0.000000	2.000000	1.000000
1.004646	rnapol	0.000000	0.000000	0.000000
2.001917	__proteinX_rbs	2.000000	0.000000	0.000000
2.001917	__proteinY_rbs	0.000000	0.000000	0.000000
2.001917	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001917	__ribosome	96.000000	0.000000	0.000000
2.001917	__rnase_site	2.000000	0.000000	0.000000
2.001917	__rnase_site_ext	2.000000	0.000000	0.000000
2.001917	p1	1.000000	0.000000	0.000000
2.001917	p3	1.000000	0.000000	0.000000
2.001917	proteinX	0.000000	4.000000	1.000000
2.001917	rnapol	0.000000	0.000000	0.000000
3.004869	__proteinX_rbs	2.000000	0.000000	0.000000
3.004869	__proteinY_rbs	0.000000	0.000000	0.000000
3.004869	__proteinZ_rbs	0.000000	0.000000	0.000000
3.004869	__ribosome	92.000000	0.000000	0.000000
3.004869	__rnase_site	3.000000	0.000000	0.000000
3.004869	__rnase_site_ext	4.000000	0.000000	0.000000
3.004869	p1	1.000000	0.000000	0.000000
3.004869	p3	1.000000	0.000000	0.000000
3.004869	proteinX	0.000000	5.000000	1.600000
3.004869	rnapol	0.000000	0.000000	0.000000
3.999547	__proteinX_rbs	2.000000	0.000000	0.000000
3.999547	__proteinY_rbs	0.000000	0.000000	0.000000
3.999547	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999547	__ribosome	88.000000	0.000000	0.000000
3.999547	__rnase_site	2.000000	0.000000	0.000000
3.999547	__rnase_site_ext	2.000000	0.000000	0.000000
3.999547	p1	1.000000	0.000000	0.000000
3.999547	p3	1.000000	0.000000	0.000000
3.999547	proteinX	1.000000	4.000000	3.000000
3.999547	rnapol	0.000000	0.000000	0.000000
4.999443	__proteinX_rbs	4.000000	0.000000	0.000000
4.999443	__proteinY_rbs	0.000000	0.000000	0.000000
4.999443	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999443	__ribosome	83.000000	0.000000	0.000000
4.999443	__rnase_site	4.000000	0.000000	0.000000
4.999443	__rnase_site_ext	4.000000	0.000000	0.000000
4.999443	p1	1.000000	0.000000	0.000000
4.999443	p3	1.000000	0.000000	0.000000
4.999443	proteinX	2.000000	5.000000	3.200000
4.999443	proteinY	0.000000	1.000000	1.000000
4.999443	rnapol	0.000000	0.000000	0.000000
6.001681	__proteinX_rbs	3.000000	0.000000	0.000000
6.001681	__proteinY_rbs	1.000000	0.000000	0.000000
6.001681	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001681	__ribosome	82.000000	0.000000	0.000000
6.001681	__rnase_site	3.000000	0.000000	0.000000
6.001681	__rnase_site_ext	3.000000	0.000000	0.000000
6.001681	p1	1.000000	0.000000	0.000000
6.001681	p3	1.000000	0.000000	0.000000
6.001681	proteinX	7.000000	5.000000	3.200000
6.001681	proteinY	0.000000	2.000000	1.000000
6.001681	rnapol	0.000000	0.000000	0.000000
6.999693	__proteinX_rbs	3.000000	0.000000	0.000000
6.999693	__proteinY_rbs	1.000000	0.000000	0.000000
6.999693	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999693	__ribosome	79.000000	0.000000	0.000000
6.999693	__rnase_site	3.000000	0.000000	0.000000
6.999693	__rnase_site_ext	3.000000	0.000000	0.000000
6.999693	p1	1.000000	0.000000	0.000000
6.999693	p3	1.000000	0.000000	0.000000
6.999693	proteinX	11.000000	6.000000	2.833333
6.999693	proteinY	0.000000	2.000000	2.000000
6.999693	rnapol	0.000000	0.000000	0.000000
7.999531	__proteinX_rbs	3.000000	0.000000	0.000000
7.999531	__proteinY_rbs	3.000000	0.000000	0.000000
7.999531	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999531	__ribosome	78.000000	0.000000	0.000000
7.999531	__rnase_site	5.000000	0.000000	0.000000
7.999531	__rnase_site_ext	4.000000	0.000000	0.000000
7.999531	p1	0.000000	0.000000	0.000000
7.999531	p3	1.000000	0.000000	0.000000
7.999531	proteinX	17.000000	6.000000	2.666667
7.999531	proteinY	0.000000	3.000000	2.000000
7.999531	rnapol	0.000000	0.000000	0.000000
9.001361	__proteinX_rbs	5.000000	0.000000	0.000000
9.001361	__proteinY_rbs	2.000000	0.000000	0.000000
9.001361	__proteinZ_rbs	0.000000	0.000000	0.000000
9.001361	__ribosome	75.000000	0.000000	0.000000
9.001361	__rnase_site	6.000000	0.000000	0.000000
9.001361	__rnase_site_ext	6.000000	0.000000	0.000000
9.001361	p1	1.000000	0.000000	0.000000
