time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.008518	__proteinX_rbs	0.000000	0.000000	0.000000
1.008518	__proteinY_rbs	0.000000	0.000000	0.000000
1.008518	__proteinZ_rbs	0.000000	0.000000	0.000000
1.008518	__ribosome	98.000000	0.000000	0.000000
1.008518	__rnase_site	0.000000	0.000000	0.000000
1.008518	__rnase_site_ext	1.000000	0.000000	0.000000
1.008518	p1	0.000000	0.000000	0.000000
1.008518	proteinX	0.000000	2.000000	1.000000
1.008518	rnapol	0.000000	0.000000	0.000000
2.002269	__proteinX_rbs	2.000000	0.000000	0.000000
2.002269	__proteinY_rbs	0.000000	0.000000	0.000000
2.002269	__proteinZ_rbs	0.000000	0.000000	0.000000
2.002269	__ribosome	96.000000	0.000000	0.000000
2.002269	__rnase_site	0.000000	0.000000	0.000000
2.002269	__rnase_site_ext	2.000000	0.000000	0.000000
2.002269	p1	1.000000	0.000000	0.000000
2.002269	proteinX	0.000000	4.000000	1.000000
2.002269	rnapol	0.000000	0.000000	0.000000
2.999555	__proteinX_rbs	1.000000	0.000000	0.000000
2.999555	__proteinY_rbs	1.000000	0.000000	0.000000
2.999555	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999555	__ribosome	92.000000	0.000000	0.000000
2.999555	__rnase_site	0.000000	0.000000	0.000000
2.999555	__rnase_site_ext	2.000000	0.000000	0.000000
2.999555	p1	1.000000	0.000000	0.000000
2.999555	proteinX	0.000000	4.000000	2.000000
2.999555	proteinY	0.000000	1.000000	0.000000
2.999555	rnapol	0.000000	0.000000	0.000000
3.999673	__proteinX_rbs	4.000000	0.000000	0.000000
3.999673	__proteinY_rbs	1.000000	0.000000	0.000000
3.999673	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999673	__ribosome	91.000000	0.000000	0.000000
3.999673	__rnase_site	0.000000	0.000000	0.000000
3.999673	__rnase_site_ext	4.000000	0.000000	0.000000
3.999673	p1	1.000000	0.000000	0.000000
3.999673	proteinX	1.000000	4.000000	2.000000
3.999673	proteinY	0.000000	1.000000	1.000000
3.999673	rnapol	0.000000	0.000000	0.000000
4.999048	__proteinX_rbs	3.000000	0.000000	0.000000
4.999048	__proteinY_rbs	3.000000	0.000000	0.000000
4.999048	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999048	__ribosome	86.000000	0.000000	0.000000
4.999048	__rnase_site	0.000000	0.000000	0.000000
4.999048	__rnase_site_ext	3.000000	0.000000	0.000000
4.999048	p1	1.000000	0.000000	0.000000
4.999048	proteinX	2.000000	4.000000	3.000000
4.999048	proteinY	0.000000	3.000000	0.666667
4.999048	rnapol	0.000000	0.000000	0.000000
6.002194	__proteinX_rbs	2.000000	0.000000	0.000000
6.002194	__proteinY_rbs	2.000000	0.000000	0.000000
6.002194	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002194	__ribosome	82.000000	0.000000	0.000000
6.002194	__rnase_site	0.000000	0.000000	0.000000
6.002194	__rnase_site_ext	2.000000	0.000000	0.000000
6.002194	p1	1.000000	0.000000	0.000000
6.002194	proteinX	5.000000	4.000000	3.250000
6.002194	proteinY	0.000000	4.000000	1.250000
6.002194	rnapol	0.000000	0.000000	0.000000
7.000748	__proteinX_rbs	3.000000	0.000000	0.000000
7.000748	__proteinY_rbs	2.000000	0.000000	0.000000
7.000748	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000748	__ribosome	80.000000	0.000000	0.000000
7.000748	__rnase_site	0.000000	0.000000	0.000000
7.000748	__rnase_site_ext	3.000000	0.000000	0.000000
7.000748	p1	1.000000	0.000000	0.000000
7.000748	proteinX	9.000000	4.000000	2.750000
7.000748	proteinY	0.000000	4.000000	2.250000
7.000748	proteinZ	0.000000	1.000000	0.000000
7.000748	rnapol	0.000000	0.000000	0.000000
7.999326	__proteinX_rbs	3.000000	0.000000	0.000000
7.999326	__proteinY_rbs	2.000000	0.000000	0.000000
7.999326	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999326	__ribosome	77.000000	0.000000	0.000000
7.999326	__rnase_site	0.000000	0.000000	0.000000
7.999326	__rnase_site_ext	3.000000	0.000000	0.000000
7.999326	p1	1.000000	0.000000	0.000000
7.999326	proteinX	14.000000	4.000000	2.000000
7.999326	proteinY	1.000000	4.000000	3.500000
7.999326	proteinZ	0.000000	1.000000	1.000000
7.999326	rnapol	0.000000	0.000000	0.000000
9.001388	__proteinX_rbs	1.000000	0.000000	0.000000
9.001388	__proteinY_rbs	2.000000	0.000000	0.000000
9.001388	__proteinZ_rbs	1.000000	0.000000	0.000000
9.001388	__ribosome	71.000000	0.000000	0.000000
9.001388	__rnase_site	0.000000	0.000000	0.000000
9.001388	__rnase_site_ext	1.000000	0.000000	0.000000
9.001388	p1	1.000000	0.000000	0.000000
9.001388	proteinX	17.000000	4.000000	2.250000
9.001388	proteinY	2.000000	4.000000	4.000000
9.001388	proteinZ	0.000000	3.000000	1.333333
9.001388	rnapol	0.000000	0.000000	0.000000
