time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000443	__proteinX_rbs	0.000000	0.000000	0.000000
1.000443	__proteinY_rbs	0.000000	0.000000	0.000000
1.000443	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000443	__ribosome	98.000000	0.000000	0.000000
1.000443	__rnase_site	0.000000	0.000000	0.000000
1.000443	__rnase_site_ext	1.000000	0.000000	0.000000
1.000443	p1	0.000000	0.000000	0.000000
1.000443	proteinX	0.000000	2.000000	1.000000
1.000443	rnapol	0.000000	0.000000	0.000000
2.000366	__proteinX_rbs	2.000000	0.000000	0.000000
2.000366	__proteinY_rbs	0.000000	0.000000	0.000000
2.000366	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000366	__ribosome	96.000000	0.000000	0.000000
2.000366	__rnase_site	2.000000	0.000000	0.000000
2.000366	__rnase_site_ext	2.000000	0.000000	0.000000
2.000366	p1	1.000000	0.000000	0.000000
2.000366	proteinX	0.000000	4.000000	1.000000
2.000366	rnapol	0.000000	0.000000	0.000000
3.005142	__proteinX_rbs	4.000000	0.000000	0.000000
3.005142	__proteinY_rbs	0.000000	0.000000	0.000000
3.005142	__proteinZ_rbs	0.000000	0.000000	0.000000
3.005142	__ribosome	94.000000	0.000000	0.000000
3.005142	__rnase_site	4.000000	0.000000	0.000000
3.005142	__rnase_site_ext	4.000000	0.000000	0.000000
3.005142	p1	1.000000	0.000000	0.000000
3.005142	proteinX	0.000000	4.000000	1.500000
3.005142	rnapol	0.000000	0.000000	0.000000
4.001440	__proteinX_rbs	4.000000	0.000000	0.000000
4.001440	__proteinY_rbs	0.000000	0.000000	0.000000
4.001440	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001440	__ribosome	89.000000	0.000000	0.000000
4.001440	__rnase_site	5.000000	0.000000	0.000000
4.001440	__rnase_site_ext	5.000000	0.000000	0.000000
4.001440	p1	1.000000	0.000000	0.000000
4.001440	proteinX	0.000000	5.000000	2.200000
4.001440	rnapol	0.000000	0.000000	0.000000
4.999038	__proteinX_rbs	4.000000	0.000000	0.000000
4.999038	__proteinY_rbs	1.000000	0.000000	0.000000
4.999038	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999038	__ribosome	84.000000	0.000000	0.000000
4.999038	__rnase_site	4.000000	0.000000	0.000000
4.999038	__rnase_site_ext	4.000000	0.000000	0.000000
4.999038	p1	1.000000	0.000000	0.000000
4.999038	proteinX	2.000000	6.000000	2.500000
4.999038	proteinY	0.000000	1.000000	1.000000
4.999038	rnapol	0.000000	0.000000	0.000000
6.000173	__proteinX_rbs	1.000000	0.000000	0.000000
6.000173	__proteinY_rbs	2.000000	0.000000	0.000000
6.000173	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000173	__ribosome	81.000000	0.000000	0.000000
6.000173	__rnase_site	3.000000	0.000000	0.000000
6.000173	__rnase_site_ext	3.000000	0.000000	0.000000
6.000173	p1	1.000000	0.000000	0.000000
6.000173	proteinX	7.000000	6.000000	2.833333
6.000173	proteinY	0.000000	2.000000	1.000000
6.000173	rnapol	0.000000	0.000000	0.000000
6.999554	__proteinX_rbs	3.000000	0.000000	0.000000
6.999554	__proteinY_rbs	2.000000	0.000000	0.000000
6.999554	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999554	__ribosome	76.000000	0.000000	0.000000
6.999554	__rnase_site	4.000000	0.000000	0.000000
6.999554	__rnase_site_ext	4.000000	0.000000	0.000000
6.999554	p1	1.000000	0.000000	0.000000
6.999554	proteinX	9.000000	6.000000	3.166667
6.999554	proteinY	0.000000	3.000000	1.666667
6.999554	rnapol	0.000000	0.000000	0.000000
7.999663	__proteinX_rbs	5.000000	0.000000	0.000000
7.999663	__proteinY_rbs	3.000000	0.000000	0.000000
7.999663	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999663	__ribosome	74.000000	0.000000	0.000000
7.999663	__rnase_site	6.000000	0.000000	0.000000
7.999663	__rnase_site_ext	6.000000	0.000000	0.000000
7.999663	p1	1.000000	0.000000	0.000000
7.999663	proteinX	16.000000	7.000000	2.428571
7.999663	proteinY	0.000000	3.000000	3.000000
7.999663	rnapol	0.000000	0.000000	0.000000
8.999927	__proteinX_rbs	3.000000	0.000000	0.000000
8.999927	__proteinY_rbs	3.000000	0.000000	0.000000
8.999927	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999927	__ribosome	70.000000	0.000000	0.000000
8.999927	__rnase_site	4.000000	0.000000	0.000000
8.999927	__rnase_site_ext	4.000000	0.000000	0.000000
8.999927	p1	1.000000	0.000000	0.000000
8.999927	proteinX	21.000000	7.000000	2.571429
8.999927	proteinY	1.000000	4.000000	3.000000
8.999927	rnapol	0.000000	0.000000	0.000000
10.001984	__proteinX_rbs	3.000000	0.000000	0.000000
10.001984	__proteinY_rbs	1.000000	0.000000	0.000000
10.001984	__proteinZ_rbs	1.000000	0.000000	0.000000
10.001984	__ribosome	69.000000	0.000000	0.000000
