time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999695	__proteinX_rbs	0.000000	0.000000	0.000000
0.999695	__proteinY_rbs	0.000000	0.000000	0.000000
0.999695	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999695	__ribosome	98.000000	0.000000	0.000000
0.999695	__rnase_site	0.000000	0.000000	0.000000
0.999695	__rnase_site_ext	1.000000	0.000000	0.000000
0.999695	p1	0.000000	0.000000	0.000000
0.999695	proteinX	0.000000	2.000000	1.000000
0.999695	rnapol	0.000000	0.000000	0.000000
2.001029	__proteinX_rbs	2.000000	0.000000	0.000000
2.001029	__proteinY_rbs	0.000000	0.000000	0.000000
2.001029	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001029	__ribosome	96.000000	0.000000	0.000000
2.001029	__rnase_site	0.000000	0.000000	0.000000
2.001029	__rnase_site_ext	2.000000	0.000000	0.000000
2.001029	p1	1.000000	0.000000	0.000000
2.001029	proteinX	0.000000	4.000000	1.000000
2.001029	rnapol	0.000000	0.000000	0.000000
3.003516	__proteinX_rbs	1.000000	0.000000	0.000000
3.003516	__proteinY_rbs	1.000000	0.000000	0.000000
3.003516	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003516	__ribosome	92.000000	0.000000	0.000000
3.003516	__rnase_site	0.000000	0.000000	0.000000
3.003516	__rnase_site_ext	3.000000	0.000000	0.000000
3.003516	p1	1.000000	0.000000	0.000000
3.003516	proteinX	0.000000	4.000000	2.000000
3.003516	proteinY	0.000000	1.000000	0.000000
3.003516	rnapol	0.000000	0.000000	0.000000
4.000678	__proteinX_rbs	4.000000	0.000000	0.000000
4.000678	__proteinY_rbs	1.000000	0.000000	0.000000
4.000678	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000678	__ribosome	91.000000	0.000000	0.000000
4.000678	__rnase_site	0.000000	0.000000	0.000000
4.000678	__rnase_site_ext	4.000000	0.000000	0.000000
4.000678	p1	1.000000	0.000000	0.000000
4.000678	proteinX	1.000000	4.000000	2.000000
4.000678	proteinY	0.000000	1.000000	1.000000
4.000678	rnapol	0.000000	0.000000	0.000000
5.004760	__proteinX_rbs	3.000000	0.000000	0.000000
5.004760	__proteinY_rbs	3.000000	0.000000	0.000000
5.004760	__proteinZ_rbs	0.000000	0.000000	0.000000
5.004760	__ribosome	86.000000	0.000000	0.000000
5.004760	__rnase_site	0.000000	0.000000	0.000000
5.004760	__rnase_site_ext	3.000000	0.000000	0.000000
5.004760	p1	1.000000	0.000000	0.000000
5.004760	proteinX	2.000000	4.000000	3.000000
5.004760	proteinY	0.000000	3.000000	0.666667
5.004760	rnapol	0.000000	0.000000	0.000000
5.999216	__proteinX_rbs	2.000000	0.000000	0.000000
5.999216	__proteinY_rbs	2.000000	0.000000	0.000000
5.999216	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999216	__ribosome	82.000000	0.000000	0.000000
5.999216	__rnase_site	0.000000	0.000000	0.000000
5.999216	__rnase_site_ext	2.000000	0.000000	0.000000
5.999216	p1	1.000000	0.000000	0.000000
5.999216	proteinX	5.000000	4.000000	3.250000
5.999216	proteinY	0.000000	4.000000	1.250000
5.999216	rnapol	0.000000	0.000000	0.000000
7.002602	__proteinX_rbs	3.000000	0.000000	0.000000
7.002602	__proteinY_rbs	2.000000	0.000000	0.000000
7.002602	__proteinZ_rbs	1.000000	0.000000	0.000000
7.002602	__ribosome	81.000000	0.000000	0.000000
7.002602	__rnase_site	0.000000	0.000000	0.000000
7.002602	__rnase_site_ext	3.000000	0.000000	0.000000
7.002602	p1	1.000000	0.000000	0.000000
7.002602	proteinX	10.000000	4.000000	2.500000
7.002602	proteinY	0.000000	4.000000	2.250000
7.002602	proteinZ	0.000000	1.000000	0.000000
7.002602	rnapol	0.000000	0.000000	0.000000
8.001166	__proteinX_rbs	3.000000	0.000000	0.000000
8.001166	__proteinY_rbs	2.000000	0.000000	0.000000
8.001166	__proteinZ_rbs	1.000000	0.000000	0.000000
8.001166	__ribosome	77.000000	0.000000	0.000000
8.001166	__rnase_site	0.000000	0.000000	0.000000
8.001166	__rnase_site_ext	3.000000	0.000000	0.000000
8.001166	p1	1.000000	0.000000	0.000000
8.001166	proteinX	14.000000	4.000000	2.000000
8.001166	proteinY	1.000000	4.000000	3.500000
8.001166	proteinZ	0.000000	1.000000	1.000000
8.001166	rnapol	0.000000	0.000000	0.000000
8.999847	__proteinX_rbs	1.000000	0.000000	0.000000
8.999847	__proteinY_rbs	2.000000	0.000000	0.000000
8.999847	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999847	__ribosome	71.000000	0.000000	0.000000
8.999847	__rnase_site	0.000000	0.000000	0.000000
8.999847	__rnase_site_ext	1.000000	0.000000	0.000000
8.999847	p1	1.000000	0.000000	0.000000
8.999847	proteinX	17.000000	4.000000	2.250000
8.999847	proteinY	2.000000	4.000000	4.000000
8.999847	proteinZ	0.000000	3.000000	1.333333
8.999847	rnapol	0.000000	0.000000	0.000000
