time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.999659	__proteinX_rbs	0.0	0.0	0.0
0.999659	__proteinY_rbs	0.0	0.0	0.0
0.999659	__proteinZ_rbs	0.0	0.0	0.0
0.999659	__ribosome	98.0	0.0	0.0
0.999659	__rnase_site	0.0	0.0	0.0
0.999659	__rnase_site_ext	1.0	0.0	0.0
0.999659	p1	0.0	0.0	0.0
0.999659	p2	1.0	0.0	0.0
0.999659	proteinX	0.0	2.0	1.0
0.999659	rnapol	0.0	0.0	0.0
2.0009930000000002	__proteinX_rbs	2.0	0.0	0.0
2.0009930000000002	__proteinY_rbs	0.0	0.0	0.0
2.0009930000000002	__proteinZ_rbs	0.0	0.0	0.0
2.0009930000000002	__ribosome	96.0	0.0	0.0
2.0009930000000002	__rnase_site	0.0	0.0	0.0
2.0009930000000002	__rnase_site_ext	2.0	0.0	0.0
2.0009930000000002	p1	1.0	0.0	0.0
2.0009930000000002	p2	1.0	0.0	0.0
2.0009930000000002	proteinX	0.0	4.0	1.0
2.0009930000000002	rnapol	0.0	0.0	0.0
2.999419	__proteinX_rbs	2.0	0.0	0.0
2.999419	__proteinY_rbs	0.0	0.0	0.0
2.999419	__proteinZ_rbs	0.0	0.0	0.0
2.999419	__ribosome	93.0	0.0	0.0
2.999419	__rnase_site	0.0	0.0	0.0
2.999419	__rnase_site_ext	5.0	0.0	0.0
2.999419	p1	1.0	0.0	0.0
2.999419	p2	1.0	0.0	0.0
2.999419	proteinX	0.0	4.0	1.75
2.999419	rnapol	0.0	0.0	0.0
3.99937	__proteinX_rbs	3.0	0.0	0.0
