time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.002025	__proteinX_rbs	0.0	0.0	0.0
1.002025	__proteinY_rbs	0.0	0.0	0.0
1.002025	__proteinZ_rbs	0.0	0.0	0.0
1.002025	__ribosome	98.0	0.0	0.0
1.002025	__rnase_site	0.0	0.0	0.0
1.002025	__rnase_site_ext	1.0	0.0	0.0
1.002025	p1	0.0	0.0	0.0
1.002025	p2	1.0	0.0	0.0
1.002025	proteinX	0.0	2.0	1.0
1.002025	rnapol	0.0	0.0	0.0
1.9998240000000003	__proteinX_rbs	2.0	0.0	0.0
1.9998240000000003	__proteinY_rbs	0.0	0.0	0.0
1.9998240000000003	__proteinZ_rbs	0.0	0.0	0.0
1.9998240000000003	__ribosome	96.0	0.0	0.0
1.9998240000000003	__rnase_site	2.0	0.0	0.0
1.9998240000000003	__rnase_site_ext	2.0	0.0	0.0
1.9998240000000003	p1	1.0	0.0	0.0
1.9998240000000003	p2	1.0	0.0	0.0
1.9998240000000003	proteinX	0.0	4.0	1.0
1.9998240000000003	rnapol	0.0	0.0	0.0
3.002548	__proteinX_rbs	4.0	0.0	0.0
3.002548	__proteinY_rbs	0.0	0.0	0.0
3.002548	__proteinZ_rbs	0.0	0.0	0.0
3.002548	__ribosome	94.0	0.0	0.0
3.002548	__rnase_site	4.0	0.0	0.0
3.002548	__rnase_site_ext	4.0	0.0	0.0
3.002548	p1	0.0	0.0	0.0
3.002548	p2	1.0	0.0	0.0
3.002548	proteinX	0.0	4.0	1.5
3.002548	rnapol	0.0	0.0	0.0
3.999904	__proteinX_rbs	4.0	0.0	0.0
