time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004845	__proteinX_rbs	0.000000	0.000000	0.000000
1.004845	__proteinY_rbs	0.000000	0.000000	0.000000
1.004845	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004845	__ribosome	98.000000	0.000000	0.000000
1.004845	__rnase_site	0.000000	0.000000	0.000000
1.004845	__rnase_site_ext	1.000000	0.000000	0.000000
1.004845	p1	1.000000	0.000000	0.000000
1.004845	p3	1.000000	0.000000	0.000000
1.004845	proteinX	0.000000	2.000000	1.000000
1.004845	rnapol	1.000000	0.000000	0.000000
1.999248	__proteinX_rbs	2.000000	0.000000	0.000000
1.999248	__proteinY_rbs	0.000000	0.000000	0.000000
1.999248	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999248	__ribosome	96.000000	0.000000	0.000000
1.999248	__rnase_site	0.000000	0.000000	0.000000
1.999248	__rnase_site_ext	2.000000	0.000000	0.000000
1.999248	p1	1.000000	0.000000	0.000000
1.999248	p3	1.000000	0.000000	0.000000
1.999248	proteinX	0.000000	4.000000	1.000000
1.999248	rnapol	0.000000	0.000000	0.000000
3.000391	__proteinX_rbs	1.000000	0.000000	0.000000
3.000391	__proteinY_rbs	0.000000	0.000000	0.000000
3.000391	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000391	__ribosome	92.000000	0.000000	0.000000
3.000391	__rnase_site	0.000000	0.000000	0.000000
3.000391	__rnase_site_ext	2.000000	0.000000	0.000000
3.000391	p1	1.000000	0.000000	0.000000
3.000391	p3	1.000000	0.000000	0.000000
3.000391	proteinX	0.000000	4.000000	2.000000
3.000391	rnapol	0.000000	0.000000	0.000000
4.002003	__proteinX_rbs	3.000000	0.000000	0.000000
4.002003	__proteinY_rbs	1.000000	0.000000	0.000000
4.002003	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002003	__ribosome	88.000000	0.000000	0.000000
4.002003	__rnase_site	0.000000	0.000000	0.000000
4.002003	__rnase_site_ext	3.000000	0.000000	0.000000
4.002003	p1	1.000000	0.000000	0.000000
4.002003	p3	1.000000	0.000000	0.000000
4.002003	proteinX	1.000000	4.000000	2.750000
4.002003	proteinY	0.000000	1.000000	1.000000
4.002003	rnapol	0.000000	0.000000	0.000000
4.999569	__proteinX_rbs	2.000000	0.000000	0.000000
4.999569	__proteinY_rbs	1.000000	0.000000	0.000000
4.999569	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999569	__ribosome	86.000000	0.000000	0.000000
4.999569	__rnase_site	0.000000	0.000000	0.000000
4.999569	__rnase_site_ext	3.000000	0.000000	0.000000
4.999569	p1	0.000000	0.000000	0.000000
4.999569	p3	1.000000	0.000000	0.000000
4.999569	proteinX	2.000000	4.000000	3.250000
4.999569	proteinY	0.000000	1.000000	1.000000
4.999569	rnapol	0.000000	0.000000	0.000000
6.001347	__proteinX_rbs	2.000000	0.000000	0.000000
6.001347	__proteinY_rbs	2.000000	0.000000	0.000000
6.001347	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001347	__ribosome	85.000000	0.000000	0.000000
6.001347	__rnase_site	0.000000	0.000000	0.000000
6.001347	__rnase_site_ext	4.000000	0.000000	0.000000
6.001347	p1	1.000000	0.000000	0.000000
6.001347	p3	1.000000	0.000000	0.000000
6.001347	proteinX	5.000000	5.000000	2.800000
6.001347	proteinY	0.000000	2.000000	0.500000
6.001347	rnapol	1.000000	0.000000	0.000000
6.999742	__proteinX_rbs	3.000000	0.000000	0.000000
6.999742	__proteinY_rbs	0.000000	0.000000	0.000000
6.999742	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999742	__ribosome	82.000000	0.000000	0.000000
6.999742	__rnase_site	0.000000	0.000000	0.000000
6.999742	__rnase_site_ext	4.000000	0.000000	0.000000
6.999742	p1	1.000000	0.000000	0.000000
6.999742	p3	1.000000	0.000000	0.000000
6.999742	proteinX	11.000000	6.000000	2.166667
6.999742	proteinY	0.000000	3.000000	1.666667
6.999742	rnapol	0.000000	0.000000	0.000000
7.999051	__proteinX_rbs	2.000000	0.000000	0.000000
7.999051	__proteinY_rbs	1.000000	0.000000	0.000000
7.999051	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999051	__ribosome	78.000000	0.000000	0.000000
7.999051	__rnase_site	0.000000	0.000000	0.000000
7.999051	__rnase_site_ext	4.000000	0.000000	0.000000
7.999051	p1	1.000000	0.000000	0.000000
7.999051	p3	1.000000	0.000000	0.000000
7.999051	proteinX	13.000000	6.000000	2.666667
7.999051	proteinY	1.000000	3.000000	2.000000
7.999051	rnapol	0.000000	0.000000	0.000000
9.001914	__proteinX_rbs	5.000000	0.000000	0.000000
9.001914	__proteinY_rbs	3.000000	0.000000	0.000000
9.001914	__proteinZ_rbs	1.000000	0.000000	0.000000
9.001914	__ribosome	75.000000	0.000000	0.000000
9.001914	__rnase_site	1.000000	0.000000	0.000000
9.001914	__rnase_site_ext	5.000000	0.000000	0.000000
