time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000451	__proteinX_rbs	0.000000	0.000000	0.000000
1.000451	__proteinY_rbs	0.000000	0.000000	0.000000
1.000451	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000451	__ribosome	98.000000	0.000000	0.000000
1.000451	__rnase_site	0.000000	0.000000	0.000000
1.000451	__rnase_site_ext	1.000000	0.000000	0.000000
1.000451	p1	0.000000	0.000000	0.000000
1.000451	p2	1.000000	0.000000	0.000000
1.000451	proteinX	0.000000	2.000000	1.000000
1.000451	rnapol	0.000000	0.000000	0.000000
1.999284	__proteinX_rbs	2.000000	0.000000	0.000000
1.999284	__proteinY_rbs	0.000000	0.000000	0.000000
1.999284	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999284	__ribosome	96.000000	0.000000	0.000000
1.999284	__rnase_site	0.000000	0.000000	0.000000
1.999284	__rnase_site_ext	2.000000	0.000000	0.000000
1.999284	p1	1.000000	0.000000	0.000000
1.999284	p2	1.000000	0.000000	0.000000
1.999284	proteinX	0.000000	4.000000	1.000000
1.999284	rnapol	0.000000	0.000000	0.000000
3.004272	__proteinX_rbs	1.000000	0.000000	0.000000
3.004272	__proteinY_rbs	1.000000	0.000000	0.000000
3.004272	__proteinZ_rbs	0.000000	0.000000	0.000000
3.004272	__ribosome	92.000000	0.000000	0.000000
3.004272	__rnase_site	0.000000	0.000000	0.000000
3.004272	__rnase_site_ext	3.000000	0.000000	0.000000
3.004272	p1	1.000000	0.000000	0.000000
3.004272	p2	1.000000	0.000000	0.000000
3.004272	proteinX	0.000000	4.000000	2.000000
3.004272	proteinY	0.000000	1.000000	0.000000
3.004272	rnapol	0.000000	0.000000	0.000000
4.001434	__proteinX_rbs	4.000000	0.000000	0.000000
4.001434	__proteinY_rbs	1.000000	0.000000	0.000000
4.001434	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001434	__ribosome	91.000000	0.000000	0.000000
4.001434	__rnase_site	0.000000	0.000000	0.000000
4.001434	__rnase_site_ext	4.000000	0.000000	0.000000
4.001434	p1	1.000000	0.000000	0.000000
4.001434	p2	1.000000	0.000000	0.000000
4.001434	proteinX	1.000000	4.000000	2.000000
4.001434	proteinY	0.000000	1.000000	1.000000
4.001434	rnapol	0.000000	0.000000	0.000000
4.999389	__proteinX_rbs	3.000000	0.000000	0.000000
4.999389	__proteinY_rbs	3.000000	0.000000	0.000000
4.999389	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999389	__ribosome	86.000000	0.000000	0.000000
4.999389	__rnase_site	0.000000	0.000000	0.000000
4.999389	__rnase_site_ext	3.000000	0.000000	0.000000
4.999389	p1	1.000000	0.000000	0.000000
4.999389	p2	1.000000	0.000000	0.000000
4.999389	proteinX	2.000000	4.000000	3.000000
4.999389	proteinY	0.000000	3.000000	0.666667
4.999389	rnapol	0.000000	0.000000	0.000000
5.999172	__proteinX_rbs	2.000000	0.000000	0.000000
5.999172	__proteinY_rbs	2.000000	0.000000	0.000000
5.999172	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999172	__ribosome	82.000000	0.000000	0.000000
5.999172	__rnase_site	0.000000	0.000000	0.000000
5.999172	__rnase_site_ext	2.000000	0.000000	0.000000
5.999172	p1	1.000000	0.000000	0.000000
5.999172	p2	1.000000	0.000000	0.000000
5.999172	proteinX	5.000000	4.000000	3.250000
5.999172	proteinY	0.000000	4.000000	1.250000
5.999172	rnapol	0.000000	0.000000	0.000000
7.003351	__proteinX_rbs	3.000000	0.000000	0.000000
7.003351	__proteinY_rbs	2.000000	0.000000	0.000000
7.003351	__proteinZ_rbs	1.000000	0.000000	0.000000
7.003351	__ribosome	81.000000	0.000000	0.000000
7.003351	__rnase_site	1.000000	0.000000	0.000000
7.003351	__rnase_site_ext	3.000000	0.000000	0.000000
7.003351	p1	1.000000	0.000000	0.000000
7.003351	p2	1.000000	0.000000	0.000000
7.003351	proteinX	10.000000	4.000000	2.500000
7.003351	proteinY	0.000000	4.000000	2.250000
7.003351	proteinZ	0.000000	1.000000	0.000000
7.003351	rnapol	0.000000	0.000000	0.000000
7.999319	__proteinX_rbs	3.000000	0.000000	0.000000
7.999319	__proteinY_rbs	2.000000	0.000000	0.000000
7.999319	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999319	__ribosome	77.000000	0.000000	0.000000
7.999319	__rnase_site	2.000000	0.000000	0.000000
7.999319	__rnase_site_ext	3.000000	0.000000	0.000000
7.999319	p1	1.000000	0.000000	0.000000
7.999319	p2	1.000000	0.000000	0.000000
7.999319	proteinX	14.000000	4.000000	2.000000
7.999319	proteinY	1.000000	4.000000	3.500000
7.999319	proteinZ	0.000000	1.000000	1.000000
7.999319	rnapol	0.000000	0.000000	0.000000
8.999287	__proteinX_rbs	1.000000	0.000000	0.000000
8.999287	__proteinY_rbs	2.000000	0.000000	0.000000
8.999287	__proteinZ_rbs	1.000000	0.000000	0.000000
