start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	14374850156.035578	14374812244.390343	0.0
0	0	439562.9633187377	480236.8016113814	0.0
282	291	133792.24225000606	121551.19377385768	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
142	143	0.41463607199845637	0.41463607199845637	0.0
297	298	0.02811399234940204	0.02811399234940204	0.0
449	450	0.13869385476726975	0.13869385476726975	0.0
0	0	0.0	0.0	1.3086593084150551e-38
0	0	0.0	0.0	2.672465441586125e-38
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
