time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000223	__proteinX_rbs	0.000000	0.000000	0.000000
1.000223	__proteinY_rbs	0.000000	0.000000	0.000000
1.000223	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000223	__ribosome	98.000000	0.000000	0.000000
1.000223	__rnase_site	0.000000	0.000000	0.000000
1.000223	__rnase_site_ext	1.000000	0.000000	0.000000
1.000223	p1	0.000000	0.000000	0.000000
1.000223	p3	1.000000	0.000000	0.000000
1.000223	proteinX	0.000000	2.000000	1.000000
1.000223	rnapol	0.000000	0.000000	0.000000
2.001441	__proteinX_rbs	2.000000	0.000000	0.000000
2.001441	__proteinY_rbs	0.000000	0.000000	0.000000
2.001441	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001441	__ribosome	96.000000	0.000000	0.000000
2.001441	__rnase_site	2.000000	0.000000	0.000000
2.001441	__rnase_site_ext	2.000000	0.000000	0.000000
2.001441	p1	1.000000	0.000000	0.000000
2.001441	p3	1.000000	0.000000	0.000000
2.001441	proteinX	0.000000	4.000000	1.000000
2.001441	rnapol	0.000000	0.000000	0.000000
3.002483	__proteinX_rbs	3.000000	0.000000	0.000000
3.002483	__proteinY_rbs	0.000000	0.000000	0.000000
3.002483	__proteinZ_rbs	0.000000	0.000000	0.000000
3.002483	__ribosome	94.000000	0.000000	0.000000
3.002483	__rnase_site	4.000000	0.000000	0.000000
3.002483	__rnase_site_ext	4.000000	0.000000	0.000000
3.002483	p1	1.000000	0.000000	0.000000
3.002483	p3	1.000000	0.000000	0.000000
3.002483	proteinX	0.000000	4.000000	1.500000
3.002483	rnapol	0.000000	0.000000	0.000000
4.000105	__proteinX_rbs	1.000000	0.000000	0.000000
4.000105	__proteinY_rbs	0.000000	0.000000	0.000000
4.000105	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000105	__ribosome	90.000000	0.000000	0.000000
4.000105	__rnase_site	2.000000	0.000000	0.000000
4.000105	__rnase_site_ext	2.000000	0.000000	0.000000
4.000105	p1	1.000000	0.000000	0.000000
4.000105	p3	1.000000	0.000000	0.000000
4.000105	proteinX	0.000000	3.000000	3.000000
4.000105	proteinY	0.000000	1.000000	1.000000
4.000105	rnapol	0.000000	0.000000	0.000000
5.001005	__proteinX_rbs	2.000000	0.000000	0.000000
5.001005	__proteinY_rbs	1.000000	0.000000	0.000000
5.001005	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001005	__ribosome	90.000000	0.000000	0.000000
5.001005	__rnase_site	2.000000	0.000000	0.000000
5.001005	__rnase_site_ext	3.000000	0.000000	0.000000
5.001005	p1	1.000000	0.000000	0.000000
5.001005	p3	1.000000	0.000000	0.000000
5.001005	proteinX	3.000000	3.000000	2.666667
5.001005	proteinY	0.000000	2.000000	1.000000
5.001005	rnapol	0.000000	0.000000	0.000000
6.002622	__proteinX_rbs	2.000000	0.000000	0.000000
6.002622	__proteinY_rbs	0.000000	0.000000	0.000000
6.002622	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002622	__ribosome	85.000000	0.000000	0.000000
6.002622	__rnase_site	3.000000	0.000000	0.000000
6.002622	__rnase_site_ext	3.000000	0.000000	0.000000
6.002622	p1	1.000000	0.000000	0.000000
6.002622	p3	1.000000	0.000000	0.000000
6.002622	proteinX	5.000000	4.000000	2.500000
6.002622	proteinY	0.000000	3.000000	1.666667
6.002622	rnapol	0.000000	0.000000	0.000000
6.999012	__proteinX_rbs	4.000000	0.000000	0.000000
6.999012	__proteinY_rbs	2.000000	0.000000	0.000000
6.999012	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999012	__ribosome	82.000000	0.000000	0.000000
6.999012	__rnase_site	4.000000	0.000000	0.000000
6.999012	__rnase_site_ext	4.000000	0.000000	0.000000
6.999012	p1	1.000000	0.000000	0.000000
6.999012	p3	1.000000	0.000000	0.000000
6.999012	proteinX	7.000000	4.000000	2.500000
6.999012	proteinY	0.000000	3.000000	2.666667
6.999012	rnapol	0.000000	0.000000	0.000000
7.999135	__proteinX_rbs	2.000000	0.000000	0.000000
7.999135	__proteinY_rbs	2.000000	0.000000	0.000000
7.999135	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999135	__ribosome	77.000000	0.000000	0.000000
7.999135	__rnase_site	3.000000	0.000000	0.000000
7.999135	__rnase_site_ext	3.000000	0.000000	0.000000
7.999135	p1	1.000000	0.000000	0.000000
7.999135	p3	0.000000	0.000000	0.000000
7.999135	proteinX	10.000000	4.000000	2.750000
7.999135	proteinY	0.000000	3.000000	3.666667
7.999135	proteinZ	0.000000	1.000000	1.000000
7.999135	rnapol	0.000000	0.000000	0.000000
9.000494	__proteinX_rbs	3.000000	0.000000	0.000000
9.000494	__proteinY_rbs	1.000000	0.000000	0.000000
9.000494	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000494	__ribosome	73.000000	0.000000	0.000000
9.000494	__rnase_site	3.000000	0.000000	0.000000
