time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.008608	__proteinX_rbs	0.0	0.0	0.0
1.008608	__proteinY_rbs	0.0	0.0	0.0
1.008608	__proteinZ_rbs	0.0	0.0	0.0
1.008608	__ribosome	98.0	0.0	0.0
1.008608	__rnase_site	0.0	0.0	0.0
1.008608	__rnase_site_ext	1.0	0.0	0.0
1.008608	p1	0.0	0.0	0.0
1.008608	p2	1.0	0.0	0.0
1.008608	proteinX	0.0	2.0	1.0
1.008608	rnapol	0.0	0.0	0.0
2.001775	__proteinX_rbs	2.0	0.0	0.0
2.001775	__proteinY_rbs	0.0	0.0	0.0
2.001775	__proteinZ_rbs	0.0	0.0	0.0
2.001775	__ribosome	96.0	0.0	0.0
2.001775	__rnase_site	0.0	0.0	0.0
2.001775	__rnase_site_ext	2.0	0.0	0.0
2.001775	p1	1.0	0.0	0.0
2.001775	p2	1.0	0.0	0.0
2.001775	proteinX	0.0	4.0	1.0
2.001775	rnapol	0.0	0.0	0.0
3.003237	__proteinX_rbs	1.0	0.0	0.0
3.003237	__proteinY_rbs	0.0	0.0	0.0
3.003237	__proteinZ_rbs	0.0	0.0	0.0
3.003237	__ribosome	92.0	0.0	0.0
3.003237	__rnase_site	0.0	0.0	0.0
3.003237	__rnase_site_ext	1.0	0.0	0.0
3.003237	p1	1.0	0.0	0.0
3.003237	p2	1.0	0.0	0.0
3.003237	proteinX	0.0	3.0	2.666667
3.003237	rnapol	0.0	0.0	0.0
4.0012620000000005	__proteinX_rbs	1.0	0.0	0.0
4.0012620000000005	__proteinY_rbs	1.0	0.0	0.0
