time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003040	__proteinX_rbs	0.000000	0.000000	0.000000
1.003040	__proteinY_rbs	0.000000	0.000000	0.000000
1.003040	__proteinZ_rbs	0.000000	0.000000	0.000000
1.003040	__ribosome	98.000000	0.000000	0.000000
1.003040	__rnase_site	0.000000	0.000000	0.000000
1.003040	__rnase_site_ext	1.000000	0.000000	0.000000
1.003040	p1	0.000000	0.000000	0.000000
1.003040	p2	1.000000	0.000000	0.000000
1.003040	proteinX	0.000000	2.000000	1.000000
1.003040	rnapol	0.000000	0.000000	0.000000
2.000293	__proteinX_rbs	2.000000	0.000000	0.000000
2.000293	__proteinY_rbs	0.000000	0.000000	0.000000
2.000293	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000293	__ribosome	96.000000	0.000000	0.000000
2.000293	__rnase_site	2.000000	0.000000	0.000000
2.000293	__rnase_site_ext	2.000000	0.000000	0.000000
2.000293	p1	1.000000	0.000000	0.000000
2.000293	p2	1.000000	0.000000	0.000000
2.000293	proteinX	0.000000	4.000000	1.000000
2.000293	rnapol	0.000000	0.000000	0.000000
3.000453	__proteinX_rbs	0.000000	0.000000	0.000000
3.000453	__proteinY_rbs	0.000000	0.000000	0.000000
3.000453	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000453	__ribosome	91.000000	0.000000	0.000000
3.000453	__rnase_site	3.000000	0.000000	0.000000
3.000453	__rnase_site_ext	2.000000	0.000000	0.000000
3.000453	p1	0.000000	0.000000	0.000000
3.000453	p2	1.000000	0.000000	0.000000
3.000453	proteinX	0.000000	4.000000	2.250000
3.000453	rnapol	0.000000	0.000000	0.000000
3.999572	__proteinX_rbs	3.000000	0.000000	0.000000
3.999572	__proteinY_rbs	0.000000	0.000000	0.000000
3.999572	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999572	__ribosome	87.000000	0.000000	0.000000
3.999572	__rnase_site	5.000000	0.000000	0.000000
3.999572	__rnase_site_ext	3.000000	0.000000	0.000000
3.999572	p1	1.000000	0.000000	0.000000
3.999572	p2	1.000000	0.000000	0.000000
3.999572	proteinX	1.000000	5.000000	2.600000
3.999572	rnapol	0.000000	0.000000	0.000000
4.999999	__proteinX_rbs	3.000000	0.000000	0.000000
4.999999	__proteinY_rbs	1.000000	0.000000	0.000000
4.999999	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999999	__ribosome	84.000000	0.000000	0.000000
4.999999	__rnase_site	7.000000	0.000000	0.000000
4.999999	__rnase_site_ext	3.000000	0.000000	0.000000
4.999999	p1	1.000000	0.000000	0.000000
4.999999	p2	0.000000	0.000000	0.000000
4.999999	proteinX	3.000000	5.000000	3.000000
4.999999	proteinY	0.000000	2.000000	0.500000
4.999999	rnapol	0.000000	0.000000	0.000000
6.002382	__proteinX_rbs	2.000000	0.000000	0.000000
6.002382	__proteinY_rbs	2.000000	0.000000	0.000000
6.002382	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002382	__ribosome	79.000000	0.000000	0.000000
6.002382	__rnase_site	8.000000	0.000000	0.000000
6.002382	__rnase_site_ext	4.000000	0.000000	0.000000
6.002382	p1	1.000000	0.000000	0.000000
6.002382	p2	1.000000	0.000000	0.000000
6.002382	proteinX	5.000000	6.000000	3.000000
6.002382	proteinY	0.000000	2.000000	1.500000
6.002382	rnapol	0.000000	0.000000	0.000000
6.999254	__proteinX_rbs	4.000000	0.000000	0.000000
6.999254	__proteinY_rbs	0.000000	0.000000	0.000000
6.999254	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999254	__ribosome	76.000000	0.000000	0.000000
6.999254	__rnase_site	10.000000	0.000000	0.000000
6.999254	__rnase_site_ext	5.000000	0.000000	0.000000
6.999254	p1	1.000000	0.000000	0.000000
6.999254	p2	1.000000	0.000000	0.000000
6.999254	proteinX	11.000000	7.000000	2.714286
6.999254	proteinY	0.000000	2.000000	2.500000
6.999254	rnapol	0.000000	0.000000	0.000000
7.999945	__proteinX_rbs	4.000000	0.000000	0.000000
7.999945	__proteinY_rbs	2.000000	0.000000	0.000000
7.999945	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999945	__ribosome	76.000000	0.000000	0.000000
7.999945	__rnase_site	9.000000	0.000000	0.000000
7.999945	__rnase_site_ext	5.000000	0.000000	0.000000
7.999945	p1	0.000000	0.000000	0.000000
7.999945	p2	1.000000	0.000000	0.000000
7.999945	proteinX	17.000000	7.000000	2.571429
7.999945	proteinY	0.000000	2.000000	3.000000
7.999945	rnapol	0.000000	0.000000	0.000000
8.999037	__proteinX_rbs	5.000000	0.000000	0.000000
8.999037	__proteinY_rbs	1.000000	0.000000	0.000000
8.999037	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999037	__ribosome	73.000000	0.000000	0.000000
8.999037	__rnase_site	11.000000	0.000000	0.000000
8.999037	__rnase_site_ext	6.000000	0.000000	0.000000
8.999037	p1	1.000000	0.000000	0.000000
