start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	20741062417.104885	20741135265.28806	0.0
0	0	302353.2861733588	289015.1357555301	0.0
293	302	924928.5715671657	905183.3747954566	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
151	152	0.11170400312043793	0.11170400312043793	0.0
314	315	0.8684823133920085	0.8684823133920085	0.0
449	450	0.8457338181683868	0.8457338181683868	0.0
0	0	0.0	0.0	2.448067009083749e-15
0	0	0.0	0.0	2.6997092635845145e-15
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
