time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.009074	__proteinX_rbs	0.000000	0.000000	0.000000
1.009074	__proteinY_rbs	0.000000	0.000000	0.000000
1.009074	__proteinZ_rbs	0.000000	0.000000	0.000000
1.009074	__ribosome	99.000000	0.000000	0.000000
1.009074	__rnase_site	0.000000	0.000000	0.000000
1.009074	__rnase_site_ext	0.000000	0.000000	0.000000
1.009074	p1	0.000000	0.000000	0.000000
1.009074	p2	1.000000	0.000000	0.000000
1.009074	proteinX	0.000000	1.000000	1.000000
1.009074	rnapol	2.000000	0.000000	0.000000
2.000811	__proteinX_rbs	1.000000	0.000000	0.000000
2.000811	__proteinY_rbs	0.000000	0.000000	0.000000
2.000811	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000811	__ribosome	97.000000	0.000000	0.000000
2.000811	__rnase_site	0.000000	0.000000	0.000000
2.000811	__rnase_site_ext	2.000000	0.000000	0.000000
2.000811	p1	1.000000	0.000000	0.000000
2.000811	p2	1.000000	0.000000	0.000000
2.000811	proteinX	0.000000	3.000000	1.000000
2.000811	rnapol	1.000000	0.000000	0.000000
3.001596	__proteinX_rbs	2.000000	0.000000	0.000000
3.001596	__proteinY_rbs	0.000000	0.000000	0.000000
3.001596	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001596	__ribosome	93.000000	0.000000	0.000000
3.001596	__rnase_site	0.000000	0.000000	0.000000
3.001596	__rnase_site_ext	2.000000	0.000000	0.000000
3.001596	p1	1.000000	0.000000	0.000000
3.001596	p2	1.000000	0.000000	0.000000
3.001596	proteinX	0.000000	3.000000	2.333333
3.001596	rnapol	1.000000	0.000000	0.000000
4.000149	__proteinX_rbs	2.000000	0.000000	0.000000
4.000149	__proteinY_rbs	0.000000	0.000000	0.000000
4.000149	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000149	__ribosome	90.000000	0.000000	0.000000
4.000149	__rnase_site	0.000000	0.000000	0.000000
4.000149	__rnase_site_ext	3.000000	0.000000	0.000000
4.000149	p1	1.000000	0.000000	0.000000
4.000149	p2	1.000000	0.000000	0.000000
4.000149	proteinX	0.000000	4.000000	2.250000
4.000149	proteinY	0.000000	1.000000	1.000000
4.000149	rnapol	0.000000	0.000000	0.000000
5.000279	__proteinX_rbs	3.000000	0.000000	0.000000
5.000279	__proteinY_rbs	0.000000	0.000000	0.000000
5.000279	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000279	__ribosome	87.000000	0.000000	0.000000
5.000279	__rnase_site	0.000000	0.000000	0.000000
5.000279	__rnase_site_ext	3.000000	0.000000	0.000000
5.000279	p1	1.000000	0.000000	0.000000
5.000279	p2	1.000000	0.000000	0.000000
5.000279	proteinX	2.000000	4.000000	2.500000
5.000279	proteinY	0.000000	2.000000	1.500000
5.000279	rnapol	0.000000	0.000000	0.000000
6.001643	__proteinX_rbs	1.000000	0.000000	0.000000
6.001643	__proteinY_rbs	1.000000	0.000000	0.000000
6.001643	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001643	__ribosome	85.000000	0.000000	0.000000
6.001643	__rnase_site	0.000000	0.000000	0.000000
6.001643	__rnase_site_ext	3.000000	0.000000	0.000000
6.001643	p1	1.000000	0.000000	0.000000
6.001643	p2	1.000000	0.000000	0.000000
6.001643	proteinX	6.000000	4.000000	2.500000
6.001643	proteinY	0.000000	3.000000	1.666667
6.001643	rnapol	0.000000	0.000000	0.000000
6.999233	__proteinX_rbs	3.000000	0.000000	0.000000
6.999233	__proteinY_rbs	2.000000	0.000000	0.000000
6.999233	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999233	__ribosome	80.000000	0.000000	0.000000
6.999233	__rnase_site	1.000000	0.000000	0.000000
6.999233	__rnase_site_ext	3.000000	0.000000	0.000000
6.999233	p1	1.000000	0.000000	0.000000
6.999233	p2	1.000000	0.000000	0.000000
6.999233	proteinX	7.000000	4.000000	2.750000
6.999233	proteinY	0.000000	3.000000	3.000000
6.999233	rnapol	0.000000	0.000000	0.000000
7.999523	__proteinX_rbs	3.000000	0.000000	0.000000
7.999523	__proteinY_rbs	3.000000	0.000000	0.000000
7.999523	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999523	__ribosome	76.000000	0.000000	0.000000
7.999523	__rnase_site	2.000000	0.000000	0.000000
7.999523	__rnase_site_ext	3.000000	0.000000	0.000000
7.999523	p1	1.000000	0.000000	0.000000
7.999523	p2	1.000000	0.000000	0.000000
7.999523	proteinX	10.000000	4.000000	3.000000
7.999523	proteinY	0.000000	4.000000	2.750000
7.999523	proteinZ	0.000000	1.000000	1.000000
7.999523	rnapol	0.000000	0.000000	0.000000
8.999064	__proteinX_rbs	4.000000	0.000000	0.000000
8.999064	__proteinY_rbs	4.000000	0.000000	0.000000
8.999064	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999064	__ribosome	73.000000	0.000000	0.000000
8.999064	__rnase_site	3.000000	0.000000	0.000000
