time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999966	__proteinX_rbs	0.000000	0.000000	0.000000
0.999966	__proteinY_rbs	0.000000	0.000000	0.000000
0.999966	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999966	__ribosome	98.000000	0.000000	0.000000
0.999966	__rnase_site	0.000000	0.000000	0.000000
0.999966	__rnase_site_ext	1.000000	0.000000	0.000000
0.999966	p1	0.000000	0.000000	0.000000
0.999966	p3	1.000000	0.000000	0.000000
0.999966	proteinX	0.000000	2.000000	1.000000
0.999966	rnapol	0.000000	0.000000	0.000000
2.005127	__proteinX_rbs	2.000000	0.000000	0.000000
2.005127	__proteinY_rbs	0.000000	0.000000	0.000000
2.005127	__proteinZ_rbs	0.000000	0.000000	0.000000
2.005127	__ribosome	96.000000	0.000000	0.000000
2.005127	__rnase_site	0.000000	0.000000	0.000000
2.005127	__rnase_site_ext	2.000000	0.000000	0.000000
2.005127	p1	1.000000	0.000000	0.000000
2.005127	p3	1.000000	0.000000	0.000000
2.005127	proteinX	0.000000	4.000000	1.000000
2.005127	rnapol	0.000000	0.000000	0.000000
3.011430	__proteinX_rbs	1.000000	0.000000	0.000000
3.011430	__proteinY_rbs	0.000000	0.000000	0.000000
3.011430	__proteinZ_rbs	0.000000	0.000000	0.000000
3.011430	__ribosome	91.000000	0.000000	0.000000
3.011430	__rnase_site	0.000000	0.000000	0.000000
3.011430	__rnase_site_ext	3.000000	0.000000	0.000000
3.011430	p1	1.000000	0.000000	0.000000
3.011430	p3	1.000000	0.000000	0.000000
3.011430	proteinX	0.000000	4.000000	2.000000
3.011430	proteinY	0.000000	1.000000	1.000000
3.011430	rnapol	0.000000	0.000000	0.000000
4.000807	__proteinX_rbs	4.000000	0.000000	0.000000
4.000807	__proteinY_rbs	1.000000	0.000000	0.000000
4.000807	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000807	__ribosome	91.000000	0.000000	0.000000
4.000807	__rnase_site	0.000000	0.000000	0.000000
4.000807	__rnase_site_ext	4.000000	0.000000	0.000000
4.000807	p1	1.000000	0.000000	0.000000
4.000807	p3	1.000000	0.000000	0.000000
4.000807	proteinX	1.000000	4.000000	2.000000
4.000807	proteinY	0.000000	1.000000	1.000000
4.000807	rnapol	0.000000	0.000000	0.000000
5.003825	__proteinX_rbs	3.000000	0.000000	0.000000
5.003825	__proteinY_rbs	3.000000	0.000000	0.000000
5.003825	__proteinZ_rbs	0.000000	0.000000	0.000000
5.003825	__ribosome	86.000000	0.000000	0.000000
5.003825	__rnase_site	0.000000	0.000000	0.000000
5.003825	__rnase_site_ext	3.000000	0.000000	0.000000
5.003825	p1	1.000000	0.000000	0.000000
5.003825	p3	1.000000	0.000000	0.000000
5.003825	proteinX	2.000000	4.000000	3.000000
5.003825	proteinY	0.000000	3.000000	0.666667
5.003825	rnapol	0.000000	0.000000	0.000000
5.999347	__proteinX_rbs	2.000000	0.000000	0.000000
5.999347	__proteinY_rbs	2.000000	0.000000	0.000000
5.999347	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999347	__ribosome	82.000000	0.000000	0.000000
5.999347	__rnase_site	0.000000	0.000000	0.000000
5.999347	__rnase_site_ext	2.000000	0.000000	0.000000
5.999347	p1	1.000000	0.000000	0.000000
5.999347	p3	0.000000	0.000000	0.000000
5.999347	proteinX	5.000000	4.000000	3.250000
5.999347	proteinY	0.000000	4.000000	1.250000
5.999347	rnapol	0.000000	0.000000	0.000000
6.999851	__proteinX_rbs	3.000000	0.000000	0.000000
6.999851	__proteinY_rbs	2.000000	0.000000	0.000000
6.999851	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999851	__ribosome	81.000000	0.000000	0.000000
6.999851	__rnase_site	0.000000	0.000000	0.000000
6.999851	__rnase_site_ext	3.000000	0.000000	0.000000
6.999851	p1	1.000000	0.000000	0.000000
6.999851	p3	1.000000	0.000000	0.000000
6.999851	proteinX	10.000000	4.000000	2.500000
6.999851	proteinY	0.000000	4.000000	2.250000
6.999851	proteinZ	0.000000	1.000000	0.000000
6.999851	rnapol	0.000000	0.000000	0.000000
7.999101	__proteinX_rbs	3.000000	0.000000	0.000000
7.999101	__proteinY_rbs	2.000000	0.000000	0.000000
7.999101	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999101	__ribosome	77.000000	0.000000	0.000000
7.999101	__rnase_site	0.000000	0.000000	0.000000
7.999101	__rnase_site_ext	3.000000	0.000000	0.000000
7.999101	p1	1.000000	0.000000	0.000000
7.999101	p3	0.000000	0.000000	0.000000
7.999101	proteinX	14.000000	4.000000	2.000000
7.999101	proteinY	1.000000	4.000000	3.500000
7.999101	proteinZ	0.000000	1.000000	1.000000
7.999101	rnapol	0.000000	0.000000	0.000000
8.999804	__proteinX_rbs	1.000000	0.000000	0.000000
8.999804	__proteinY_rbs	2.000000	0.000000	0.000000
8.999804	__proteinZ_rbs	1.000000	0.000000	0.000000
