time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.99946	__proteinX_rbs	0.0	0.0	0.0
0.99946	__proteinY_rbs	0.0	0.0	0.0
0.99946	__proteinZ_rbs	0.0	0.0	0.0
0.99946	__ribosome	98.0	0.0	0.0
0.99946	__rnase_site	0.0	0.0	0.0
0.99946	__rnase_site_ext	1.0	0.0	0.0
0.99946	p1	1.0	0.0	0.0
0.99946	proteinX	0.0	2.0	1.0
0.99946	rnapol	1.0	0.0	0.0
1.9993759999999998	__proteinX_rbs	2.0	0.0	0.0
1.9993759999999998	__proteinY_rbs	0.0	0.0	0.0
1.9993759999999998	__proteinZ_rbs	0.0	0.0	0.0
1.9993759999999998	__ribosome	96.0	0.0	0.0
1.9993759999999998	__rnase_site	0.0	0.0	0.0
1.9993759999999998	__rnase_site_ext	2.0	0.0	0.0
1.9993759999999998	p1	1.0	0.0	0.0
1.9993759999999998	proteinX	0.0	4.0	1.0
1.9993759999999998	rnapol	0.0	0.0	0.0
3.006212	__proteinX_rbs	1.0	0.0	0.0
3.006212	__proteinY_rbs	0.0	0.0	0.0
3.006212	__proteinZ_rbs	0.0	0.0	0.0
3.006212	__ribosome	92.0	0.0	0.0
3.006212	__rnase_site	0.0	0.0	0.0
3.006212	__rnase_site_ext	1.0	0.0	0.0
3.006212	p1	1.0	0.0	0.0
3.006212	proteinX	0.0	3.0	2.666667
3.006212	rnapol	0.0	0.0	0.0
4.002974	__proteinX_rbs	1.0	0.0	0.0
4.002974	__proteinY_rbs	1.0	0.0	0.0
4.002974	__proteinZ_rbs	0.0	0.0	0.0
4.002974	__ribosome	91.0	0.0	0.0
