time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003950	__proteinX_rbs	1.000000	0.000000	0.000000
1.003950	__proteinY_rbs	0.000000	0.000000	0.000000
1.003950	__proteinZ_rbs	0.000000	0.000000	0.000000
1.003950	__ribosome	99.000000	0.000000	0.000000
1.003950	__rnase_site	0.000000	0.000000	0.000000
1.003950	__rnase_site_ext	1.000000	0.000000	0.000000
1.003950	p1	0.000000	0.000000	0.000000
1.003950	p2	1.000000	0.000000	0.000000
1.003950	p3	1.000000	0.000000	0.000000
1.003950	proteinX	0.000000	2.000000	0.500000
1.003950	rnapol	1.000000	0.000000	0.000000
2.008955	__proteinX_rbs	0.000000	0.000000	0.000000
2.008955	__proteinY_rbs	0.000000	0.000000	0.000000
2.008955	__proteinZ_rbs	0.000000	0.000000	0.000000
2.008955	__ribosome	94.000000	0.000000	0.000000
2.008955	__rnase_site	0.000000	0.000000	0.000000
2.008955	__rnase_site_ext	0.000000	0.000000	0.000000
2.008955	p1	1.000000	0.000000	0.000000
2.008955	p2	1.000000	0.000000	0.000000
2.008955	p3	1.000000	0.000000	0.000000
2.008955	proteinX	0.000000	3.000000	2.000000
2.008955	rnapol	1.000000	0.000000	0.000000
3.000451	__proteinX_rbs	3.000000	0.000000	0.000000
3.000451	__proteinY_rbs	0.000000	0.000000	0.000000
3.000451	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000451	__ribosome	93.000000	0.000000	0.000000
3.000451	__rnase_site	0.000000	0.000000	0.000000
3.000451	__rnase_site_ext	3.000000	0.000000	0.000000
3.000451	p1	0.000000	0.000000	0.000000
3.000451	p2	0.000000	0.000000	0.000000
3.000451	p3	1.000000	0.000000	0.000000
3.000451	proteinX	0.000000	3.000000	2.333333
3.000451	rnapol	0.000000	0.000000	0.000000
4.000404	__proteinX_rbs	3.000000	0.000000	0.000000
4.000404	__proteinY_rbs	0.000000	0.000000	0.000000
4.000404	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000404	__ribosome	89.000000	0.000000	0.000000
4.000404	__rnase_site	2.000000	0.000000	0.000000
4.000404	__rnase_site_ext	3.000000	0.000000	0.000000
4.000404	p1	1.000000	0.000000	0.000000
4.000404	p2	0.000000	0.000000	0.000000
4.000404	p3	1.000000	0.000000	0.000000
4.000404	proteinX	0.000000	4.000000	2.750000
4.000404	rnapol	1.000000	0.000000	0.000000
5.000084	__proteinX_rbs	1.000000	0.000000	0.000000
5.000084	__proteinY_rbs	0.000000	0.000000	0.000000
5.000084	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000084	__ribosome	86.000000	0.000000	0.000000
5.000084	__rnase_site	3.000000	0.000000	0.000000
5.000084	__rnase_site_ext	2.000000	0.000000	0.000000
5.000084	p1	0.000000	0.000000	0.000000
5.000084	p2	1.000000	0.000000	0.000000
5.000084	p3	1.000000	0.000000	0.000000
5.000084	proteinX	2.000000	5.000000	2.800000
5.000084	rnapol	1.000000	0.000000	0.000000
5.999132	__proteinX_rbs	3.000000	0.000000	0.000000
5.999132	__proteinY_rbs	0.000000	0.000000	0.000000
5.999132	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999132	__ribosome	84.000000	0.000000	0.000000
5.999132	__rnase_site	3.000000	0.000000	0.000000
5.999132	__rnase_site_ext	5.000000	0.000000	0.000000
5.999132	p1	1.000000	0.000000	0.000000
5.999132	p2	0.000000	0.000000	0.000000
5.999132	p3	1.000000	0.000000	0.000000
5.999132	proteinX	6.000000	7.000000	2.285714
5.999132	rnapol	0.000000	0.000000	0.000000
7.000053	__proteinX_rbs	2.000000	0.000000	0.000000
7.000053	__proteinY_rbs	0.000000	0.000000	0.000000
7.000053	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000053	__ribosome	79.000000	0.000000	0.000000
7.000053	__rnase_site	4.000000	0.000000	0.000000
7.000053	__rnase_site_ext	4.000000	0.000000	0.000000
7.000053	p1	1.000000	0.000000	0.000000
7.000053	p2	1.000000	0.000000	0.000000
7.000053	p3	1.000000	0.000000	0.000000
7.000053	proteinX	9.000000	7.000000	2.857143
7.000053	proteinY	0.000000	1.000000	1.000000
7.000053	rnapol	0.000000	0.000000	0.000000
8.000803	__proteinX_rbs	4.000000	0.000000	0.000000
8.000803	__proteinY_rbs	2.000000	0.000000	0.000000
8.000803	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000803	__ribosome	76.000000	0.000000	0.000000
8.000803	__rnase_site	5.000000	0.000000	0.000000
8.000803	__rnase_site_ext	5.000000	0.000000	0.000000
8.000803	p1	1.000000	0.000000	0.000000
8.000803	p2	0.000000	0.000000	0.000000
8.000803	p3	1.000000	0.000000	0.000000
8.000803	proteinX	12.000000	7.000000	3.142857
8.000803	proteinY	0.000000	2.000000	1.000000
8.000803	rnapol	0.000000	0.000000	0.000000
8.999873	__proteinX_rbs	5.000000	0.000000	0.000000
