time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001429	__proteinX_rbs	0.000000	0.000000	0.000000
1.001429	__proteinY_rbs	0.000000	0.000000	0.000000
1.001429	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001429	__ribosome	98.000000	0.000000	0.000000
1.001429	__rnase_site	1.000000	0.000000	0.000000
1.001429	__rnase_site_ext	1.000000	0.000000	0.000000
1.001429	p1	0.000000	0.000000	0.000000
1.001429	proteinX	0.000000	2.000000	1.000000
1.001429	rnapol	0.000000	0.000000	0.000000
2.003641	__proteinX_rbs	2.000000	0.000000	0.000000
2.003641	__proteinY_rbs	0.000000	0.000000	0.000000
2.003641	__proteinZ_rbs	0.000000	0.000000	0.000000
2.003641	__ribosome	96.000000	0.000000	0.000000
2.003641	__rnase_site	2.000000	0.000000	0.000000
2.003641	__rnase_site_ext	2.000000	0.000000	0.000000
2.003641	p1	1.000000	0.000000	0.000000
2.003641	proteinX	0.000000	4.000000	1.000000
2.003641	rnapol	0.000000	0.000000	0.000000
2.999781	__proteinX_rbs	4.000000	0.000000	0.000000
2.999781	__proteinY_rbs	0.000000	0.000000	0.000000
2.999781	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999781	__ribosome	94.000000	0.000000	0.000000
2.999781	__rnase_site	4.000000	0.000000	0.000000
2.999781	__rnase_site_ext	4.000000	0.000000	0.000000
2.999781	p1	1.000000	0.000000	0.000000
2.999781	proteinX	0.000000	4.000000	1.500000
2.999781	rnapol	0.000000	0.000000	0.000000
3.999009	__proteinX_rbs	4.000000	0.000000	0.000000
3.999009	__proteinY_rbs	0.000000	0.000000	0.000000
3.999009	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999009	__ribosome	89.000000	0.000000	0.000000
3.999009	__rnase_site	5.000000	0.000000	0.000000
3.999009	__rnase_site_ext	5.000000	0.000000	0.000000
3.999009	p1	1.000000	0.000000	0.000000
3.999009	proteinX	0.000000	5.000000	2.200000
3.999009	rnapol	0.000000	0.000000	0.000000
5.001962	__proteinX_rbs	2.000000	0.000000	0.000000
5.001962	__proteinY_rbs	1.000000	0.000000	0.000000
5.001962	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001962	__ribosome	84.000000	0.000000	0.000000
5.001962	__rnase_site	4.000000	0.000000	0.000000
5.001962	__rnase_site_ext	4.000000	0.000000	0.000000
5.001962	p1	0.000000	0.000000	0.000000
5.001962	proteinX	3.000000	5.000000	3.000000
5.001962	proteinY	0.000000	1.000000	1.000000
5.001962	rnapol	0.000000	0.000000	0.000000
5.999166	__proteinX_rbs	2.000000	0.000000	0.000000
5.999166	__proteinY_rbs	1.000000	0.000000	0.000000
5.999166	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999166	__ribosome	81.000000	0.000000	0.000000
5.999166	__rnase_site	4.000000	0.000000	0.000000
5.999166	__rnase_site_ext	4.000000	0.000000	0.000000
5.999166	p1	0.000000	0.000000	0.000000
5.999166	proteinX	6.000000	7.000000	2.428571
5.999166	proteinY	0.000000	1.000000	2.000000
5.999166	rnapol	0.000000	0.000000	0.000000
6.999155	__proteinX_rbs	7.000000	0.000000	0.000000
6.999155	__proteinY_rbs	0.000000	0.000000	0.000000
6.999155	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999155	__ribosome	77.000000	0.000000	0.000000
6.999155	__rnase_site	8.000000	0.000000	0.000000
6.999155	__rnase_site_ext	8.000000	0.000000	0.000000
6.999155	p1	1.000000	0.000000	0.000000
6.999155	proteinX	9.000000	8.000000	2.500000
6.999155	proteinY	0.000000	1.000000	3.000000
6.999155	rnapol	0.000000	0.000000	0.000000
8.000905	__proteinX_rbs	3.000000	0.000000	0.000000
8.000905	__proteinY_rbs	1.000000	0.000000	0.000000
8.000905	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000905	__ribosome	75.000000	0.000000	0.000000
8.000905	__rnase_site	4.000000	0.000000	0.000000
8.000905	__rnase_site_ext	4.000000	0.000000	0.000000
8.000905	p1	0.000000	0.000000	0.000000
8.000905	proteinX	15.000000	8.000000	2.625000
8.000905	proteinY	0.000000	1.000000	4.000000
8.000905	rnapol	0.000000	0.000000	0.000000
8.999231	__proteinX_rbs	3.000000	0.000000	0.000000
8.999231	__proteinY_rbs	2.000000	0.000000	0.000000
8.999231	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999231	__ribosome	72.000000	0.000000	0.000000
8.999231	__rnase_site	4.000000	0.000000	0.000000
8.999231	__rnase_site_ext	4.000000	0.000000	0.000000
8.999231	p1	1.000000	0.000000	0.000000
8.999231	proteinX	21.000000	8.000000	2.750000
8.999231	proteinY	1.000000	3.000000	2.000000
8.999231	rnapol	0.000000	0.000000	0.000000
9.999685	__proteinX_rbs	6.000000	0.000000	0.000000
9.999685	__proteinY_rbs	2.000000	0.000000	0.000000
9.999685	__proteinZ_rbs	0.000000	0.000000	0.000000
9.999685	__ribosome	72.000000	0.000000	0.000000
