start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	22615785623.982693	22615679981.13586	0.0
0	0	2459302.561710782	2554998.903583331	0.0
293	302	2818702.7896275804	2714416.1535849203	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
304	314	0.0	0.0	0.0
148	149	0.0071207162624446485	0.0071207162624446485	0.0
289	290	0.9980908108491754	0.9980908108491754	0.0
449	450	0.7086604237253821	0.7086604237253821	0.0
0	0	0.0	0.0	1.4901422593492503e-06
0	0	0.0	0.0	1.6319721323521498e-06
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
