time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001373	__proteinX_rbs	0.000000	0.000000	0.000000
1.001373	__proteinY_rbs	0.000000	0.000000	0.000000
1.001373	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001373	__ribosome	98.000000	0.000000	0.000000
1.001373	__rnase_site	0.000000	0.000000	0.000000
1.001373	__rnase_site_ext	1.000000	0.000000	0.000000
1.001373	p1	0.000000	0.000000	0.000000
1.001373	p2	1.000000	0.000000	0.000000
1.001373	p3	1.000000	0.000000	0.000000
1.001373	proteinX	0.000000	2.000000	1.000000
1.001373	rnapol	0.000000	0.000000	0.000000
2.003714	__proteinX_rbs	2.000000	0.000000	0.000000
2.003714	__proteinY_rbs	0.000000	0.000000	0.000000
2.003714	__proteinZ_rbs	0.000000	0.000000	0.000000
2.003714	__ribosome	96.000000	0.000000	0.000000
2.003714	__rnase_site	0.000000	0.000000	0.000000
2.003714	__rnase_site_ext	2.000000	0.000000	0.000000
2.003714	p1	1.000000	0.000000	0.000000
2.003714	p2	1.000000	0.000000	0.000000
2.003714	p3	1.000000	0.000000	0.000000
2.003714	proteinX	0.000000	4.000000	1.000000
2.003714	rnapol	0.000000	0.000000	0.000000
3.003677	__proteinX_rbs	1.000000	0.000000	0.000000
3.003677	__proteinY_rbs	0.000000	0.000000	0.000000
3.003677	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003677	__ribosome	92.000000	0.000000	0.000000
3.003677	__rnase_site	0.000000	0.000000	0.000000
3.003677	__rnase_site_ext	1.000000	0.000000	0.000000
3.003677	p1	1.000000	0.000000	0.000000
3.003677	p2	0.000000	0.000000	0.000000
3.003677	p3	1.000000	0.000000	0.000000
3.003677	proteinX	0.000000	3.000000	2.666667
3.003677	rnapol	0.000000	0.000000	0.000000
4.010828	__proteinX_rbs	2.000000	0.000000	0.000000
4.010828	__proteinY_rbs	1.000000	0.000000	0.000000
4.010828	__proteinZ_rbs	0.000000	0.000000	0.000000
4.010828	__ribosome	91.000000	0.000000	0.000000
4.010828	__rnase_site	0.000000	0.000000	0.000000
4.010828	__rnase_site_ext	3.000000	0.000000	0.000000
4.010828	p1	1.000000	0.000000	0.000000
4.010828	p2	1.000000	0.000000	0.000000
4.010828	p3	1.000000	0.000000	0.000000
4.010828	proteinX	1.000000	3.000000	3.000000
4.010828	proteinY	0.000000	1.000000	0.000000
4.010828	rnapol	0.000000	0.000000	0.000000
4.999087	__proteinX_rbs	1.000000	0.000000	0.000000
4.999087	__proteinY_rbs	2.000000	0.000000	0.000000
4.999087	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999087	__ribosome	86.000000	0.000000	0.000000
4.999087	__rnase_site	0.000000	0.000000	0.000000
4.999087	__rnase_site_ext	2.000000	0.000000	0.000000
4.999087	p1	1.000000	0.000000	0.000000
4.999087	p2	1.000000	0.000000	0.000000
4.999087	p3	1.000000	0.000000	0.000000
4.999087	proteinX	2.000000	3.000000	4.000000
4.999087	proteinY	0.000000	3.000000	0.666667
4.999087	rnapol	0.000000	0.000000	0.000000
5.999888	__proteinX_rbs	4.000000	0.000000	0.000000
5.999888	__proteinY_rbs	2.000000	0.000000	0.000000
5.999888	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999888	__ribosome	86.000000	0.000000	0.000000
5.999888	__rnase_site	0.000000	0.000000	0.000000
5.999888	__rnase_site_ext	4.000000	0.000000	0.000000
5.999888	p1	1.000000	0.000000	0.000000
5.999888	p2	1.000000	0.000000	0.000000
5.999888	p3	1.000000	0.000000	0.000000
5.999888	proteinX	5.000000	4.000000	2.500000
5.999888	proteinY	0.000000	3.000000	1.333333
5.999888	rnapol	0.000000	0.000000	0.000000
7.000803	__proteinX_rbs	3.000000	0.000000	0.000000
7.000803	__proteinY_rbs	2.000000	0.000000	0.000000
7.000803	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000803	__ribosome	84.000000	0.000000	0.000000
7.000803	__rnase_site	0.000000	0.000000	0.000000
7.000803	__rnase_site_ext	3.000000	0.000000	0.000000
7.000803	p1	1.000000	0.000000	0.000000
7.000803	p2	1.000000	0.000000	0.000000
7.000803	p3	0.000000	0.000000	0.000000
7.000803	proteinX	10.000000	4.000000	2.250000
7.000803	proteinY	0.000000	3.000000	2.333333
7.000803	rnapol	0.000000	0.000000	0.000000
8.000118	__proteinX_rbs	3.000000	0.000000	0.000000
8.000118	__proteinY_rbs	1.000000	0.000000	0.000000
8.000118	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000118	__ribosome	82.000000	0.000000	0.000000
8.000118	__rnase_site	0.000000	0.000000	0.000000
8.000118	__rnase_site_ext	3.000000	0.000000	0.000000
8.000118	p1	1.000000	0.000000	0.000000
8.000118	p2	0.000000	0.000000	0.000000
8.000118	p3	0.000000	0.000000	0.000000
8.000118	proteinX	14.000000	5.000000	1.600000
