time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.009455	__proteinX_rbs	0.000000	0.000000	0.000000
1.009455	__proteinY_rbs	0.000000	0.000000	0.000000
1.009455	__proteinZ_rbs	0.000000	0.000000	0.000000
1.009455	__ribosome	98.000000	0.000000	0.000000
1.009455	__rnase_site	0.000000	0.000000	0.000000
1.009455	__rnase_site_ext	1.000000	0.000000	0.000000
1.009455	p1	0.000000	0.000000	0.000000
1.009455	p3	1.000000	0.000000	0.000000
1.009455	proteinX	0.000000	2.000000	1.000000
1.009455	rnapol	0.000000	0.000000	0.000000
1.999786	__proteinX_rbs	2.000000	0.000000	0.000000
1.999786	__proteinY_rbs	0.000000	0.000000	0.000000
1.999786	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999786	__ribosome	96.000000	0.000000	0.000000
1.999786	__rnase_site	0.000000	0.000000	0.000000
1.999786	__rnase_site_ext	2.000000	0.000000	0.000000
1.999786	p1	1.000000	0.000000	0.000000
1.999786	p3	1.000000	0.000000	0.000000
1.999786	proteinX	0.000000	4.000000	1.000000
1.999786	rnapol	0.000000	0.000000	0.000000
3.006088	__proteinX_rbs	1.000000	0.000000	0.000000
3.006088	__proteinY_rbs	0.000000	0.000000	0.000000
3.006088	__proteinZ_rbs	0.000000	0.000000	0.000000
3.006088	__ribosome	92.000000	0.000000	0.000000
3.006088	__rnase_site	0.000000	0.000000	0.000000
3.006088	__rnase_site_ext	3.000000	0.000000	0.000000
3.006088	p1	1.000000	0.000000	0.000000
3.006088	p3	1.000000	0.000000	0.000000
3.006088	proteinX	0.000000	4.000000	2.000000
3.006088	rnapol	0.000000	0.000000	0.000000
3.999375	__proteinX_rbs	2.000000	0.000000	0.000000
3.999375	__proteinY_rbs	1.000000	0.000000	0.000000
3.999375	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999375	__ribosome	88.000000	0.000000	0.000000
3.999375	__rnase_site	0.000000	0.000000	0.000000
3.999375	__rnase_site_ext	2.000000	0.000000	0.000000
3.999375	p1	1.000000	0.000000	0.000000
3.999375	p3	1.000000	0.000000	0.000000
3.999375	proteinX	1.000000	4.000000	3.000000
3.999375	proteinY	0.000000	1.000000	0.000000
3.999375	rnapol	0.000000	0.000000	0.000000
4.999460	__proteinX_rbs	1.000000	0.000000	0.000000
4.999460	__proteinY_rbs	2.000000	0.000000	0.000000
4.999460	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999460	__ribosome	85.000000	0.000000	0.000000
4.999460	__rnase_site	0.000000	0.000000	0.000000
4.999460	__rnase_site_ext	3.000000	0.000000	0.000000
4.999460	p1	1.000000	0.000000	0.000000
4.999460	p3	1.000000	0.000000	0.000000
4.999460	proteinX	3.000000	4.000000	3.500000
4.999460	proteinY	0.000000	2.000000	0.500000
4.999460	rnapol	0.000000	0.000000	0.000000
5.999950	__proteinX_rbs	2.000000	0.000000	0.000000
5.999950	__proteinY_rbs	3.000000	0.000000	0.000000
5.999950	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999950	__ribosome	81.000000	0.000000	0.000000
5.999950	__rnase_site	0.000000	0.000000	0.000000
5.999950	__rnase_site_ext	2.000000	0.000000	0.000000
5.999950	p1	1.000000	0.000000	0.000000
5.999950	p3	0.000000	0.000000	0.000000
5.999950	proteinX	4.000000	4.000000	4.500000
5.999950	proteinY	0.000000	3.000000	0.333333
5.999950	rnapol	0.000000	0.000000	0.000000
7.000639	__proteinX_rbs	2.000000	0.000000	0.000000
7.000639	__proteinY_rbs	4.000000	0.000000	0.000000
7.000639	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000639	__ribosome	81.000000	0.000000	0.000000
7.000639	__rnase_site	1.000000	0.000000	0.000000
7.000639	__rnase_site_ext	2.000000	0.000000	0.000000
7.000639	p1	1.000000	0.000000	0.000000
7.000639	p3	1.000000	0.000000	0.000000
7.000639	proteinX	12.000000	4.000000	3.500000
7.000639	proteinY	0.000000	4.000000	1.250000
7.000639	proteinZ	0.000000	1.000000	0.000000
7.000639	rnapol	0.000000	0.000000	0.000000
8.002286	__proteinX_rbs	1.000000	0.000000	0.000000
8.002286	__proteinY_rbs	3.000000	0.000000	0.000000
8.002286	__proteinZ_rbs	0.000000	0.000000	0.000000
8.002286	__ribosome	79.000000	0.000000	0.000000
8.002286	__rnase_site	0.000000	0.000000	0.000000
8.002286	__rnase_site_ext	2.000000	0.000000	0.000000
8.002286	p1	1.000000	0.000000	0.000000
8.002286	p3	0.000000	0.000000	0.000000
8.002286	proteinX	16.000000	4.000000	3.250000
8.002286	proteinY	0.000000	4.000000	2.000000
8.002286	proteinZ	0.000000	0.000000	0.000000
8.002286	rnapol	0.000000	0.000000	0.000000
8.999296	__proteinX_rbs	2.000000	0.000000	0.000000
8.999296	__proteinY_rbs	1.000000	0.000000	0.000000
8.999296	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999296	__ribosome	74.000000	0.000000	0.000000
