start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	2646693427.0	0.0	0.0
122	131	16692.450166000144	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
133	143	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
449	450	0.41359030299648974	0.41359030299648974	0.0
0	0	0.0	0.0	1.0
0	0	0.0	0.0	1.3513620883686555
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
